town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,米倉医院,新潟県地域医療推進機構魚沼基幹病院,南魚沼市民病院,南魚沼市立ゆきぐに大和病院,町立湯沢病院,齋藤記念病院,南魚沼市民病院附属城内診療所,萌気園浦佐診療所,新潟県南魚沼保健所,医療法人社団 あんべクリニック,たかき医院,風間内科医院,大熊内科医院,ほんだ病院,医療法人(社団)河内医院,南魚沼市立 中之島診療所,公益社団法人 地域医療振興協会 今泉記念館 ゆきあかり診療所,萌気園二日町診療所,萌気園あやめ診療所,五日町病院,荒川診療所
南魚沼市大沢,南魚沼市,大沢,15226152050,3.419342435573354,138.8090190786268,37.025819611942545,2623.0,129.0,743.0,72.0,0.0,56.0,0.0,73.0,0.0,206.0,0.0,0.0,0.0,0.0,0.0,146.0,142.0,0.0,0.0,0.0,0.0
南魚沼市大木六新田,南魚沼市,大木六新田,15226138022,3.4338945828047014,138.85194371946628,37.02097001246433,676.0,91.0,297.0,0.0,18.0,116.0,0.0,0.0,27.0,61.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,20.0,0.0
南魚沼市中野,南魚沼市,中野,15226139023,3.460486514421467,138.84809838008158,37.023726341288274,595.0,2077.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市中,南魚沼市,中,15226115008,3.5506051279017714,138.84302336758864,37.02700903793934,2049.0,982.0,799.0,136.0,47.0,91.0,0.0,0.0,163.0,1608.0,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市小杉新田,南魚沼市,小杉新田,15226137027,3.7399172582378344,138.8562447556648,37.0214627065487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市上野,南魚沼市,上野,15226149044,3.7510901669963572,138.7842903382194,36.99221211742712,0.0,500.0,666.0,56.0,351.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,144.0,0.0,0.0,0.0,0.0
南魚沼市大木六,南魚沼市,大木六,15226136030,3.9472730899886694,138.87006864258913,37.00188777131124,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市石打,南魚沼市,石打,15226150042,3.9619190132992497,138.79877106368315,36.96986242070659,2001.0,532.0,717.0,180.0,590.0,65.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0
南魚沼市大木六,南魚沼市,大木六,15226136028,3.9742818392397408,138.866587584058,37.01299467009401,5181.0,901.0,1085.0,181.0,978.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南魚沼市天野沢,南魚沼市,天野沢,15226121010,4.040074867638538,138.83805901740428,37.03317092184811,0.0,54.0,0.0,117.0,51.0,105.0,0.0,0.0,282.0,46.0,0.0,805.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0
