town_name_show,dist_km,おおさわ医院,澤﨑内科クリニック,恵那市国民健康保険山岡診療所,岐阜県厚生農業協同組合連合会 東濃中部医療センター 東濃厚生病院,東濃中央クリニック,河上クリニック,セオ医院,広瀬クリニック,瑞岐会診療所,道しるべ
恵那市岩村町本町二丁目,5.903191461974046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
瑞浪市陶町猿爪,5.965865548624285,58.0,1282.0,0.0,627.0,340.0,0.0,227.0,610.0,0.0,224.0
恵那市岩村町本町一丁目,6.0011885967937495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市三郷町佐々良木,6.086541483536465,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町殿町,6.089352565435505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市明智町吉良見,6.100257493447726,473.0,62.0,0.0,314.0,0.0,0.0,55.0,0.0,0.0,155.0
恵那市岩村町新市場,6.1405734105149925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
恵那市岩村町小沢山,6.171144017610502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
瑞浪市土岐町,6.217799941141633,0.0,111.0,0.0,88.0,0.0,0.0,23.0,0.0,0.0,89.0
恵那市岩村町下本郷,6.418066049479845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
