施設名,患者数合計,上位3頻出回数
医療法人社団　良江会　久留米ヶ丘病院,4597,1
医療法人社団　弘善会　清瀬富士見病院,4594,3
前原診療所,4356,1
南しばくぼ診療所,4214,1
医療法人社団　武蔵野会　小平中央リハビリテーション病院,3947,1
東京都清瀬喜望園診療所,3894,0
小野診療所,3782,0
所沢秋津診療所,3718,0
むさし小金井診療所,3681,1
東村山診療所,3289,2
栄光会第一診療所,3206,0
わこう在宅診療所,2805,1
恩多町診療所,2436,0
武蔵野みどり診療所,2084,1
調布市休日夜間急患診療所,2049,0
医療法人社団　永寿会　ふれあい診療所,2034,0
牟礼高山診療所,2022,0
髙田整形外科病院,1351,0
吉祥寺南町診療所,1166,0
本町診療所,769,0
医療法人社団　太樹会　鈴の木台診療所,466,1
和光内科外科診療所,179,0
