CITY_NAME,S_NAME,_city_,_sname_,dominant,max_count,match_type2
杉並区,清水一丁目,杉並区,清水一丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,7258,exact
杉並区,清水二丁目,杉並区,清水二丁目,天沼診療所,1654,exact
杉並区,清水三丁目,杉並区,清水三丁目,医療法人財団　アドベンチスト会　東京衛生アドベンチスト病院,2133,exact
杉並区,桃井一丁目,杉並区,桃井一丁目,城西病院,8419,exact
杉並区,桃井二丁目,杉並区,桃井二丁目,城西病院,4134,exact
杉並区,桃井三丁目,杉並区,桃井三丁目,医療法人財団　荻窪病院,2943,exact
杉並区,桃井四丁目,杉並区,桃井四丁目,城西病院,1786,exact
杉並区,井草一丁目,杉並区,井草一丁目,藤村病院,1235,exact
杉並区,井草二丁目,杉並区,井草二丁目,下井草診療所,2312,exact
杉並区,井草三丁目,杉並区,井草三丁目,城西病院,769,exact
杉並区,井草四丁目,杉並区,井草四丁目,河北総合病院 分院,439,exact
杉並区,井草五丁目,杉並区,井草五丁目,医療法人財団　荻窪病院,802,exact
杉並区,下井草一丁目,杉並区,下井草一丁目,藤村病院,4182,exact
杉並区,下井草二丁目,杉並区,下井草二丁目,藤村病院,889,exact
杉並区,下井草三丁目,杉並区,下井草三丁目,河北総合病院 分院,1733,exact
杉並区,下井草四丁目,杉並区,下井草四丁目,下井草診療所,3317,exact
杉並区,下井草五丁目,杉並区,下井草五丁目,医療法人財団　荻窪病院,590,exact
杉並区,上井草一丁目,杉並区,上井草一丁目,東京衛生アドベンチスト病院附属めぐみクリニック,650,exact
杉並区,上井草二丁目,杉並区,上井草二丁目,医療法人財団　荻窪病院,1992,exact
杉並区,上井草三丁目,杉並区,上井草三丁目,上井草在宅支援診療所,2965,exact
杉並区,上井草四丁目,杉並区,上井草四丁目,医療法人社団　杏順会　越川病院,5426,exact
杉並区,善福寺一丁目,杉並区,善福寺一丁目,医療法人社団　杏順会　越川病院,1649,exact
杉並区,善福寺二丁目,杉並区,善福寺二丁目,医療法人社団　親和会　杉並病院,1909,exact
杉並区,善福寺三丁目,杉並区,善福寺三丁目,市毛診療所 東京都練馬区,3566,exact
杉並区,善福寺四丁目,杉並区,善福寺四丁目,市毛診療所 東京都練馬区,2331,exact
杉並区,松庵一丁目,杉並区,松庵一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1766,exact
杉並区,松庵二丁目,杉並区,松庵二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,793,exact
杉並区,松庵三丁目,杉並区,松庵三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1701,exact
杉並区,宮前一丁目,杉並区,宮前一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,294,exact
杉並区,宮前二丁目,杉並区,宮前二丁目,山中病院,2034,exact
杉並区,宮前三丁目,杉並区,宮前三丁目,杏林大学医学部付属病院,1556,exact
杉並区,宮前四丁目,杉並区,宮前四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2015,exact
杉並区,宮前五丁目,杉並区,宮前五丁目,みやまえ病院（旧寺田病院）,1365,exact
杉並区,久我山一丁目,杉並区,久我山一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,628,exact
