CITY_NAME,S_NAME,dominant,max_count,topN_dominant,topN_max_count,match_type2
練馬区,関町東一丁目,医療法人社団　千秋会　田中脳神経外科病院,1836,順天堂大学医学部附属練馬病院,983,exact
練馬区,関町東二丁目,練馬区石神井休日急患診療所,208,順天堂大学医学部附属練馬病院,207,exact
練馬区,関町北一丁目,医療法人社団　遼山会　関町病院,2401,順天堂大学医学部附属練馬病院,665,exact
練馬区,関町北二丁目,医療法人社団　はなぶさ会　島村記念病院,4213,佐々総合病院,1136,exact
練馬区,関町北三丁目,医療法人社団　はなぶさ会　島村記念病院,4529,医療法人社団　東京白報会　みたか在宅診療所,439,exact
練馬区,関町北四丁目,医療法人社団　遼山会　関町病院,1365,佐々総合病院,671,exact
練馬区,関町北五丁目,順天堂大学医学部附属練馬病院,1764,順天堂大学医学部附属練馬病院,1764,exact
練馬区,関町南一丁目,市毛診療所 東京都練馬区,2442,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,186,exact
練馬区,関町南二丁目,医療法人社団　千秋会　田中脳神経外科病院,3264,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1290,exact
練馬区,関町南三丁目,医療法人社団　千秋会　田中脳神経外科病院,5540,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1590,exact
練馬区,関町南四丁目,医療法人社団　はなぶさ会　島村記念病院,9302,医療法人社団　東京白報会　みたか在宅診療所,3201,exact
練馬区,東大泉一丁目,順天堂大学医学部附属練馬病院,2344,順天堂大学医学部附属練馬病院,2344,exact
練馬区,東大泉三丁目,医療法人社団　久保田産婦人科病院,5315,順天堂大学医学部附属練馬病院,2214,exact
練馬区,東大泉四丁目,順天堂大学医学部附属練馬病院,967,順天堂大学医学部附属練馬病院,967,exact
練馬区,東大泉五丁目,順天堂大学医学部附属練馬病院,1841,順天堂大学医学部附属練馬病院,1841,exact
練馬区,東大泉六丁目,大泉生協病院,3034,順天堂大学医学部附属練馬病院,1700,exact
練馬区,東大泉七丁目,医療法人社団　純正会　東大泉病院,5007,順天堂大学医学部附属練馬病院,2358,exact
練馬区,西大泉一丁目,順天堂大学医学部附属練馬病院,1453,順天堂大学医学部附属練馬病院,1453,exact
練馬区,西大泉二丁目,順天堂大学医学部附属練馬病院,1554,順天堂大学医学部附属練馬病院,1554,exact
練馬区,西大泉三丁目,順天堂大学医学部附属練馬病院,2072,順天堂大学医学部附属練馬病院,2072,exact
練馬区,西大泉四丁目,医療法人社団　久保田産婦人科病院,1443,順天堂大学医学部附属練馬病院,868,exact
練馬区,西大泉五丁目,順天堂大学医学部附属練馬病院,2672,順天堂大学医学部附属練馬病院,2672,exact
練馬区,西大泉六丁目,順天堂大学医学部附属練馬病院,1959,順天堂大学医学部附属練馬病院,1959,exact
練馬区,南大泉一丁目,順天堂大学医学部附属練馬病院,1723,順天堂大学医学部附属練馬病院,1723,exact
練馬区,南大泉二丁目,順天堂大学医学部附属練馬病院,1718,順天堂大学医学部附属練馬病院,1718,exact
練馬区,南大泉三丁目,順天堂大学医学部附属練馬病院,1705,順天堂大学医学部附属練馬病院,1705,exact
