town,town_norm,CITY_NAME_from_master,S_NAME_from_master,total_87,東久留米市休日診療所,佐々総合病院,公立昭和病院,武蔵野赤十字病院,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,緑風荘病院,杏林大学医学部付属病院,順天堂大学医学部附属練馬病院,医療法人社団　東京白報会　みたか在宅診療所,医療法人　徳洲会　武蔵野徳洲会病院
武蔵野市境四丁目,武蔵野市境四丁目,武蔵野市,境四丁目,4763,0.0,0.0,0.0,773.0,230.0,0.0,117.0,0.0,144.0,364.0
武蔵野市境五丁目,武蔵野市境五丁目,武蔵野市,境五丁目,10831,0.0,0.0,311.0,2453.0,863.0,111.0,390.0,54.0,100.0,408.0
武蔵野市境南町一丁目,武蔵野市境南町一丁目,武蔵野市,境南町一丁目,9589,0.0,123.0,0.0,6396.0,64.0,0.0,50.0,0.0,138.0,243.0
武蔵野市境南町二丁目,武蔵野市境南町二丁目,武蔵野市,境南町二丁目,14542,0.0,0.0,124.0,3690.0,345.0,0.0,1269.0,55.0,296.0,90.0
武蔵野市境南町三丁目,武蔵野市境南町三丁目,武蔵野市,境南町三丁目,4765,0.0,0.0,204.0,390.0,215.0,62.0,203.0,0.0,253.0,247.0
武蔵野市境南町四丁目,武蔵野市境南町四丁目,武蔵野市,境南町四丁目,8135,0.0,162.0,0.0,827.0,266.0,0.0,308.0,0.0,605.0,391.0
武蔵野市境南町五丁目,武蔵野市境南町五丁目,武蔵野市,境南町五丁目,7682,0.0,238.0,0.0,680.0,384.0,130.0,68.0,0.0,0.0,188.0
武蔵野市桜堤一丁目,武蔵野市桜堤一丁目,武蔵野市,桜堤一丁目,8816,0.0,432.0,0.0,765.0,222.0,0.0,304.0,0.0,61.0,1220.0
武蔵野市桜堤二丁目,武蔵野市桜堤二丁目,武蔵野市,桜堤二丁目,8300,84.0,88.0,535.0,2030.0,272.0,0.0,318.0,0.0,184.0,680.0
武蔵野市桜堤三丁目,武蔵野市桜堤三丁目,武蔵野市,桜堤三丁目,2956,0.0,0.0,0.0,88.0,0.0,0.0,296.0,0.0,0.0,1760.0
三鷹市下連雀一丁目,三鷹市下連雀一丁目,三鷹市,下連雀一丁目,11347,0.0,0.0,0.0,574.0,3812.0,0.0,2258.0,49.0,292.0,0.0
三鷹市下連雀二丁目,三鷹市下連雀二丁目,三鷹市,下連雀二丁目,10318,0.0,0.0,0.0,773.0,1411.0,0.0,2185.0,0.0,371.0,0.0
三鷹市下連雀三丁目,三鷹市下連雀三丁目,三鷹市,下連雀三丁目,16168,0.0,84.0,0.0,2115.0,2224.0,91.0,3265.0,0.0,1635.0,55.0
三鷹市下連雀四丁目,三鷹市下連雀四丁目,三鷹市,下連雀四丁目,14798,0.0,0.0,0.0,533.0,1332.0,51.0,2839.0,0.0,922.0,0.0
三鷹市下連雀六丁目,三鷹市下連雀六丁目,三鷹市,下連雀六丁目,18913,0.0,169.0,0.0,545.0,4375.0,0.0,3145.0,0.0,434.0,49.0
三鷹市下連雀七丁目,三鷹市下連雀七丁目,三鷹市,下連雀七丁目,14927,0.0,89.0,0.0,1351.0,2268.0,0.0,1462.0,0.0,925.0,0.0
三鷹市下連雀九丁目,三鷹市下連雀九丁目,三鷹市,下連雀九丁目,14195,0.0,78.0,0.0,536.0,1573.0,0.0,1869.0,0.0,628.0,0.0
三鷹市井の頭四丁目,三鷹市井の頭四丁目,三鷹市,井の頭四丁目,9316,0.0,84.0,0.0,214.0,6790.0,0.0,573.0,0.0,106.0,0.0
三鷹市上連雀一丁目,三鷹市上連雀一丁目,三鷹市,上連雀一丁目,10919,0.0,0.0,0.0,644.0,1097.0,0.0,664.0,342.0,4154.0,74.0
三鷹市上連雀二丁目,三鷹市上連雀二丁目,三鷹市,上連雀二丁目,5080,0.0,0.0,0.0,828.0,538.0,0.0,643.0,0.0,1223.0,0.0
三鷹市上連雀三丁目,三鷹市上連雀三丁目,三鷹市,上連雀三丁目,2613,0.0,0.0,0.0,411.0,67.0,0.0,45.0,0.0,176.0,0.0
三鷹市上連雀四丁目,三鷹市上連雀四丁目,三鷹市,上連雀四丁目,16631,0.0,55.0,52.0,1184.0,196.0,0.0,1298.0,0.0,197.0,51.0
三鷹市上連雀五丁目,三鷹市上連雀五丁目,三鷹市,上連雀五丁目,10009,45.0,42.0,0.0,1805.0,440.0,0.0,823.0,0.0,584.0,0.0
三鷹市上連雀六丁目,三鷹市上連雀六丁目,三鷹市,上連雀六丁目,8245,0.0,86.0,147.0,884.0,392.0,43.0,1423.0,0.0,161.0,0.0
三鷹市上連雀七丁目,三鷹市上連雀七丁目,三鷹市,上連雀七丁目,10238,0.0,66.0,65.0,1191.0,524.0,0.0,991.0,0.0,355.0,0.0
三鷹市上連雀八丁目,三鷹市上連雀八丁目,三鷹市,上連雀八丁目,9892,65.0,45.0,0.0,447.0,1818.0,0.0,2418.0,0.0,233.0,47.0
三鷹市上連雀九丁目,三鷹市上連雀九丁目,三鷹市,上連雀九丁目,9890,0.0,108.0,0.0,1166.0,1398.0,39.0,1913.0,0.0,215.0,0.0
三鷹市井口一丁目,三鷹市井口一丁目,三鷹市,井口一丁目,9213,0.0,0.0,0.0,3287.0,486.0,0.0,335.0,0.0,475.0,126.0
三鷹市井口二丁目,三鷹市井口二丁目,三鷹市,井口二丁目,6916,0.0,65.0,0.0,601.0,316.0,0.0,416.0,0.0,497.0,0.0
三鷹市井口三丁目,三鷹市井口三丁目,三鷹市,井口三丁目,5004,103.0,0.0,69.0,612.0,386.0,0.0,439.0,0.0,0.0,62.0
三鷹市井口四丁目,三鷹市井口四丁目,三鷹市,井口四丁目,6177,0.0,0.0,378.0,688.0,467.0,0.0,820.0,0.0,0.0,0.0
三鷹市井口五丁目,三鷹市井口五丁目,三鷹市,井口五丁目,2746,0.0,0.0,0.0,153.0,364.0,0.0,158.0,0.0,52.0,0.0
三鷹市深大寺一丁目,三鷹市深大寺一丁目,三鷹市,深大寺一丁目,4548,0.0,0.0,0.0,1163.0,40.0,0.0,457.0,81.0,0.0,0.0
三鷹市深大寺二丁目,三鷹市深大寺二丁目,三鷹市,深大寺二丁目,9676,0.0,357.0,253.0,1516.0,875.0,0.0,724.0,0.0,439.0,62.0
三鷹市深大寺三丁目,三鷹市深大寺三丁目,三鷹市,深大寺三丁目,6062,0.0,0.0,0.0,756.0,349.0,0.0,631.0,0.0,85.0,0.0
三鷹市野崎一丁目,三鷹市野崎一丁目,三鷹市,野崎一丁目,3892,0.0,61.0,0.0,215.0,527.0,0.0,671.0,0.0,125.0,0.0
三鷹市野崎二丁目,三鷹市野崎二丁目,三鷹市,野崎二丁目,7054,0.0,0.0,0.0,1627.0,644.0,0.0,1663.0,0.0,92.0,0.0
三鷹市野崎三丁目,三鷹市野崎三丁目,三鷹市,野崎三丁目,4883,75.0,0.0,0.0,1740.0,631.0,0.0,711.0,0.0,208.0,0.0
三鷹市野崎四丁目,三鷹市野崎四丁目,三鷹市,野崎四丁目,1495,0.0,0.0,0.0,0.0,163.0,0.0,207.0,0.0,0.0,0.0
三鷹市大沢三丁目,三鷹市大沢三丁目,三鷹市,大沢三丁目,6096,0.0,133.0,0.0,681.0,824.0,0.0,947.0,0.0,46.0,0.0
調布市深大寺北町三丁目,調布市深大寺北町三丁目,調布市,深大寺北町三丁目,1998,0.0,0.0,0.0,306.0,415.0,0.0,157.0,0.0,66.0,0.0
調布市深大寺北町四丁目,調布市深大寺北町四丁目,調布市,深大寺北町四丁目,13063,0.0,0.0,0.0,591.0,516.0,0.0,1202.0,0.0,59.0,0.0
調布市深大寺北町五丁目,調布市深大寺北町五丁目,調布市,深大寺北町五丁目,12866,0.0,0.0,0.0,97.0,137.0,0.0,241.0,0.0,92.0,0.0
調布市深大寺北町六丁目,調布市深大寺北町六丁目,調布市,深大寺北町六丁目,5729,0.0,0.0,0.0,392.0,589.0,0.0,919.0,0.0,155.0,81.0
調布市深大寺東町八丁目,調布市深大寺東町八丁目,調布市,深大寺東町八丁目,4565,0.0,0.0,0.0,149.0,737.0,0.0,502.0,0.0,247.0,0.0
小金井市東町一丁目,小金井市東町一丁目,小金井市,東町一丁目,7714,82.0,0.0,780.0,1009.0,803.0,124.0,452.0,0.0,54.0,132.0
小金井市東町二丁目,小金井市東町二丁目,小金井市,東町二丁目,5915,0.0,74.0,0.0,996.0,413.0,50.0,566.0,0.0,0.0,61.0
小金井市東町三丁目,小金井市東町三丁目,小金井市,東町三丁目,3359,0.0,0.0,0.0,367.0,77.0,0.0,0.0,0.0,0.0,75.0
小金井市東町四丁目,小金井市東町四丁目,小金井市,東町四丁目,11246,0.0,72.0,0.0,1425.0,486.0,0.0,614.0,0.0,68.0,0.0
小金井市東町五丁目,小金井市東町五丁目,小金井市,東町五丁目,7318,0.0,0.0,0.0,497.0,539.0,0.0,535.0,0.0,0.0,55.0
小金井市梶野町一丁目,小金井市梶野町一丁目,小金井市,梶野町一丁目,1409,0.0,116.0,0.0,200.0,54.0,0.0,62.0,0.0,0.0,151.0
小金井市梶野町二丁目,小金井市梶野町二丁目,小金井市,梶野町二丁目,2767,0.0,167.0,47.0,296.0,278.0,0.0,45.0,0.0,148.0,208.0
小金井市梶野町三丁目,小金井市梶野町三丁目,小金井市,梶野町三丁目,2577,0.0,0.0,0.0,363.0,94.0,0.0,0.0,0.0,58.0,308.0
小金井市梶野町四丁目,小金井市梶野町四丁目,小金井市,梶野町四丁目,5150,94.0,219.0,0.0,1571.0,722.0,0.0,108.0,0.0,0.0,459.0
小金井市梶野町五丁目,小金井市梶野町五丁目,小金井市,梶野町五丁目,3420,0.0,0.0,79.0,994.0,204.0,0.0,106.0,0.0,0.0,52.0
小金井市関野町一丁目,小金井市関野町一丁目,小金井市,関野町一丁目,1104,0.0,0.0,0.0,0.0,118.0,0.0,52.0,0.0,0.0,105.0
小金井市関野町二丁目,小金井市関野町二丁目,小金井市,関野町二丁目,1544,0.0,0.0,0.0,115.0,0.0,0.0,163.0,0.0,0.0,198.0
小金井市緑町一丁目,小金井市緑町一丁目,小金井市,緑町一丁目,3082,149.0,50.0,0.0,521.0,146.0,0.0,349.0,0.0,0.0,58.0
小金井市緑町二丁目,小金井市緑町二丁目,小金井市,緑町二丁目,5072,0.0,0.0,68.0,856.0,0.0,0.0,421.0,0.0,0.0,316.0
小金井市緑町三丁目,小金井市緑町三丁目,小金井市,緑町三丁目,6996,0.0,0.0,187.0,709.0,330.0,217.0,62.0,0.0,0.0,388.0
小金井市緑町四丁目,小金井市緑町四丁目,小金井市,緑町四丁目,4644,0.0,0.0,148.0,499.0,328.0,0.0,45.0,0.0,0.0,203.0
小金井市緑町五丁目,小金井市緑町五丁目,小金井市,緑町五丁目,13739,0.0,70.0,176.0,2540.0,0.0,0.0,453.0,137.0,660.0,156.0
小金井市中町一丁目,小金井市中町一丁目,小金井市,中町一丁目,6312,0.0,0.0,0.0,936.0,310.0,0.0,160.0,0.0,297.0,406.0
小金井市中町二丁目,小金井市中町二丁目,小金井市,中町二丁目,8350,0.0,0.0,0.0,1334.0,420.0,0.0,884.0,0.0,205.0,308.0
小金井市中町三丁目,小金井市中町三丁目,小金井市,中町三丁目,11482,0.0,77.0,232.0,1495.0,0.0,0.0,951.0,0.0,213.0,0.0
小金井市中町四丁目,小金井市中町四丁目,小金井市,中町四丁目,5319,0.0,66.0,0.0,818.0,91.0,0.0,72.0,0.0,78.0,0.0
小金井市前原町二丁目,小金井市前原町二丁目,小金井市,前原町二丁目,7943,0.0,42.0,80.0,789.0,87.0,0.0,315.0,0.0,52.0,40.0
小金井市前原町三丁目,小金井市前原町三丁目,小金井市,前原町三丁目,11788,0.0,52.0,115.0,1804.0,875.0,0.0,81.0,0.0,53.0,0.0
小金井市本町一丁目,小金井市本町一丁目,小金井市,本町一丁目,12601,0.0,102.0,282.0,331.0,359.0,0.0,836.0,0.0,0.0,65.0
小金井市本町二丁目,小金井市本町二丁目,小金井市,本町二丁目,7116,0.0,58.0,444.0,1517.0,78.0,0.0,685.0,0.0,0.0,128.0
小金井市本町三丁目,小金井市本町三丁目,小金井市,本町三丁目,5597,0.0,0.0,34.0,584.0,624.0,43.0,476.0,0.0,0.0,105.0
小金井市本町四丁目,小金井市本町四丁目,小金井市,本町四丁目,5458,0.0,0.0,56.0,530.0,176.0,114.0,369.0,0.0,143.0,109.0
小金井市本町五丁目,小金井市本町五丁目,小金井市,本町五丁目,9041,0.0,0.0,126.0,1643.0,199.0,0.0,547.0,0.0,54.0,397.0
小金井市本町六丁目,小金井市本町六丁目,小金井市,本町六丁目,8914,0.0,0.0,543.0,198.0,408.0,0.0,392.0,0.0,76.0,161.0
小金井市桜町一丁目,小金井市桜町一丁目,小金井市,桜町一丁目,8585,113.0,0.0,482.0,119.0,336.0,270.0,231.0,0.0,0.0,131.0
小金井市桜町二丁目,小金井市桜町二丁目,小金井市,桜町二丁目,5307,111.0,64.0,133.0,506.0,0.0,0.0,202.0,0.0,0.0,73.0
小金井市桜町三丁目,小金井市桜町三丁目,小金井市,桜町三丁目,2016,0.0,89.0,219.0,249.0,57.0,49.0,0.0,0.0,0.0,43.0
小金井市貫井北町一丁目,小金井市貫井北町一丁目,小金井市,貫井北町一丁目,3808,0.0,0.0,0.0,918.0,0.0,144.0,547.0,0.0,215.0,0.0
小金井市貫井北町二丁目,小金井市貫井北町二丁目,小金井市,貫井北町二丁目,3765,40.0,0.0,80.0,417.0,0.0,0.0,48.0,0.0,0.0,84.0
小金井市貫井北町三丁目,小金井市貫井北町三丁目,小金井市,貫井北町三丁目,8187,0.0,94.0,165.0,970.0,237.0,0.0,508.0,0.0,0.0,71.0
小金井市貫井北町四丁目,小金井市貫井北町四丁目,小金井市,貫井北町四丁目,400,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
小平市小川東町,小平市小川東町,小平市,小川東町,6227,0.0,62.0,542.0,0.0,39.0,963.0,36.0,0.0,100.0,84.0
小平市小川東町三丁目,小平市小川東町三丁目,小平市,小川東町三丁目,6530,0.0,35.0,736.0,0.0,187.0,3499.0,0.0,0.0,0.0,0.0
小平市小川東町四丁目,小平市小川東町四丁目,小平市,小川東町四丁目,11295,0.0,55.0,989.0,0.0,57.0,2516.0,0.0,0.0,0.0,0.0
小平市小川東町五丁目,小平市小川東町五丁目,小平市,小川東町五丁目,7202,0.0,0.0,1031.0,0.0,110.0,1983.0,0.0,0.0,0.0,0.0
小平市上水南町一丁目,小平市上水南町一丁目,小平市,上水南町一丁目,6390,0.0,218.0,452.0,410.0,50.0,512.0,0.0,0.0,0.0,734.0
小平市上水南町二丁目,小平市上水南町二丁目,小平市,上水南町二丁目,4418,0.0,0.0,399.0,230.0,144.0,568.0,280.0,0.0,0.0,0.0
小平市上水南町三丁目,小平市上水南町三丁目,小平市,上水南町三丁目,5474,0.0,0.0,930.0,55.0,159.0,456.0,238.0,0.0,0.0,97.0
小平市上水南町四丁目,小平市上水南町四丁目,小平市,上水南町四丁目,2377,0.0,0.0,136.0,0.0,98.0,0.0,108.0,0.0,0.0,46.0
小平市喜平町一丁目,小平市喜平町一丁目,小平市,喜平町一丁目,5541,0.0,0.0,551.0,124.0,0.0,64.0,81.0,0.0,79.0,0.0
小平市喜平町二丁目,小平市喜平町二丁目,小平市,喜平町二丁目,2517,0.0,123.0,148.0,26.0,107.0,70.0,164.0,0.0,0.0,0.0
小平市喜平町三丁目,小平市喜平町三丁目,小平市,喜平町三丁目,8937,0.0,609.0,1470.0,43.0,206.0,214.0,35.0,0.0,578.0,285.0
小平市学園西町二丁目,小平市学園西町二丁目,小平市,学園西町二丁目,9192,0.0,0.0,542.0,98.0,394.0,341.0,287.0,0.0,57.0,120.0
小平市学園東町,小平市学園東町,小平市,学園東町,7787,0.0,200.0,1651.0,37.0,0.0,432.0,0.0,0.0,0.0,88.0
小平市学園東町一丁目,小平市学園東町一丁目,小平市,学園東町一丁目,9898,0.0,0.0,698.0,310.0,190.0,747.0,0.0,0.0,76.0,109.0
小平市学園東町二丁目,小平市学園東町二丁目,小平市,学園東町二丁目,8324,70.0,166.0,1686.0,322.0,379.0,300.0,0.0,0.0,0.0,235.0
小平市学園東町三丁目,小平市学園東町三丁目,小平市,学園東町三丁目,3895,0.0,74.0,612.0,0.0,37.0,236.0,0.0,0.0,0.0,0.0
小平市美園町一丁目,小平市美園町一丁目,小平市,美園町一丁目,9108,35.0,338.0,1006.0,0.0,80.0,666.0,0.0,29.0,71.0,30.0
小平市美園町二丁目,小平市美園町二丁目,小平市,美園町二丁目,4044,0.0,161.0,1537.0,0.0,69.0,183.0,0.0,0.0,0.0,0.0
小平市美園町三丁目,小平市美園町三丁目,小平市,美園町三丁目,7474,0.0,122.0,1205.0,0.0,0.0,526.0,116.0,0.0,0.0,0.0
小平市回田町,小平市回田町,小平市,回田町,15566,105.0,748.0,2801.0,248.0,273.0,526.0,415.0,39.0,76.0,163.0
小平市御幸町,小平市御幸町,小平市,御幸町,5759,0.0,123.0,770.0,593.0,39.0,131.0,106.0,37.0,0.0,177.0
小平市天神町一丁目,小平市天神町一丁目,小平市,天神町一丁目,8881,195.0,564.0,3231.0,39.0,37.0,578.0,55.0,71.0,70.0,142.0
小平市天神町二丁目,小平市天神町二丁目,小平市,天神町二丁目,4887,0.0,129.0,1910.0,29.0,41.0,153.0,31.0,0.0,0.0,0.0
小平市天神町三丁目,小平市天神町三丁目,小平市,天神町三丁目,1295,0.0,0.0,610.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
小平市天神町四丁目,小平市天神町四丁目,小平市,天神町四丁目,6159,0.0,0.0,2182.0,0.0,0.0,476.0,0.0,0.0,0.0,56.0
小平市大沼町一丁目,小平市大沼町一丁目,小平市,大沼町一丁目,7658,302.0,289.0,2289.0,0.0,42.0,706.0,0.0,0.0,0.0,0.0
小平市大沼町二丁目,小平市大沼町二丁目,小平市,大沼町二丁目,4917,283.0,203.0,1360.0,100.0,0.0,71.0,0.0,0.0,0.0,0.0
小平市大沼町三丁目,小平市大沼町三丁目,小平市,大沼町三丁目,1861,0.0,0.0,818.0,0.0,0.0,149.0,0.0,0.0,0.0,0.0
小平市大沼町四丁目,小平市大沼町四丁目,小平市,大沼町四丁目,8382,205.0,128.0,1132.0,0.0,0.0,233.0,33.0,33.0,0.0,32.0
小平市大沼町五丁目,小平市大沼町五丁目,小平市,大沼町五丁目,2015,0.0,0.0,427.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
小平市大沼町六丁目,小平市大沼町六丁目,小平市,大沼町六丁目,2468,236.0,41.0,977.0,47.0,53.0,395.0,0.0,0.0,0.0,0.0
小平市大沼町七丁目,小平市大沼町七丁目,小平市,大沼町七丁目,7867,37.0,201.0,2570.0,226.0,0.0,507.0,184.0,0.0,0.0,68.0
小平市花小金井南町一丁目,小平市花小金井南町一丁目,小平市,花小金井南町一丁目,9322,49.0,697.0,2138.0,51.0,105.0,0.0,93.0,51.0,46.0,546.0
小平市花小金井南町二丁目,小平市花小金井南町二丁目,小平市,花小金井南町二丁目,2337,0.0,381.0,469.0,217.0,0.0,155.0,54.0,0.0,0.0,51.0
小平市花小金井南町三丁目,小平市花小金井南町三丁目,小平市,花小金井南町三丁目,8041,85.0,848.0,1600.0,96.0,158.0,302.0,331.0,0.0,0.0,794.0
小平市花小金井一丁目,小平市花小金井一丁目,小平市,花小金井一丁目,8280,49.0,999.0,2206.0,0.0,126.0,68.0,0.0,0.0,143.0,101.0
小平市花小金井二丁目,小平市花小金井二丁目,小平市,花小金井二丁目,5144,403.0,1421.0,735.0,46.0,42.0,48.0,0.0,0.0,0.0,86.0
小平市花小金井三丁目,小平市花小金井三丁目,小平市,花小金井三丁目,7607,779.0,343.0,1746.0,200.0,73.0,313.0,59.0,168.0,0.0,548.0
小平市花小金井四丁目,小平市花小金井四丁目,小平市,花小金井四丁目,8229,271.0,275.0,1346.0,197.0,33.0,796.0,132.0,0.0,32.0,354.0
小平市花小金井五丁目,小平市花小金井五丁目,小平市,花小金井五丁目,9499,319.0,969.0,2877.0,43.0,0.0,82.0,0.0,528.0,0.0,105.0
小平市花小金井六丁目,小平市花小金井六丁目,小平市,花小金井六丁目,6332,153.0,479.0,1403.0,195.0,0.0,104.0,184.0,0.0,269.0,103.0
小平市花小金井七丁目,小平市花小金井七丁目,小平市,花小金井七丁目,7366,75.0,227.0,4249.0,0.0,106.0,130.0,0.0,0.0,0.0,113.0
小平市花小金井八丁目,小平市花小金井八丁目,小平市,花小金井八丁目,7669,63.0,375.0,5386.0,0.0,0.0,96.0,0.0,0.0,0.0,55.0
東村山市本町一丁目,東村山市本町一丁目,東村山市,本町一丁目,16082,131.0,0.0,891.0,0.0,35.0,1208.0,0.0,0.0,0.0,0.0
東村山市本町三丁目,東村山市本町三丁目,東村山市,本町三丁目,12190,72.0,0.0,909.0,0.0,81.0,777.0,74.0,0.0,0.0,0.0
東村山市本町四丁目,東村山市本町四丁目,東村山市,本町四丁目,32673,0.0,168.0,1563.0,0.0,0.0,2486.0,133.0,48.0,0.0,52.0
東村山市青葉町一丁目,東村山市青葉町一丁目,東村山市,青葉町一丁目,25389,458.0,136.0,393.0,0.0,43.0,410.0,213.0,126.0,0.0,0.0
東村山市青葉町四丁目,東村山市青葉町四丁目,東村山市,青葉町四丁目,1823,0.0,0.0,0.0,19.0,0.0,23.0,0.0,21.0,0.0,0.0
東村山市恩多町一丁目,東村山市恩多町一丁目,東村山市,恩多町一丁目,12657,156.0,42.0,973.0,0.0,43.0,1012.0,0.0,82.0,0.0,82.0
東村山市恩多町二丁目,東村山市恩多町二丁目,東村山市,恩多町二丁目,16977,95.0,116.0,799.0,0.0,118.0,3766.0,48.0,229.0,0.0,43.0
東村山市恩多町三丁目,東村山市恩多町三丁目,東村山市,恩多町三丁目,10862,75.0,0.0,497.0,0.0,0.0,1254.0,0.0,0.0,50.0,69.0
東村山市恩多町四丁目,東村山市恩多町四丁目,東村山市,恩多町四丁目,11244,67.0,79.0,939.0,0.0,0.0,586.0,207.0,0.0,41.0,0.0
東村山市恩多町五丁目,東村山市恩多町五丁目,東村山市,恩多町五丁目,17475,79.0,36.0,798.0,37.0,65.0,1213.0,279.0,39.0,0.0,36.0
東村山市萩山町一丁目,東村山市萩山町一丁目,東村山市,萩山町一丁目,18463,33.0,376.0,1526.0,103.0,36.0,4347.0,35.0,0.0,82.0,0.0
東村山市萩山町二丁目,東村山市萩山町二丁目,東村山市,萩山町二丁目,19237,0.0,200.0,1803.0,0.0,72.0,6872.0,92.0,41.0,80.0,0.0
東村山市萩山町三丁目,東村山市萩山町三丁目,東村山市,萩山町三丁目,30260,0.0,225.0,699.0,0.0,120.0,13559.0,782.0,0.0,0.0,0.0
東村山市萩山町四丁目,東村山市萩山町四丁目,東村山市,萩山町四丁目,9234,58.0,454.0,433.0,95.0,46.0,2640.0,0.0,0.0,0.0,0.0
東村山市萩山町五丁目,東村山市萩山町五丁目,東村山市,萩山町五丁目,6872,62.0,183.0,389.0,0.0,30.0,2060.0,0.0,36.0,0.0,0.0
東村山市栄町一丁目,東村山市栄町一丁目,東村山市,栄町一丁目,23158,37.0,518.0,1760.0,0.0,0.0,3754.0,287.0,0.0,0.0,40.0
東村山市栄町二丁目,東村山市栄町二丁目,東村山市,栄町二丁目,17861,32.0,180.0,1814.0,30.0,271.0,4999.0,31.0,92.0,66.0,40.0
東村山市栄町三丁目,東村山市栄町三丁目,東村山市,栄町三丁目,37467,0.0,102.0,1764.0,39.0,0.0,18130.0,39.0,79.0,39.0,0.0
東村山市美住町一丁目,東村山市美住町一丁目,東村山市,美住町一丁目,37444,134.0,0.0,901.0,93.0,0.0,11384.0,349.0,0.0,0.0,56.0
東村山市美住町二丁目,東村山市美住町二丁目,東村山市,美住町二丁目,11037,60.0,92.0,581.0,0.0,39.0,1022.0,37.0,0.0,0.0,0.0
清瀬市上清戸一丁目,清瀬市上清戸一丁目,清瀬市,上清戸一丁目,4140,60.0,161.0,191.0,0.0,0.0,0.0,0.0,93.0,54.0,147.0
清瀬市元町一丁目,清瀬市元町一丁目,清瀬市,元町一丁目,11587,355.0,0.0,606.0,131.0,0.0,85.0,45.0,538.0,0.0,39.0
清瀬市松山一丁目,清瀬市松山一丁目,清瀬市,松山一丁目,11636,150.0,165.0,588.0,154.0,0.0,0.0,206.0,398.0,0.0,0.0
清瀬市松山二丁目,清瀬市松山二丁目,清瀬市,松山二丁目,6567,43.0,0.0,212.0,0.0,0.0,134.0,0.0,448.0,0.0,0.0
清瀬市松山三丁目,清瀬市松山三丁目,清瀬市,松山三丁目,4603,90.0,40.0,45.0,0.0,0.0,296.0,0.0,65.0,0.0,0.0
清瀬市竹丘一丁目,清瀬市竹丘一丁目,清瀬市,竹丘一丁目,19093,268.0,77.0,651.0,63.0,100.0,162.0,0.0,282.0,0.0,0.0
清瀬市竹丘二丁目,清瀬市竹丘二丁目,清瀬市,竹丘二丁目,21724,564.0,76.0,994.0,52.0,0.0,73.0,134.0,697.0,0.0,47.0
清瀬市竹丘三丁目,清瀬市竹丘三丁目,清瀬市,竹丘三丁目,29448,589.0,150.0,1587.0,0.0,55.0,205.0,163.0,116.0,0.0,0.0
東久留米市上の原一丁目,東久留米市上の原一丁目,東久留米市,上の原一丁目,6106,2250.0,0.0,315.0,76.0,0.0,0.0,77.0,103.0,0.0,0.0
東久留米市上の原二丁目,東久留米市上の原二丁目,東久留米市,上の原二丁目,338,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東久留米市神宝町一丁目,東久留米市神宝町一丁目,東久留米市,神宝町一丁目,4373,1272.0,0.0,218.0,0.0,0.0,47.0,42.0,84.0,0.0,0.0
東久留米市神宝町二丁目,東久留米市神宝町二丁目,東久留米市,神宝町二丁目,5096,1283.0,145.0,216.0,0.0,53.0,0.0,200.0,0.0,0.0,0.0
東久留米市金山町一丁目,東久留米市金山町一丁目,東久留米市,金山町一丁目,4595,1675.0,47.0,30.0,0.0,0.0,32.0,0.0,177.0,0.0,0.0
東久留米市金山町二丁目,東久留米市金山町二丁目,東久留米市,金山町二丁目,7166,1573.0,72.0,161.0,0.0,0.0,0.0,161.0,1425.0,269.0,0.0
東久留米市氷川台一丁目,東久留米市氷川台一丁目,東久留米市,氷川台一丁目,5100,1414.0,0.0,413.0,0.0,0.0,0.0,0.0,348.0,0.0,0.0
東久留米市氷川台二丁目,東久留米市氷川台二丁目,東久留米市,氷川台二丁目,3282,1109.0,139.0,0.0,128.0,76.0,114.0,0.0,174.0,0.0,200.0
東久留米市大門町一丁目,東久留米市大門町一丁目,東久留米市,大門町一丁目,1783,574.0,77.0,37.0,0.0,0.0,37.0,0.0,118.0,0.0,0.0
東久留米市大門町二丁目,東久留米市大門町二丁目,東久留米市,大門町二丁目,9954,3845.0,127.0,840.0,48.0,0.0,0.0,0.0,600.0,0.0,0.0
東久留米市東本町,東久留米市東本町,東久留米市,東本町,9534,3350.0,100.0,513.0,0.0,0.0,274.0,86.0,306.0,0.0,0.0
東久留米市新川町一丁目,東久留米市新川町一丁目,東久留米市,新川町一丁目,5314,2473.0,45.0,160.0,0.0,41.0,0.0,0.0,915.0,45.0,41.0
東久留米市新川町二丁目,東久留米市新川町二丁目,東久留米市,新川町二丁目,3013,1391.0,0.0,165.0,118.0,0.0,0.0,0.0,78.0,0.0,0.0
東久留米市浅間町一丁目,東久留米市浅間町一丁目,東久留米市,浅間町一丁目,5624,1596.0,0.0,372.0,74.0,0.0,0.0,0.0,250.0,0.0,0.0
東久留米市浅間町二丁目,東久留米市浅間町二丁目,東久留米市,浅間町二丁目,7081,2425.0,57.0,121.0,121.0,89.0,0.0,0.0,440.0,0.0,0.0
