CITY_NAME,S_NAME,dominant,dominant_top,max_count,match_type2
練馬区,南大泉六丁目,順天堂大学医学部附属練馬病院,順天堂大学医学部附属練馬病院,465,exact
練馬区,大泉学園町二丁目,医療法人社団　久保田産婦人科病院,その他(上位7以外),5230,exact
練馬区,大泉学園町三丁目,医療法人社団　久保田産婦人科病院,その他(上位7以外),1659,exact
武蔵野市,吉祥寺東町一丁目,医療法人社団　東仁会　吉祥寺あさひ病院,その他(上位7以外),1435,exact
武蔵野市,吉祥寺東町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2640,exact
武蔵野市,吉祥寺東町三丁目,吉祥寺こころの診療所,その他(上位7以外),1478,exact
武蔵野市,吉祥寺東町四丁目,医療法人社団　親和会　杉並病院,その他(上位7以外),1124,exact
武蔵野市,吉祥寺南町一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,5142,exact
武蔵野市,吉祥寺南町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2938,exact
武蔵野市,吉祥寺南町四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2004,exact
武蔵野市,吉祥寺南町五丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,848,exact
武蔵野市,御殿山一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4425,exact
武蔵野市,御殿山二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1582,exact
武蔵野市,吉祥寺本町一丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1608,exact
武蔵野市,吉祥寺本町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1808,exact
武蔵野市,吉祥寺本町三丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,4013,exact
武蔵野市,吉祥寺本町四丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,2870,exact
武蔵野市,吉祥寺北町一丁目,医療法人社団　藤啓会　北町診療所,その他(上位7以外),4923,exact
武蔵野市,吉祥寺北町二丁目,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,医療法人社団　Ｈｅａｒｔ　Ｓｔａｔｉｏｎ　こころ診療所吉祥寺駅前,1583,exact
武蔵野市,吉祥寺北町三丁目,武蔵野陽和会病院,その他(上位7以外),1832,exact
武蔵野市,吉祥寺北町四丁目,武蔵野陽和会病院,その他(上位7以外),2743,exact
武蔵野市,吉祥寺北町五丁目,武蔵野陽和会病院,その他(上位7以外),2006,exact
武蔵野市,中町一丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,3695,exact
武蔵野市,中町二丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,5084,exact
武蔵野市,中町三丁目,医療法人社団　東京白報会　みたか在宅診療所,医療法人社団　東京白報会　みたか在宅診療所,4169,exact
