town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,奈良市立都祁診療所,医療法人正和会野村医院,社会医療法人畿内会 岡波総合病院,奈良市立月ヶ瀬診療所,山添村国民健康保険豊原診療所,山添村国民健康保険東山診療所,伊賀市立上野総合市民病院,奈良市立柳生診療所,あずまクリニック,山添村国民健康保険波多野診療所,医療法人 伊左治医院,医療法人アクアクリニック伊賀,医療法人友和会 竹沢内科歯科医院,梨ノ木診療所,佐々木内科,奈良市立田原診療所,ひらい小児科クリニック,奈良市立興東診療所,医療法人森川病院,はしもと総合診療クリニック,医療法人 泉澄会 亀田クリニック,おおのクリニック,医療法人社団馬岡医院,滝井医院,竹代クリニック,ゆめが丘クリニック,宮本医院,嶋地医院,広瀬医院,森田クリニック,桔梗往診クリニック24,医療法人佐那具医院,桔梗が丘四番町診療所,西田整形外科医院,一般財団法人信貴山病院分院上野病院,まちしクリニック,しみずハートクリニック,伊藤医院,医療法人阿山共生会 河合診療所,伊賀市応急診療所,医療法人 竹澤内科小児科医院,医療法人中産婦人科緑ケ丘クリニック,医療法人喜多医院,矢倉医院,あずま診療所,大西医院,松本胃腸内科,吉村クリニック,猪木内科医院,竹沢医院,谷本整形
山添村大字上津,山添村,大字上津,29322010000,3.7294110342287445,136.0258546338543,34.6812190033669,0.0,0.0,48.0,0.0,0.0,0.0,281.0,0.0,0.0,80.0,0.0,67.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字中之庄,山添村,大字中之庄,29322015000,4.087719952994812,136.06500934024407,34.67832955137407,0.0,47.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市月ヶ瀬桃香野,奈良市,月ヶ瀬桃香野,29201870000,4.105738501601396,136.00145501216616,34.70065872189659,0.0,0.0,128.0,76.0,0.0,0.0,200.0,54.0,52.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字吉田,山添村,大字吉田,29322016000,4.113287732682474,136.07402300998453,34.68306285100892,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字広代,山添村,大字広代,29322014000,4.175448068807403,136.0568740689916,34.674861892754436,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字菅生,山添村,大字菅生,29322009000,4.81751496557109,136.04109839440764,34.66779168642305,0.0,842.0,366.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字広瀬,山添村,大字広瀬,29322017000,5.000307285650483,136.07975060697825,34.67659580571048,0.0,209.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,54.0,12.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字大塩,山添村,大字大塩,29322029000,5.056077441601417,136.01057958206655,34.675151213133226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字片平,山添村,大字片平,29322019000,5.390634950280089,136.06507122015609,34.66557072435189,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字箕輪,山添村,大字箕輪,29322028000,5.7787675564417285,136.01481308456476,34.66517084889135,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字堂前,山添村,大字堂前,29322030000,5.862845408765241,136.01592566937185,34.66384782218438,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字鵜山,山添村,大字鵜山,29322018000,5.895292018778046,136.07490681235484,34.66424275349417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字北野,山添村,大字北野,29322006000,5.986168028311662,135.99031517072345,34.68087652586975,0.0,106.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
奈良市邑地町,奈良市,邑地町,29201838000,6.40811460228118,135.97461547402895,34.714901019597455,40.0,0.0,0.0,0.0,0.0,21.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字葛尾,山添村,大字葛尾,29322020000,6.428844811537325,136.06297638198268,34.65522454551557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山添村大字三ケ谷,山添村,大字三ケ谷,29322021000,6.670346897913061,136.0204821880491,34.65439786711434,0.0,396.0,71.0,0.0,657.0,67.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
