TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,あずまクリニック,あずま診療所,おおのクリニック,しみずハートクリニック,はしもと総合診療クリニック,ひらい小児科クリニック,まちしクリニック,ゆめが丘クリニック,一般財団法人信貴山病院分院上野病院,伊藤医院,伊賀市応急診療所,伊賀市立上野総合市民病院,佐々木内科,医療法人 伊左治医院,医療法人 泉澄会 亀田クリニック,医療法人 竹澤内科小児科医院,医療法人アクアクリニック伊賀,医療法人中産婦人科緑ケ丘クリニック,医療法人佐那具医院,医療法人友和会 竹沢内科歯科医院,医療法人喜多医院,医療法人森川病院,医療法人正和会野村医院,医療法人社団馬岡医院,医療法人阿山共生会 河合診療所,吉村クリニック,大西医院,奈良市立月ヶ瀬診療所,奈良市立柳生診療所,奈良市立田原診療所,奈良市立興東診療所,奈良市立都祁診療所,宮本医院,山添村国民健康保険東山診療所,山添村国民健康保険波多野診療所,山添村国民健康保険豊原診療所,嶋地医院,広瀬医院,松本胃腸内科,桔梗が丘四番町診療所,桔梗往診クリニック24,梨ノ木診療所,森田クリニック,滝井医院,猪木内科医院,矢倉医院,社会医療法人畿内会 岡波総合病院,竹代クリニック,竹沢医院,西田整形外科医院,谷本整形,LON,LAT,dist_km,total_patients,town,town_norm,match_type
29322010000,山添村,大字上津,山添村,大字上津,山添村大字上津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,281.0,127.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,136.0258546338543,34.6812190033669,3.7294110342287445,764.0,山添村大字上津,山添村上津,code_in_car30
29322015000,山添村,大字中之庄,山添村,大字中之庄,山添村大字中之庄,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.06500934024407,34.67832955137407,4.087719952994812,189.0,山添村大字中之庄,山添村中之庄,code_in_car30
29201870000,奈良市,月ヶ瀬桃香野,奈良市,月ヶ瀬桃香野,奈良市月ヶ瀬桃香野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,136.00145501216616,34.70065872189659,4.105738501601396,685.0,奈良市月ヶ瀬桃香野,奈良市月ヶ瀬桃香野,code_in_car30
29322016000,山添村,大字吉田,山添村,大字吉田,山添村大字吉田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.07402300998453,34.68306285100892,4.113287732682474,421.0,山添村大字吉田,山添村吉田,code_in_car30
29322014000,山添村,大字広代,山添村,大字広代,山添村大字広代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,254.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0568740689916,34.674861892754436,4.175448068807403,584.0,山添村大字広代,山添村広代,code_in_car30
29322009000,山添村,大字菅生,山添村,大字菅生,山添村大字菅生,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,0.0,0.0,0.0,0.0,136.04109839440764,34.66779168642305,4.81751496557109,1626.0,山添村大字菅生,山添村菅生,code_in_car30
29322017000,山添村,大字広瀬,山添村,大字広瀬,山添村大字広瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,0.0,0.0,0.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,169.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,136.07975060697825,34.67659580571048,5.000307285650483,535.0,山添村大字広瀬,山添村広瀬,code_in_car30
29322029000,山添村,大字大塩,山添村,大字大塩,山添村大字大塩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.01057958206655,34.675151213133226,5.056077441601417,0.0,山添村大字大塩,山添村大塩,code_in_car30
29322019000,山添村,大字片平,山添村,大字片平,山添村大字片平,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.06507122015609,34.66557072435189,5.390634950280089,228.0,山添村大字片平,山添村片平,code_in_car30
29322028000,山添村,大字箕輪,山添村,大字箕輪,山添村大字箕輪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.01481308456476,34.66517084889135,5.7787675564417285,199.0,山添村大字箕輪,山添村箕輪,code_in_car30
