town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,社会医療法人社団さつき会 かずさアカデミアクリニック,医療法人社団 雄成会 中村医院,サン・ラポール南房総診療所,医療法人社団周晴会 鈴木病院,医療法人社団 慈永会 永峯医院,まえだクリニック,平岡医院,榎本医院,君津サンクリニック,医療法人社団芙蓉会 千葉芙蓉病院,鴨川市立国保病院,君津市国保笹診療所,君津市国保松丘診療所,君津市国保小櫃診療所
君津市東粟倉,君津市,東粟倉,12225079000,4.786987941918234,140.0102955244029,35.24199190228319,68.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川俣旧川俣,君津市,川俣旧川俣,12225141100,4.856993568082301,140.08532682364884,35.219359405869184,0.0,0.0,0.0,0.0,91.0,47.0,0.0,389.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市寺沢,君津市,寺沢,12225099000,4.955315566240125,140.05091612188832,35.30159708599017,2188.0,0.0,0.0,0.0,180.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川俣旧月毛,君津市,川俣旧月毛,12225141200,5.057900114074736,140.07930033424572,35.215084487919675,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0
君津市正木,君津市,正木,12225088000,5.060549839321714,140.03185336488215,35.21803512803741,0.0,0.0,63.0,39.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0
君津市大岩,君津市,大岩,12225087000,5.112039678478449,140.02355789657216,35.22215379465438,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
君津市辻森,君津市,辻森,12225086000,5.115010020015164,140.018759366087,35.2257606433505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市青柳,君津市,青柳,12225100000,5.195852483631796,140.06873528311934,35.30368537436364,0.0,0.0,0.0,0.0,233.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市草川原,君津市,草川原,12225139000,5.284634703439813,140.09355582263763,35.21908145756318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市小市部,君津市,小市部,12225109000,5.361419778491134,140.0837659147333,35.301514126287366,19.0,19.0,0.0,0.0,204.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西猪原,君津市,西猪原,12225078000,5.395183431373634,140.0000229156009,35.25682636268009,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市日渡根,君津市,日渡根,12225076000,5.432194845611085,140.0009511812065,35.26788717031101,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市糸川,君津市,糸川,12225062000,5.670940503771014,140.00524202650473,35.282943242363274,177.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市岩出,君津市,岩出,12225098000,5.6952109381960305,140.04512350901913,35.30744689089961,145.0,93.0,0.0,0.0,90.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,0.0,0.0
君津市東日笠,君津市,東日笠,12225084000,5.760046309208575,140.0023593256235,35.23498159227117,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市川谷,君津市,川谷,12225113000,5.854981185890675,140.1081719617005,35.29206715716208,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市二入,君津市,二入,12225085000,5.889955817087963,140.0111299718702,35.22223423228526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
市原市石塚,市原市,石塚,12219268000,5.894412135318247,140.12345557978077,35.266379231063794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西粟倉,君津市,西粟倉,12225073000,6.058485884974237,139.9930453354085,35.25214334713854,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市箕輪,君津市,箕輪,12225101000,6.082168569934522,140.0748008127993,35.310819528579515,41.0,0.0,0.0,237.0,868.0,153.0,0.0,44.0,0.0,0.0,0.0,0.0,43.0,52.0
君津市清和市場,君津市,清和市場,12225074000,6.096183349709462,139.9923408595913,35.25962213519908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市宿原,君津市,宿原,12225090000,6.165289804233434,140.02683526479996,35.208945755338725,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市滝原,君津市,滝原,12225136000,6.1982134055942515,140.11430130092893,35.224425876749265,0.0,0.0,0.0,0.0,0.0,90.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市法木,君津市,法木,12225072000,6.2225606148141095,140.0120173211567,35.29799100298995,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市釜生,君津市,釜生,12225135000,6.327039636117084,140.1181577973643,35.22696040466147,0.0,0.0,0.0,0.0,204.0,440.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市植畑,君津市,植畑,12225081000,6.454476800753201,139.99298837168496,35.23697067061697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市上新田,君津市,上新田,12225102000,6.566080501678743,140.06640658708628,35.316354159889464,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市市宿,君津市,市宿,12225075000,6.643707076264042,139.98729853899303,35.26760749582956,0.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市俵田,君津市,俵田,12225103000,6.646615894900724,140.05636632493326,35.317300760805104,274.0,0.0,319.0,0.0,143.0,1027.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
市原市菅野,市原市,菅野,12219267000,6.681064958473797,140.1204209600272,35.2912122811262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市西日笠,君津市,西日笠,12225082000,6.71574688354312,139.99899954083904,35.22277573254678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
君津市戸崎,君津市,戸崎,12225097000,6.758910776101746,140.0316629329004,35.313977503460144,1250.0,0.0,0.0,86.0,366.0,195.0,0.0,27.0,0.0,0.0,0.0,24.0,0.0,0.0
