TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,まえだクリニック,サン・ラポール南房総診療所,医療法人社団 慈永会 永峯医院,医療法人社団 雄成会 中村医院,医療法人社団周晴会 鈴木病院,医療法人社団芙蓉会 千葉芙蓉病院,君津サンクリニック,君津市国保小櫃診療所,君津市国保松丘診療所,君津市国保笹診療所,平岡医院,榎本医院,社会医療法人社団さつき会 かずさアカデミアクリニック,鴨川市立国保病院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
12225142100,君津市,豊田旧野中,君津市,豊田旧野中,君津市豊田旧野中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.08059288162508,35.23277085284882,3.361725748143219,0.0,君津市豊田旧野中,君津市豊田旧野中,code_in_car30
12225117000,君津市,向郷,君津市,向郷,君津市向郷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0535063492552,35.288572645038215,3.488125324234216,65.0,君津市向郷,君津市向郷,code_in_car30
12225132000,君津市,加名盛,君津市,加名盛,君津市加名盛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,140.0580336679705,35.22533918047285,3.5871567303941405,46.0,君津市加名盛,君津市加名盛,code_in_car30
12225140000,君津市,藤林,君津市,藤林,君津市藤林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.0,0.0,0.0,140.08944118749253,35.2328336537023,3.872487232168188,1532.0,君津市藤林,君津市藤林,code_in_car30
12225142200,君津市,豊田旧菅間田,君津市,豊田旧菅間田,君津市豊田旧菅間田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.08259406891847,35.22812650619871,3.892132930881057,0.0,君津市豊田旧菅間田,君津市豊田旧菅間田,code_in_car30
12225121000,君津市,愛宕,君津市,愛宕,君津市愛宕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0,0.0,216.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,59.0,40.0,0.0,140.05174165506907,35.29220928499854,3.913549870610147,590.0,君津市愛宕,君津市愛宕,code_in_car30
12225077000,君津市,東猪原,君津市,東猪原,君津市東猪原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.01621457509873,35.25449039053629,3.9394114694930304,85.0,君津市東猪原,君津市東猪原,code_in_car30
12225116000,君津市,久留里大和田,君津市,久留里大和田,君津市久留里大和田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.07124851836286,35.29362208359765,4.148818281014755,0.0,君津市久留里大和田,君津市久留里大和田,code_in_car30
12225112000,君津市,怒田,君津市,怒田,君津市怒田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.1044338091163,35.269408881960885,4.292044875687821,422.0,君津市怒田,君津市怒田,code_in_car30
12225120000,君津市,富田,君津市,富田,君津市富田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,15.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.06208256821682,35.296622382727996,4.3480899334972545,185.0,君津市富田,君津市富田,code_in_car30
