都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
三重県,鈴鹿市,若松西,三丁目,鈴鹿市若松西三丁目,24207,106003,4,74.0,鈴鹿市,若松西三丁目,鈴鹿市若松西三丁目,24207106003,5.0,3.0,8.0,5.0,3.0,0.0,3.0,7.0,7.0,13.0,6.0,1.0,3.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
三重県,鈴鹿市,若松西,四丁目,鈴鹿市若松西四丁目,24207,106004,4,385.0,鈴鹿市,若松西四丁目,鈴鹿市若松西四丁目,24207106004,19.0,14.0,15.0,21.0,13.0,17.0,23.0,18.0,22.0,31.0,26.0,19.0,30.0,27.0,28.0,27.0,13.0,4.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,23.0
三重県,鈴鹿市,若松西,五丁目,鈴鹿市若松西五丁目,24207,106005,4,480.0,鈴鹿市,若松西五丁目,鈴鹿市若松西五丁目,24207106005,22.0,18.0,37.0,25.0,18.0,17.0,20.0,24.0,30.0,37.0,32.0,31.0,15.0,16.0,31.0,28.0,28.0,16.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,25.0
三重県,鈴鹿市,若松西,六丁目,鈴鹿市若松西六丁目,24207,106006,4,297.0,鈴鹿市,若松西六丁目,鈴鹿市若松西六丁目,24207106006,4.0,2.0,6.0,6.0,11.0,13.0,6.0,4.0,11.0,14.0,16.0,16.0,9.0,16.0,26.0,36.0,38.0,32.0,16.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,1.0,0.0,23.0
三重県,鈴鹿市,若松東,一丁目,鈴鹿市若松東一丁目,24207,107001,4,430.0,鈴鹿市,若松東一丁目,鈴鹿市若松東一丁目,24207107001,8.0,17.0,11.0,17.0,17.0,22.0,22.0,24.0,18.0,31.0,30.0,34.0,32.0,22.0,29.0,25.0,18.0,13.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,23.0
三重県,鈴鹿市,若松東,二丁目,鈴鹿市若松東二丁目,24207,107002,4,452.0,鈴鹿市,若松東二丁目,鈴鹿市若松東二丁目,24207107002,14.0,10.0,11.0,6.0,19.0,23.0,28.0,24.0,15.0,19.0,23.0,33.0,34.0,25.0,44.0,25.0,28.0,8.0,8.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,0.0,0.0,26.0
三重県,鈴鹿市,若松東,三丁目,鈴鹿市若松東三丁目,24207,107003,4,336.0,鈴鹿市,若松東三丁目,鈴鹿市若松東三丁目,24207107003,6.0,4.0,16.0,14.0,7.0,13.0,8.0,12.0,18.0,23.0,22.0,28.0,21.0,26.0,28.0,23.0,25.0,15.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,20.0
三重県,鈴鹿市,若松北,一丁目,鈴鹿市若松北一丁目,24207,108001,4,615.0,鈴鹿市,若松北一丁目,鈴鹿市若松北一丁目,24207108001,4.0,12.0,29.0,32.0,34.0,22.0,11.0,20.0,38.0,55.0,57.0,46.0,37.0,41.0,51.0,45.0,31.0,12.0,10.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,1.0,1.0,0.0,0.0,36.0
三重県,鈴鹿市,若松北,二丁目,鈴鹿市若松北二丁目,24207,108002,4,1032.0,鈴鹿市,若松北二丁目,鈴鹿市若松北二丁目,24207108002,18.0,35.0,41.0,52.0,53.0,53.0,48.0,53.0,55.0,90.0,75.0,71.0,50.0,71.0,68.0,54.0,35.0,18.0,7.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,6.0,6.0,6.0,4.0,2.0,1.0,0.0,0.0,54.0
三重県,鈴鹿市,若松北,三丁目,鈴鹿市若松北三丁目,24207,108003,4,181.0,鈴鹿市,若松北三丁目,鈴鹿市若松北三丁目,24207108003,1.0,2.0,6.0,11.0,10.0,8.0,6.0,6.0,13.0,9.0,19.0,13.0,6.0,15.0,22.0,14.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0
