town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,学校法人獨協学園 獨協医科大学日光医療センター,今市病院,日光市民病院,岡村整形外科,阿久津医院,ぶんかばしファミリークリニック,石塚クリニック,藤原医院,吉原医院,見龍堂医療福祉総合クリニック,おおはしアイクリニック,山﨑内科医院,熊谷医院,いちいクリニック内科・皮膚科,日光野口病院,見龍堂クリニックかわせみ,新沢外科,医療法人 博友会 日光腎クリニック,木村内科医院,森病院,岡医院,川上病院,沼尾医院,小泉内科クリニック,栃木県県西保健所今市支所,森島こどもクリニック,小沢医院,本町内科クリニック,小西医院,いとうクリニック,荒井腎クリニック,日光市立小来川診療所
日光市平ケ崎,日光市,平ケ崎,09206073003,7.446868679332866,139.6760537845615,36.716245153266584,729.0,533.0,50.0,781.0,212.0,54.0,43.0,0.0,445.0,53.0,145.0,0.0,54.0,0.0,99.0,450.0,0.0,0.0,62.0,0.0,0.0,156.0,216.0,151.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0
日光市和泉,日光市,和泉,09206061000,7.451986616681721,139.66369884742977,36.72297251408537,597.0,299.0,172.0,38.0,128.0,0.0,0.0,172.0,36.0,0.0,187.0,0.0,0.0,69.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市明神,日光市,明神,09206084001,7.73909022214339,139.70669225470022,36.683785406203555,577.0,262.0,145.0,190.0,372.0,0.0,72.0,0.0,395.0,33.0,118.0,36.0,0.0,0.0,154.0,101.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
日光市野口,日光市,野口,09206060000,7.970549795210834,139.65121298364198,36.73238365541001,404.0,817.0,1233.0,1092.0,399.0,0.0,0.0,675.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市室瀬,日光市,室瀬,09206076000,8.025963790702082,139.70026318759992,36.701813425556914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市千本木,日光市,千本木,09206074001,8.084563196500506,139.6836008193675,36.718628242786316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市下の内,日光市,下の内,09206075000,8.095612267804327,139.69190268922077,36.71204166486274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市七里,日光市,七里,09206059000,8.15654797547742,139.63594530375585,36.73692060346693,1278.0,389.0,602.0,240.0,65.0,0.0,0.0,823.0,31.0,0.0,33.0,0.0,0.0,346.0,183.0,77.0,0.0,31.0,0.0,199.0,154.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市千本木,日光市,千本木,09206074002,8.20617959385278,139.68510231785194,36.71901823436159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市千本木,日光市,千本木,09206074003,8.216661080849061,139.68710973655476,36.717649752070734,135.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,77.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市小代,日光市,小代,09206082001,8.22077431402585,139.71510788569063,36.656929935096734,858.0,156.0,0.0,212.0,1236.0,127.0,0.0,43.0,0.0,0.0,139.0,111.0,539.0,0.0,0.0,0.0,0.0,49.0,0.0,212.0,0.0,45.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
日光市平ケ崎,日光市,平ケ崎,09206073002,8.272890800717938,139.68268188585787,36.72149405091547,40.0,722.0,0.0,100.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0
日光市平ケ崎,日光市,平ケ崎,09206073004,8.388708477390848,139.6871114434302,36.71977088371551,283.0,351.0,173.0,140.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
