rank,施設名,利用者数合計,対象施設フラグ
1,草津こまくさ病院,4186.0,0
2,桜井クリニック,2894.0,0
3,草津外科内科クリニック,2247.0,0
4,嬬恋村国民健康保険診療所,2172.0,1
5,布施医院,814.0,0
6,六合診療所 小雨出張所,367.0,0
7,長野原町へき地診療所,276.0,0
8,六合診療所 湯久保出張所,60.0,0
9,長生病院,0.0,0
10,長野原町へき地診療所栗平出張所,0.0,0
