TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,六合診療所 小雨出張所,六合診療所 湯久保出張所,嬬恋村国民健康保険診療所,布施医院,桜井クリニック,草津こまくさ病院,草津外科内科クリニック,長生病院,長野原町へき地診療所,長野原町へき地診療所栗平出張所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
10426002000,草津町,大字前口,草津町,大字前口,草津町大字前口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,109.0,0.0,0.0,254.0,488.0,0.0,0.0,0.0,138.57070073356437,36.5939641179128,6.814923985349048,851.0,草津町大字前口,草津町前口,code_in_car30
10424008000,長野原町,大字与喜屋,長野原町,大字与喜屋,長野原町大字与喜屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,138.62605700206137,36.53194095151101,6.821874965841883,76.0,長野原町大字与喜屋,長野原町与喜屋,code_in_car30
10421023000,中之条町,大字日影,中之条町,大字日影,中之条町大字日影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.61478500515128,36.57744158867192,7.479472290822005,60.0,中之条町大字日影,中之条町日影,code_in_car30
10425003000,嬬恋村,大字大笹,嬬恋村,大字大笹,嬬恋村大字大笹,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,187.0,0.0,712.0,0.0,0.0,0.0,0.0,0.0,138.49364737020812,36.48450134586674,7.53269356144031,899.0,嬬恋村大字大笹,嬬恋村大笹,code_in_car30
10425002000,嬬恋村,大字干俣,嬬恋村,大字干俣,嬬恋村大字干俣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.46114108164394,36.55462061517485,8.214587811805128,0.0,嬬恋村大字干俣,嬬恋村干俣,code_in_car30
10421022000,中之条町,大字太子,中之条町,大字太子,中之条町大字太子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.61333917090454,36.59130353707762,8.448175179940216,0.0,中之条町大字太子,中之条町太子,code_in_car30
10424005000,長野原町,大字長野原,長野原町,大字長野原,長野原町大字長野原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.6489605806699,36.54970989771516,9.007946155538937,0.0,長野原町大字長野原,長野原町長野原,code_in_car30
10425008001,嬬恋村,大字鎌原,嬬恋村,大字鎌原,嬬恋村大字鎌原,群馬県,嬬恋村,大字鎌原,,嬬恋村大字鎌原,10425.0,8001.0,4.0,1965.0,47.0,69.0,78.0,63.0,66.0,73.0,58.0,118.0,122.0,148.0,142.0,133.0,151.0,194.0,190.0,155.0,79.0,47.0,21.0,7.0,0.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,8.0,10.0,16.0,18.0,17.0,9.0,5.0,2.0,1.0,0.0,123.0,0.0,0.0,195.0,0.0,400.0,386.0,28.0,0.0,0.0,0.0,138.5317165108727,36.45188869886416,9.38407409221672,1009.0,嬬恋村大字鎌原,嬬恋村鎌原,code_in_car30
10425012000,嬬恋村,大字干俣,嬬恋村,大字干俣,嬬恋村大字干俣,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,138.49743642080986,36.60870262303479,9.433671574332905,17.0,嬬恋村大字干俣,嬬恋村干俣,code_in_car30
10421020000,中之条町,大字小雨,中之条町,大字小雨,中之条町大字小雨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.62473294358128,36.601909768681345,10.005159997065114,0.0,中之条町大字小雨,中之条町小雨,code_in_car30
10424010000,長野原町,大字北軽井沢,長野原町,大字北軽井沢,長野原町大字北軽井沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,138.60960191339754,36.45486777160818,10.392793772906677,35.0,長野原町大字北軽井沢,長野原町北軽井沢,code_in_car30
10426001000,草津町,大字草津,草津町,大字草津,草津町大字草津,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,758.0,37.0,2387.0,1563.0,0.0,0.0,0.0,138.57734694210626,36.62626990796309,10.44042542258196,4745.0,草津町大字草津,草津町草津,code_in_car30
10421021000,中之条町,大字生須,中之条町,大字生須,中之条町大字生須,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.63963737683864,36.597188211496864,10.590526875266603,0.0,中之条町大字生須,中之条町生須,code_in_car30
10421024000,中之条町,大字赤岩,中之条町,大字赤岩,中之条町大字赤岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,296.0,0.0,0.0,0.0,0.0,138.6543917190577,36.58119244844237,10.659766119389127,296.0,中之条町大字赤岩,中之条町赤岩,code_in_car30
10424003000,長野原町,大字横壁,長野原町,大字横壁,長野原町大字横壁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.66919283572338,36.531369106322664,10.67506444566915,0.0,長野原町大字横壁,長野原町横壁,code_in_car30
10429017001,東吾妻町,大字須賀尾須賀尾一区,東吾妻町,大字須賀尾須賀尾一区,東吾妻町大字須賀尾須賀尾一区,群馬県,東吾妻町,大字須賀尾,須賀尾一区,東吾妻町大字須賀尾須賀尾一区,10429.0,17001.0,4.0,84.0,1.0,3.0,6.0,2.0,1.0,0.0,3.0,6.0,5.0,3.0,2.0,5.0,5.0,18.0,10.0,3.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.66837026473465,36.497411649660286,11.391526420584816,0.0,東吾妻町大字須賀尾須賀尾一区,東吾妻町須賀尾須賀尾一区,code_in_car30
10424004000,長野原町,大字林,長野原町,大字林,長野原町大字林,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.6774096672527,36.55418889449229,11.597362110147332,0.0,長野原町大字林,長野原町林,code_in_car30
10425001000,嬬恋村,大字田代,嬬恋村,大字田代,嬬恋村大字田代,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,167.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,138.43724745234695,36.47276442564935,12.21166118546757,503.0,嬬恋村大字田代,嬬恋村田代,code_in_car30
10424001000,長野原町,大字川原畑,長野原町,大字川原畑,長野原町大字川原畑,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.70003173061664,36.561534394219045,13.740111724718908,0.0,長野原町大字川原畑,長野原町川原畑,code_in_car30
10424002000,長野原町,大字川原湯,長野原町,大字川原湯,長野原町大字川原湯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,70.0,53.0,0.0,0.0,0.0,0.0,138.7039273563653,36.54365035220626,13.803059477115056,123.0,長野原町大字川原湯,長野原町川原湯,code_in_car30
10429011003,東吾妻町,大字松谷大平,東吾妻町,大字松谷大平,東吾妻町大字松谷大平,群馬県,東吾妻町,大字松谷,大平,東吾妻町大字松谷大平,10429.0,11003.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.71616478649133,36.58180728094755,15.743704658879274,0.0,東吾妻町大字松谷大平,東吾妻町松谷大平,code_in_car30
10421025000,中之条町,大字入山,中之条町,大字入山,中之条町大字入山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.64165279320693,36.67720317796747,17.809594261739115,367.0,中之条町大字入山,中之条町入山,code_in_car30
10429012010,東吾妻町,大字三島,東吾妻町,大字三島,東吾妻町大字三島,群馬県,東吾妻町,大字三島,,東吾妻町大字三島,10429.0,12010.0,4.0,49.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,8.0,0.0,2.0,4.0,5.0,7.0,4.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.74944636268887,36.54810294948063,17.895018876682176,0.0,東吾妻町大字三島,東吾妻町三島,code_in_car30
