town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 伊豆今井浜病院,上の山鎮目クリニック,臼井医院,佐倉医院,菊池医院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,はらクリニック,医療法人社団辰五会 ふれあい南伊豆ホスピタル,公益社団法人地域医療振興協会 いなずさ診療所,飯島医院,市之瀬診療所,かわづクリニック,白津医院,のぞみ記念 下田循環器・腎臓クリニック,公益社団法人地域医療振興協会 上河津診療所,佐藤医院,医療法人社団桑寿会 下田温泉病院,小川クリニック,下田メディカルセンター附属みなとクリニック,かとうクリニック
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,0.2107694514477783,138.94288754201767,34.681520346515626,667.0,0.0,0.0,105.0,205.0,102.0,0.0,125.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,0.452654901362252,138.93939051007678,34.68486821301736,129.0,205.0,246.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市敷根,下田市,敷根,00222190210,0.46016108196724337,138.93575574067614,34.68174226463278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,0.4693875925677424,138.9457357406586,34.68015184674674,396.0,0.0,28.0,29.0,92.0,110.0,0.0,68.0,80.0,0.0,38.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,0.5325827622075208,138.94319161173854,34.68526730369039,465.0,205.0,306.0,112.0,0.0,179.0,0.0,174.0,74.0,0.0,169.0,0.0,61.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市一丁目,下田市,一丁目,00222190110,0.5470127474496882,138.94397371192036,34.67682724590667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,0.5961540270145963,138.9456556827099,34.68441780190783,209.0,253.0,516.0,40.0,122.0,60.0,0.0,88.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市四丁目,下田市,四丁目,00222190140,0.6928622679103447,138.9409060891876,34.674712215443115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市二丁目,下田市,二丁目,00222190120,0.8254163415866236,138.94389102871364,34.67399919602186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東中,下田市,東中,00222190380,0.9149147304018269,138.94574869432597,34.68804125746886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西中,下田市,西中,00222190370,0.9445767480365087,138.9414637873699,34.68941188691693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中,下田市,中,22219036000,0.9660401033440851,138.95095283542167,34.68301326943528,539.0,189.0,271.0,594.0,216.0,31.0,220.0,49.0,0.0,106.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0
下田市六丁目,下田市,六丁目,22219016000,0.9755384706104562,138.93333565453526,34.67458763535051,3810.0,1814.0,1264.0,972.0,985.0,98.0,427.0,90.0,95.0,97.0,95.0,197.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市武ガ浜,下田市,武ガ浜,00222190610,1.02019671014175,138.94802235029104,34.67402365937963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市高馬,下田市,高馬,00222190270,1.0224572289007874,138.938562373166,34.68996753241746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016001,1.1498819458024816,138.92813102629066,34.681419906639086,891.0,516.0,169.0,832.0,0.0,123.0,1143.0,178.0,143.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016002,1.2547787646617237,138.9279490189307,34.676756369444,295.0,57.0,0.0,0.0,452.0,59.0,168.0,127.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中（中）,下田市,中（中）,22219036001,1.3279039427794554,138.94824553360834,34.69114104197857,0.0,209.0,121.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
