town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,下田メディカルセンター,公益社団法人地域医療振興協会 伊豆今井浜病院,河井医院,ひがしなかクリニック,上の山鎮目クリニック,公益社団法人地域医療振興協会 上河津診療所,菊池医院,飯島医院,佐倉医院,臼井医院,かわづクリニック,白津医院,佐藤医院,市之瀬診療所,公益社団法人地域医療振興協会 いなずさ診療所,医療法人社団桑寿会 下田温泉病院,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,医療法人社団辰五会 ふれあい南伊豆ホスピタル,はらクリニック,かとうクリニック,のぞみ記念 下田循環器・腎臓クリニック,小川クリニック,下田メディカルセンター附属みなとクリニック
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,0.2107694514477783,138.94288754201767,34.681520346515626,667.0,105.0,0.0,0.0,205.0,0.0,125.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,0.452654901362252,138.93939051007678,34.68486821301736,129.0,0.0,205.0,246.0,0.0,0.0,0.0,0.0,0.0,1314.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市敷根,下田市,敷根,22219021000,0.46016108196724337,138.93575574067614,34.68174226463278,267.0,0.0,452.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,0.4693875925677424,138.9457357406586,34.68015184674674,396.0,29.0,0.0,28.0,92.0,0.0,68.0,35.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,0.5325827622075208,138.94319161173854,34.68526730369039,465.0,112.0,205.0,306.0,0.0,0.0,174.0,0.0,0.0,179.0,0.0,35.0,0.0,0.0,61.0,0.0,74.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0
下田市一丁目,下田市,一丁目,22219011000,0.5470127474496882,138.94397371192036,34.67682724590667,378.0,312.0,780.0,403.0,1804.0,0.0,1244.0,0.0,166.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,0.5961540270145963,138.9456556827099,34.68441780190783,209.0,40.0,253.0,516.0,122.0,0.0,88.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市四丁目,下田市,四丁目,22219014000,0.6928622679103447,138.9409060891876,34.674712215443115,826.0,197.0,508.0,0.0,0.0,0.0,335.0,0.0,203.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市二丁目,下田市,二丁目,22219012000,0.8254163415866236,138.94389102871364,34.67399919602186,689.0,210.0,643.0,335.0,453.0,50.0,979.0,0.0,210.0,509.0,0.0,0.0,0.0,0.0,357.0,0.0,186.0,0.0,0.0,55.0,0.0,51.0,0.0,0.0
下田市東中,下田市,東中,22219038000,0.9149147304018269,138.94574869432597,34.68804125746886,356.0,572.0,0.0,1030.0,0.0,0.0,193.0,198.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
