TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,はらクリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,下田メディカルセンター附属みなとクリニック,佐倉医院,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人社団桑寿会 下田温泉病院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,小川クリニック,市之瀬診療所,河井医院,白津医院,臼井医院,菊池医院,鈴木クリニック,飯島医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22219024001,下田市,西本郷一丁目,下田市,西本郷一丁目,下田市西本郷一丁目,静岡県,下田市,西本郷,一丁目,下田市西本郷一丁目,22219.0,24001.0,24001.0,4.0,286,19.25651000000001,3.0,7.0,5.0,6.0,10.0,9.0,6.0,15.0,16.0,26.0,24.0,25.0,13.0,18.0,33.0,28.0,16.0,17.0,8.0,0.0,0.0,0.1137,0.36372,0.184,0.14754,0.2367,0.25533,0.1920599999999999,0.50295,0.56016,1.01712,1.0548000000000002,1.43775,0.8216000000000001,1.45818,3.10035,3.13516,1.9216,1.95211,0.80168,0.0,0.0,4336.0,総数,,,,1,15,150,120,69,25,162,16074,56.9,0.0,0.0,0.0,0.0,0.0,205.0,667.0,0.0,0.0,0.0,0.0,0.0,257.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,125.0,0.0,0.0,138.94288754201767,34.681520346515626,0.2107694514477783,1461.0,下田市西本郷一丁目,下田市西本郷一丁目,code_in_car30
22219024003,下田市,西本郷三丁目,下田市,西本郷三丁目,下田市西本郷三丁目,静岡県,下田市,西本郷,三丁目,下田市西本郷三丁目,22219.0,24003.0,24003.0,4.0,157,11.24924,4.0,2.0,3.0,4.0,1.0,4.0,5.0,3.0,7.0,11.0,8.0,17.0,19.0,13.0,13.0,16.0,14.0,9.0,3.0,1.0,0.0,0.1516,0.10392,0.1104,0.09836,0.02367,0.11348,0.1600499999999999,0.1005899999999999,0.24507,0.43032,0.3516,0.97767,1.2008,1.05313,1.2213500000000002,1.79152,1.6814,1.03347,0.3006299999999999,0.10021,0.0,4338.0,総数,,,,-,9,79,69,43,13,88,9234,59.31529,0.0,81.0,0.0,0.0,246.0,0.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,1314.0,0.0,0.0,0.0,138.93939051007678,34.68486821301736,0.452654901362252,1975.0,下田市西本郷三丁目,下田市西本郷三丁目,code_in_car30
22219021000,下田市,敷根,下田市,敷根,下田市敷根,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,155.0,0.0,0.0,138.93575574067614,34.68174226463278,0.46016108196724337,1118.0,下田市敷根,下田市敷根,code_in_car30
22219022001,下田市,東本郷一丁目,下田市,東本郷一丁目,下田市東本郷一丁目,静岡県,下田市,東本郷,一丁目,下田市東本郷一丁目,22219.0,22001.0,22001.0,4.0,227,14.79953,2.0,9.0,6.0,6.0,9.0,6.0,7.0,9.0,10.0,14.0,15.0,15.0,19.0,14.0,27.0,21.0,15.0,9.0,3.0,2.0,0.0,0.0758,0.46764,0.2208,0.14754,0.21303,0.1702199999999999,0.22407,0.30177,0.3500999999999999,0.5476800000000001,0.65925,0.86265,1.2008,1.13414,2.5366500000000003,2.35137,1.8015,1.03347,0.3006299999999999,0.20042,0.0,4333.0,総数,,,,9,17,110,91,50,14,118,12012,55.60092,0.0,0.0,0.0,38.0,28.0,92.0,396.0,0.0,0.0,0.0,0.0,0.0,80.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,68.0,0.0,35.0,138.9457357406586,34.68015184674674,0.4693875925677424,876.0,下田市東本郷一丁目,下田市東本郷一丁目,code_in_car30
22219024002,下田市,西本郷二丁目,下田市,西本郷二丁目,下田市西本郷二丁目,静岡県,下田市,西本郷,二丁目,下田市西本郷二丁目,22219.0,24002.0,24002.0,4.0,369,24.99393,9.0,9.0,10.0,10.0,16.0,8.0,8.0,11.0,22.0,27.0,28.0,21.0,24.0,35.0,47.0,29.0,23.0,20.0,6.0,4.0,0.0,0.3411,0.46764,0.368,0.2459,0.37872,0.22696,0.25608,0.36883,0.77022,1.05624,1.2306,1.20771,1.5168,2.83535,4.41565,3.24713,2.7623,2.2966,0.6012599999999999,0.40084,0.0,4337.0,総数,,,,2,28,175,164,82,30,200,20483,56.31199,0.0,0.0,0.0,169.0,306.0,0.0,465.0,0.0,0.0,0.0,61.0,0.0,74.0,112.0,0.0,0.0,0.0,0.0,205.0,35.0,179.0,174.0,0.0,0.0,138.94319161173854,34.68526730369039,0.5325827622075208,1780.0,下田市西本郷二丁目,下田市西本郷二丁目,code_in_car30
22219011000,下田市,一丁目,下田市,一丁目,下田市一丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,403.0,1804.0,378.0,0.0,166.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,780.0,0.0,417.0,1244.0,0.0,0.0,138.94397371192036,34.67682724590667,0.5470127474496882,5504.0,下田市一丁目,下田市一丁目,code_in_car30
22219022002,下田市,東本郷二丁目,下田市,東本郷二丁目,下田市東本郷二丁目,静岡県,下田市,東本郷,二丁目,下田市東本郷二丁目,22219.0,22002.0,22002.0,4.0,167,10.28146,6.0,7.0,0.0,4.0,13.0,13.0,7.0,8.0,11.0,6.0,11.0,3.0,12.0,22.0,15.0,14.0,7.0,6.0,1.0,0.0,0.0,0.2274,0.36372,0.0,0.09836,0.30771,0.3688099999999999,0.22407,0.26824,0.38511,0.23472,0.48345,0.17253,0.7584000000000001,1.78222,1.40925,1.56758,0.8407,0.68898,0.10021,0.0,0.0,4334.0,総数,,,,1,13,88,65,28,7,106,8347,50.78313,0.0,0.0,0.0,0.0,516.0,122.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,253.0,0.0,60.0,88.0,49.0,0.0,138.9456556827099,34.68441780190783,0.5961540270145963,1337.0,下田市東本郷二丁目,下田市東本郷二丁目,code_in_car30
22219014000,下田市,四丁目,下田市,四丁目,下田市四丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,826.0,0.0,203.0,0.0,0.0,0.0,133.0,197.0,0.0,0.0,0.0,0.0,508.0,0.0,78.0,335.0,0.0,0.0,138.9409060891876,34.674712215443115,0.6928622679103447,2280.0,下田市四丁目,下田市四丁目,code_in_car30
22219012000,下田市,二丁目,下田市,二丁目,下田市二丁目,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,51.0,55.0,335.0,453.0,689.0,0.0,210.0,0.0,357.0,50.0,186.0,210.0,0.0,0.0,0.0,0.0,643.0,0.0,509.0,979.0,0.0,0.0,138.94389102871364,34.67399919602186,0.8254163415866236,4727.0,下田市二丁目,下田市二丁目,code_in_car30
22219038000,下田市,東中,下田市,東中,下田市東中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1030.0,0.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,193.0,0.0,198.0,138.94574869432597,34.68804125746886,0.9149147304018269,2405.0,下田市東中,下田市東中,code_in_car30
