town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,戸田診療所,医療法人社団正仁会 加藤内科,海瀬医院,佐藤医院
伊豆市土肥,伊豆市,土肥,22222053011,8.54217984474037,138.82163827989757,34.90564649843781,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053012,8.553250846536624,138.81949485776616,34.904637566773516,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053010,8.795703923835894,138.80718315424457,34.89822092643545,0.0,61.0,0.0,0.0
沼津市西浦平沢,沼津市,西浦平沢,22203083000,8.887411060791889,138.86050255558084,35.016164645050566,0.0,0.0,25.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055020,8.959733675284324,138.7717575096927,34.89318015083894,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055019,9.021070334451888,138.77785753345833,34.89246979592156,0.0,0.0,0.0,0.0
沼津市西浦久連,沼津市,西浦久連,22203082000,9.138096192222628,138.86589718630486,35.0130915554528,0.0,0.0,89.0,0.0
伊豆市修善寺,伊豆市,修善寺,22222033000,9.14532959924873,138.87690336181456,34.95998738797784,0.0,0.0,0.0,0.0
沼津市西浦河内,沼津市,西浦河内,22203080000,9.145470631243922,138.86977558445673,35.006796651813936,0.0,0.0,0.0,0.0
伊豆市大沢,伊豆市,大沢,22222050000,9.251161874528243,138.8792592867372,34.97883055575654,0.0,0.0,0.0,0.0
伊豆市大沢,伊豆市,大沢,22222011000,9.395774324180199,138.88025959513084,34.98404477608293,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055024,9.409860184469197,138.76445508408258,34.88969686548599,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055022,9.545842775878603,138.77597708012692,34.8877652367655,0.0,0.0,0.0,0.0
伊豆市土肥,伊豆市,土肥,22222053035,9.6948779894347,138.8184261430275,34.892980289023654,0.0,0.0,0.0,0.0
伊豆市上船原,伊豆市,上船原,22222070000,9.817875240984993,138.86605176948453,34.922825103433645,0.0,0.0,0.0,0.0
伊豆市大平柿木,伊豆市,大平柿木,22222075000,9.819833018907417,138.87881719572,34.94258988826424,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055036,9.947040413021842,138.784986046892,34.88432989269956,0.0,0.0,0.0,0.0
沼津市西浦木負,沼津市,西浦木負,22203081000,10.444980926974205,138.87840501603765,35.0188548580773,0.0,0.0,61.0,0.0
伊豆市堀切,伊豆市,堀切,22222013000,11.45240461311755,138.90015727528916,34.99765448118572,0.0,0.0,0.0,0.0
伊豆市堀切,伊豆市,堀切,22222012000,12.039560005658096,138.90954735854885,34.983198592626245,0.0,0.0,0.0,0.0
