TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,佐藤医院,医療法人社団正仁会 加藤内科,戸田診療所,海瀬医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22203177016,沼津市,戸田平戸,沼津市,戸田平戸,沼津市戸田平戸,静岡県,沼津市,戸田,平戸,沼津市戸田平戸,22203.0,177016.0,177016.0,4.0,107,7.13628,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,5.0,9.0,9.0,8.0,8.0,8.0,15.0,7.0,5.0,0.0,0.0,0.0,0.1137,0.15588,0.1104,0.09836,0.07101,0.14185,0.0960299999999999,0.1005899999999999,0.14004,0.1956,0.39555,0.51759,0.5056,0.64808,0.7516,1.67955,0.8407,0.57415,0.0,0.0,0.0,2134.0,総数,,,,2,9,53,43,27,5,57,5689,54.68095,0.0,0.0,0.0,17.0,138.78983505867654,34.980856037879086,1.3524004005230033,17.0,沼津市戸田平戸,沼津市戸田平戸,code_in_car30
22203177011,沼津市,戸田上野,沼津市,戸田上野,沼津市戸田上野,静岡県,沼津市,戸田,上野,沼津市戸田上野,22203.0,177011.0,177011.0,4.0,192,13.230759999999998,0.0,2.0,5.0,2.0,3.0,5.0,3.0,8.0,6.0,17.0,15.0,19.0,25.0,23.0,26.0,19.0,13.0,1.0,0.0,0.0,0.0,0.0,0.10392,0.184,0.04918,0.07101,0.14185,0.0960299999999999,0.26824,0.21006,0.6650400000000001,0.65925,1.09269,1.58,1.86323,2.4427000000000003,2.12743,1.5613,0.11483,0.0,0.0,0.0,2129.0,総数,,,,-,7,103,82,33,1,124,11209,58.88021,0.0,0.0,98.0,0.0,138.78667562940342,34.96324473807785,1.400447098931934,98.0,沼津市戸田上野,沼津市戸田上野,code_in_car30
22203177012,沼津市,戸田大門,沼津市,戸田大門,沼津市戸田大門,静岡県,沼津市,戸田,大門,沼津市戸田大門,22203.0,177012.0,177012.0,4.0,177,12.17157,2.0,1.0,10.0,6.0,2.0,6.0,5.0,8.0,12.0,5.0,5.0,9.0,18.0,34.0,28.0,11.0,10.0,5.0,0.0,0.0,0.0,0.0758,0.05196,0.368,0.14754,0.04734,0.1702199999999999,0.1600499999999999,0.26824,0.42012,0.1956,0.21975,0.51759,1.1376000000000002,2.75434,2.6306000000000003,1.23167,1.201,0.57415,0.0,0.0,0.0,2130.0,総数,,,,-,13,76,88,26,5,104,9903,56.44915,0.0,0.0,816.0,0.0,138.79105330082433,34.9632518863767,1.6597363377223862,816.0,沼津市戸田大門,沼津市戸田大門,code_in_car30
22203177013,沼津市,戸田中上,沼津市,戸田中上,沼津市戸田中上,静岡県,沼津市,戸田,中上,沼津市戸田中上,22203.0,177013.0,177013.0,4.0,137,9.74346,1.0,5.0,1.0,1.0,1.0,5.0,7.0,3.0,5.0,6.0,11.0,9.0,16.0,16.0,15.0,11.0,10.0,9.0,2.0,1.0,0.0,0.0379,0.2598,0.0368,0.02459,0.02367,0.14185,0.22407,0.1005899999999999,0.1750499999999999,0.23472,0.48345,0.51759,1.0112,1.29616,1.40925,1.23167,1.201,1.03347,0.20042,0.10021,0.0,2131.0,総数,,,,2,7,64,64,33,12,79,7991,59.69259,0.0,0.0,125.0,0.0,138.79894988387485,34.97165334639524,1.9279360761773208,125.0,沼津市戸田中上,沼津市戸田中上,code_in_car30
22203177014,沼津市,戸田大上,沼津市,戸田大上,沼津市戸田大上,静岡県,沼津市,戸田,大上,沼津市戸田大上,22203.0,177014.0,177014.0,4.0,78,5.6359900000000005,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,8.0,3.0,1.0,4.0,6.0,15.0,16.0,5.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0736,0.02459,0.02367,0.02837,0.03201,0.13412,0.28008,0.11736,0.04395,0.23004,0.3792,1.21515,1.5032,0.55985,0.3603,0.22966,0.20042,0.20042,0.0,2132.0,総数,,,,1,2,30,45,14,6,44,4735,61.99351,0.0,0.0,50.0,0.0,138.80531862449078,34.967906984149955,2.575090686963428,50.0,沼津市戸田大上,沼津市戸田大上,code_in_car30
22203178000,沼津市,井田,沼津市,井田,沼津市井田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,138.787379812904,34.9962661021176,2.6637041364164094,0.0,沼津市井田,沼津市井田,code_in_car30
22203177017,沼津市,戸田舟山,沼津市,戸田舟山,沼津市戸田舟山,静岡県,沼津市,戸田,舟山,沼津市戸田舟山,22203.0,177017.0,177017.0,4.0,47,3.96835,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,10.0,3.0,6.0,5.0,4.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837,0.0,0.0,0.03501,0.0,0.13185,0.5751,0.1896,0.48606,0.46975,0.44788,0.6005,0.80381,0.20042,0.0,0.0,2135.0,総数,,,,-,-,18,29,18,9,24,3255,69.75532,0.0,0.0,143.0,0.0,138.7828652414072,34.94896406656017,2.7759432648248428,143.0,沼津市戸田舟山,沼津市戸田舟山,code_in_car30
22203177015,沼津市,戸田新田,沼津市,戸田新田,沼津市戸田新田,静岡県,沼津市,戸田,新田,沼津市戸田新田,22203.0,177015.0,177015.0,4.0,35,2.61998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02837,0.0,0.03353,0.14004,0.07824,0.1758,0.05751,0.1264,0.32404,0.28185,0.55985,0.2402,0.57415,0.0,0.0,0.0,2133.0,総数,,,,1,-,15,19,12,5,19,2187,64.82353,0.0,0.0,0.0,0.0,138.82137862728428,34.96362254112002,4.11201992078732,0.0,沼津市戸田新田,沼津市戸田新田,code_in_car30
22222054034,伊豆市,小土肥,伊豆市,小土肥,伊豆市小土肥,静岡県,伊豆市,小土肥,,伊豆市小土肥,22222.0,54034.0,54034.0,4.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4564.0,総数,,,,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,138.8071928603792,34.934134033063934,5.135335466997929,0.0,伊豆市小土肥,伊豆市小土肥,code_in_car30
22203088000,沼津市,西浦江梨,沼津市,西浦江梨,沼津市西浦江梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,138.7994028502443,35.020066306736574,5.525035000365397,0.0,沼津市西浦江梨,沼津市西浦江梨,code_in_car30
