TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人社団健育会 熱川温泉病院,医療法人社団康心会 康心会伊豆東部病院,医療法人社団桑寿会 下田温泉病院,太田整形外科,小川クリニック,河井医院,熱川クリニック,臼井医院,菊池医院,豊寿園温泉医院,鈴木クリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22302018000,河津町,湯ケ野,河津町,湯ケ野,河津町湯ケ野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,312.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,138.95555686207206,34.778588089334235,0.6522497021732733,804.0,河津町湯ケ野,河津町湯ケ野,code_in_car30
22302019000,河津町,下佐ケ野,河津町,下佐ケ野,河津町下佐ケ野,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,535.0,0.0,0.0,0.0,614.0,0.0,188.0,2733.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.96164357089077,34.77733638416524,0.6725923471488986,4510.0,河津町下佐ケ野,河津町下佐ケ野,code_in_car30
22302021000,河津町,川津筏場,河津町,川津筏場,河津町川津筏場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9610509486252,34.76726616236452,0.7300099501778724,0.0,河津町川津筏場,河津町川津筏場,code_in_car30
22302022000,河津町,川津筏場,河津町,川津筏場,河津町川津筏場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,75.0,0.0,0.0,416.0,0.0,75.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,138.9675168235809,34.77064892710479,1.0110858177545652,826.0,河津町川津筏場,河津町川津筏場,code_in_car30
22302015000,河津町,梨本,河津町,梨本,河津町梨本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9482323658616,34.784285041683624,1.4953721624353906,325.0,河津町梨本,河津町梨本,code_in_car30
22302017000,河津町,小鍋,河津町,小鍋,河津町小鍋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,45.0,0.0,69.0,328.0,0.0,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.93794537448784,34.771863648152596,1.7220031555881108,575.0,河津町小鍋,河津町小鍋,code_in_car30
22302023000,河津町,川津筏場,河津町,川津筏場,河津町川津筏場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.97539833095075,34.76815390048334,1.7790110474704475,430.0,河津町川津筏場,河津町川津筏場,code_in_car30
22302005000,河津町,逆川,河津町,逆川,河津町逆川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.95517393492557,34.755556614840756,1.923600918186722,0.0,河津町逆川,河津町逆川,code_in_car30
22302006000,河津町,峰,河津町,峰,河津町峰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.97377061199163,34.76198248701687,1.9651971249788887,790.0,河津町峰,河津町峰,code_in_car30
22302004000,河津町,沢田,河津町,沢田,河津町沢田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,244.0,0.0,318.0,0.0,298.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.98733408023978,34.772491051193455,2.7924863211297524,1013.0,河津町沢田,河津町沢田,code_in_car30
