town_name_show,dist_km,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人社団健育会 熱川温泉病院,下田メディカルセンター,河井医院,公益社団法人地域医療振興協会 上河津診療所,医療法人社団康心会 康心会伊豆東部病院,ひがしなかクリニック,かわづクリニック,熱川クリニック,臼井医院
河津町湯ケ野,0.6522497021732733,312.0,0.0,0.0,56.0,390.0,0.0,0.0,46.0,0.0,0.0
河津町下佐ケ野,0.6725923471488986,440.0,0.0,614.0,0.0,2733.0,0.0,0.0,535.0,0.0,0.0
河津町川津筏場,0.7300099501778724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,1.0110858177545652,185.0,0.0,0.0,0.0,75.0,0.0,75.0,0.0,0.0,0.0
河津町梨本,1.4953721624353906,168.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,1.7220031555881108,0.0,0.0,45.0,0.0,328.0,133.0,0.0,0.0,0.0,0.0
河津町川津筏場,1.7790110474704475,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,1.923600918186722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,1.9651971249788887,668.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,0.0,0.0
河津町沢田,2.7924863211297524,298.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,0.0,0.0
河津町峰,2.832074851298465,670.0,0.0,0.0,0.0,66.0,380.0,263.0,64.0,0.0,0.0
下田市須原一区,3.1505857377250375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,3.1774557131038033,138.0,0.0,382.0,135.0,2024.0,0.0,156.0,0.0,0.0,0.0
河津町大鍋,3.236487905487998,0.0,66.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0
河津町田中,3.5326518483378586,1034.0,0.0,951.0,147.0,52.0,113.0,86.0,1197.0,0.0,0.0
河津町谷津,3.99413038802486,450.0,324.0,146.0,393.0,879.0,345.0,63.0,421.0,0.0,65.0
河津町梨本,4.111039401342466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町笹原,4.2165112452686815,627.0,204.0,0.0,0.0,129.0,0.0,0.0,206.0,60.0,68.0
下田市須原二区,4.260316999051288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町見高,4.409284726142151,229.0,0.0,0.0,219.0,0.0,0.0,0.0,348.0,0.0,0.0
河津町浜,4.715597340449635,1767.0,0.0,390.0,143.0,315.0,49.0,181.0,375.0,0.0,163.0
河津町見高,4.808984466904636,943.0,0.0,0.0,0.0,258.0,0.0,0.0,0.0,0.0,0.0
下田市箕作,5.1018042223867575,549.0,93.0,891.0,288.0,0.0,0.0,265.0,95.0,0.0,0.0
下田市落合,5.2604316901120995,0.0,0.0,212.0,104.0,0.0,0.0,47.0,0.0,0.0,0.0
河津町梨本,5.3588070212659655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町縄地,5.418296580318159,126.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0
下田市宇土金,5.432765032536353,0.0,0.0,1255.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
河津町見高,5.8293092544250875,1199.0,81.0,0.0,0.0,0.0,105.0,0.0,1257.0,0.0,0.0
下田市椎原,6.324819018104706,76.0,0.0,0.0,76.0,0.0,0.0,66.0,0.0,0.0,0.0
下田市荒増,6.363052891469701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
東伊豆町稲取,6.485154726561317,4392.0,2861.0,435.0,1064.0,1708.0,4867.0,0.0,1034.0,213.0,376.0
下田市北湯ケ野,6.583675428897085,37.0,0.0,383.0,37.0,0.0,56.0,0.0,0.0,0.0,0.0
下田市白浜,6.908753413049901,0.0,0.0,480.0,482.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市相玉,7.387151729161918,0.0,0.0,0.0,205.0,0.0,0.0,300.0,0.0,0.0,0.0
下田市河内,7.5924941637553145,792.0,123.0,712.0,1059.0,54.0,63.0,1098.0,0.0,0.0,523.0
下田市白浜,7.713754209248434,0.0,0.0,254.0,70.0,0.0,0.0,0.0,108.0,0.0,0.0
東伊豆町白田,8.107246339207235,1381.0,5655.0,70.0,0.0,0.0,1196.0,0.0,156.0,984.0,0.0
下田市蓮台寺,8.267551450024492,65.0,491.0,384.0,154.0,237.0,0.0,136.0,0.0,0.0,85.0
下田市大沢,8.656746693702134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市横川,8.821084384168705,101.0,0.0,63.0,212.0,0.0,0.0,79.0,0.0,0.0,0.0
下田市中（中）,9.114108146780273,0.0,0.0,0.0,209.0,0.0,0.0,121.0,0.0,0.0,0.0
下田市立野,9.228672472435427,396.0,41.0,732.0,54.0,0.0,0.0,600.0,0.0,0.0,83.0
下田市白浜,9.332764918832229,195.0,0.0,629.0,874.0,0.0,0.0,505.0,0.0,0.0,883.0
下田市高馬,9.360260509795195,43.0,0.0,139.0,122.0,0.0,0.0,105.0,0.0,0.0,0.0
下田市西中,9.377891015256669,485.0,0.0,368.0,259.0,97.0,0.0,798.0,0.0,0.0,83.0
東伊豆町片瀬,9.454911524632369,822.0,2229.0,0.0,0.0,43.0,305.0,0.0,37.0,3354.0,0.0
下田市東中,9.47908429471954,572.0,0.0,356.0,0.0,0.0,60.0,1030.0,0.0,0.0,0.0
伊豆市湯ケ島,9.612741335799775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大沢,9.778794642473214,935.0,680.0,1304.0,1496.0,157.0,215.0,761.0,620.0,90.0,680.0
下田市西本郷二丁目,9.812637357475525,112.0,0.0,465.0,205.0,0.0,58.0,306.0,0.0,0.0,179.0
下田市東本郷二丁目,9.880681174325112,40.0,289.0,209.0,253.0,0.0,0.0,516.0,0.0,0.0,60.0
下田市加増野,9.89165433150787,374.0,865.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,9.906366008011174,0.0,0.0,129.0,205.0,0.0,0.0,246.0,81.0,0.0,1314.0
下田市中,9.998687144340396,594.0,51.0,539.0,189.0,0.0,0.0,271.0,0.0,0.0,31.0
下田市西本郷一丁目,10.229485646315108,105.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
下田市敷根,10.306299369550134,0.0,0.0,267.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,10.351926872850568,29.0,0.0,396.0,0.0,0.0,37.0,28.0,0.0,0.0,110.0
東伊豆町奈良本,10.451347653068169,1664.0,3153.0,0.0,465.0,483.0,1220.0,0.0,120.0,919.0,95.0
下田市六丁目（旧岡方村）,10.493241637403582,832.0,0.0,891.0,516.0,88.0,0.0,169.0,0.0,0.0,123.0
下田市一丁目,10.736248936406769,312.0,129.0,378.0,780.0,0.0,0.0,403.0,0.0,0.0,417.0
