都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,CITY_NAME_from_master,S_NAME_from_master,town_name_show,TOWN_CODE_11,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計
千葉県,市川市,中山,三丁目,市川市中山三丁目,12203,019003,4,927.0,市川市,中山三丁目,市川市中山三丁目,12203019003,35.0,38.0,33.0,37.0,39.0,61.0,45.0,61.0,66.0,66.0,75.0,55.0,52.0,60.0,58.0,59.0,38.0,17.0,10.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,7.0,5.0,2.0,1.0,0.0,0.0,50.0
千葉県,市川市,中山,四丁目,市川市中山四丁目,12203,019004,4,1202.0,市川市,中山四丁目,市川市中山四丁目,12203019004,44.0,28.0,33.0,42.0,68.0,114.0,106.0,92.0,90.0,82.0,82.0,70.0,61.0,52.0,63.0,58.0,36.0,36.0,18.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,6.0,6.0,4.0,4.0,2.0,0.0,0.0,60.0
千葉県,市川市,若宮,一丁目,市川市若宮一丁目,12203,020001,4,1057.0,市川市,若宮一丁目,市川市若宮一丁目,12203020001,54.0,41.0,35.0,43.0,54.0,61.0,78.0,62.0,83.0,79.0,67.0,53.0,57.0,50.0,83.0,51.0,48.0,25.0,12.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,8.0,6.0,6.0,3.0,1.0,0.0,0.0,57.0
千葉県,市川市,若宮,二丁目,市川市若宮二丁目,12203,020002,4,1703.0,市川市,若宮二丁目,市川市若宮二丁目,12203020002,90.0,85.0,70.0,78.0,78.0,103.0,106.0,109.0,123.0,152.0,126.0,99.0,75.0,83.0,93.0,92.0,61.0,35.0,13.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,6.0,6.0,5.0,7.0,9.0,10.0,7.0,4.0,1.0,0.0,0.0,89.0
千葉県,市川市,若宮,三丁目,市川市若宮三丁目,12203,020003,4,3394.0,市川市,若宮三丁目,市川市若宮三丁目,12203020003,120.0,151.0,120.0,158.0,144.0,127.0,150.0,183.0,250.0,284.0,228.0,209.0,189.0,193.0,277.0,250.0,164.0,99.0,44.0,12.0,7.0,5.0,8.0,4.0,4.0,3.0,4.0,5.0,6.0,9.0,11.0,10.0,12.0,12.0,16.0,26.0,28.0,20.0,11.0,4.0,1.0,1.0,200.0
千葉県,市川市,北方,一丁目,市川市北方一丁目,12203,021001,4,1652.0,市川市,北方一丁目,市川市北方一丁目,12203021001,67.0,73.0,55.0,71.0,83.0,112.0,101.0,128.0,109.0,127.0,125.0,120.0,74.0,81.0,97.0,74.0,65.0,42.0,20.0,6.0,1.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,7.0,5.0,7.0,9.0,8.0,8.0,5.0,2.0,1.0,0.0,89.0
千葉県,市川市,北方,二丁目,市川市北方二丁目,12203,021002,4,2481.0,市川市,北方二丁目,市川市北方二丁目,12203021002,120.0,115.0,102.0,111.0,128.0,132.0,156.0,180.0,149.0,208.0,184.0,157.0,125.0,132.0,117.0,101.0,105.0,57.0,26.0,9.0,0.0,5.0,6.0,4.0,3.0,3.0,4.0,5.0,6.0,5.0,8.0,8.0,9.0,8.0,11.0,11.0,11.0,13.0,7.0,3.0,1.0,0.0,131.0
千葉県,市川市,北方,三丁目,市川市北方三丁目,12203,021003,4,2012.0,市川市,北方三丁目,市川市北方三丁目,12203021003,83.0,65.0,57.0,99.0,146.0,149.0,145.0,129.0,103.0,148.0,162.0,171.0,118.0,97.0,102.0,86.0,61.0,39.0,21.0,1.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,4.0,4.0,6.0,7.0,10.0,7.0,8.0,10.0,10.0,7.0,4.0,2.0,0.0,0.0,101.0
千葉県,市川市,本北方,一丁目,市川市本北方一丁目,12203,022001,4,3050.0,市川市,本北方一丁目,市川市本北方一丁目,12203022001,138.0,131.0,116.0,187.0,209.0,152.0,178.0,169.0,178.0,267.0,301.0,218.0,172.0,125.0,145.0,153.0,99.0,65.0,17.0,4.0,2.0,5.0,7.0,4.0,5.0,5.0,4.0,6.0,6.0,6.0,10.0,13.0,13.0,11.0,10.0,14.0,17.0,12.0,7.0,2.0,0.0,0.0,157.0
千葉県,市川市,本北方,二丁目,市川市本北方二丁目,12203,022002,4,2657.0,市川市,本北方二丁目,市川市本北方二丁目,12203022002,98.0,120.0,104.0,125.0,132.0,105.0,138.0,154.0,183.0,220.0,201.0,185.0,134.0,130.0,191.0,156.0,132.0,98.0,19.0,6.0,0.0,4.0,6.0,4.0,3.0,3.0,3.0,4.0,5.0,6.0,9.0,9.0,11.0,8.0,11.0,18.0,17.0,16.0,11.0,2.0,1.0,0.0,151.0
