town_name_show,dist_km,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック,みどりが丘整形外科クリニック,ちば小児科アレルギー科クリニック,医療法人道坤会 菊池医院,白糠診療所
むつ市大字田名部字下川,8.990651541691161,1005.0,540.0,492.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字奥内字今泉,9.007359240528222,21.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字土手内,9.197576608360242,763.0,0.0,214.0,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大曲三丁目,9.206944903041958,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
むつ市大曲二丁目,9.472672253360356,419.0,337.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字袰部,9.473684793162013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市横迎町二丁目,9.726350496641361,2319.0,816.0,712.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字上川,9.73571076288044,621.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,419.0,0.0,0.0,0.0
むつ市横迎町一丁目,9.76007201175903,1624.0,606.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市苫生一丁目,9.77345754013018,744.0,0.0,466.0,0.0,381.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大曲一丁目,9.78196883594885,1565.0,945.0,0.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市苫生二丁目,9.982139737328113,529.0,460.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
