town_name_show,dist_km,むつ総合病院,中央クリニックモール,医療法人章士会 三上医院,みちのくクリニック,村中内科・心療内科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人佑心会角田整形外科医院,千田病院,東通地域医療センター 東通村診療所,たなか泌尿器科クリニック
むつ市大字田名部字落野沢,14.018408158395857,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字二又,14.258302552308214,71.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字山田,14.434156091012367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字田名部字十二林,14.61622397839537,150.0,119.0,17.0,0.0,68.0,0.0,0.0,12.0,39.0,0.0
むつ市大字関根字出戸川目,14.682226184815853,145.0,214.0,23.0,0.0,17.0,0.0,27.0,0.0,0.0,0.0
むつ市大字大平字梨子木平,14.77123395873919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字落野沢,14.805190598875027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字荒川,14.9662772225698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大平字多賀道,15.067904465996401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字大湊字近川,15.280528312214061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
むつ市大字関根字高梨川目,15.303090393371022,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,0.0
