TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,たなか泌尿器科クリニック,ちば小児科アレルギー科クリニック,みちのくクリニック,みどりが丘整形外科クリニック,むつ総合病院,中央クリニックモール,医療法人佑心会角田整形外科医院,医療法人白心会北村医院 むつレディスクリニック,医療法人章士会 三上医院,医療法人道坤会 菊池医院,千田病院,村中内科・心療内科医院,東通地域医療センター 東通村診療所,白糠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
02208037009,むつ市,大字奥内字近川,むつ市,大字奥内字近川,むつ市大字奥内字近川,青森県,むつ市,大字奥内,字近川,むつ市大字奥内字近川,2208,37009,4,375.0,2.0,1.0,4.0,21.0,5.0,10.0,10.0,9.0,10.0,14.0,20.0,24.0,23.0,38.0,33.0,26.0,47.0,43.0,21.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,5.0,2.0,1.0,0.0,28.0,41.0,0.0,0.0,0.0,768.0,604.0,50.0,0.0,553.0,0.0,172.0,0.0,0.0,0.0,141.3057521714011,41.20004867673413,8.88443622984867,2188.0,むつ市大字奥内字近川,むつ市奥内字近川,code_in_car30
02208014008,むつ市,大字田名部字下川,むつ市,大字田名部字下川,むつ市大字田名部字下川,青森県,むつ市,大字田名部,字下川,むつ市大字田名部字下川,2208,14008,4,499.0,12.0,23.0,12.0,15.0,9.0,18.0,16.0,25.0,40.0,26.0,29.0,27.0,52.0,49.0,65.0,26.0,20.0,12.0,5.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0,29.0,0.0,31.0,339.0,0.0,1005.0,540.0,19.0,242.0,492.0,0.0,0.0,72.0,33.0,0.0,141.23053471427536,41.297263258408464,8.990651541691161,2773.0,むつ市大字田名部字下川,むつ市田名部字下川,code_in_car30
02208037005,むつ市,大字奥内字今泉,むつ市,大字奥内字今泉,むつ市大字奥内字今泉,青森県,むつ市,大字奥内,字今泉,むつ市大字奥内字今泉,2208,37005,4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,5.0,6.0,4.0,1.0,7.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,141.2654126663953,41.21488696069188,9.007359240528222,86.0,むつ市大字奥内字今泉,むつ市奥内字今泉,code_in_car30
02208014009,むつ市,大字田名部字土手内,むつ市,大字田名部字土手内,むつ市大字田名部字土手内,青森県,むつ市,大字田名部,字土手内,むつ市大字田名部字土手内,2208,14009,4,396.0,13.0,11.0,17.0,12.0,12.0,18.0,11.0,18.0,27.0,29.0,31.0,27.0,37.0,40.0,30.0,23.0,16.0,14.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,0.0,0.0,25.0,20.0,0.0,282.0,26.0,763.0,186.0,201.0,131.0,214.0,84.0,0.0,156.0,18.0,0.0,141.23070787359165,41.30411126422889,9.197576608360242,2081.0,むつ市大字田名部字土手内,むつ市田名部字土手内,code_in_car30
02208033003,むつ市,大曲三丁目,むつ市,大曲三丁目,むつ市大曲三丁目,青森県,むつ市,大曲,三丁目,むつ市大曲三丁目,2208,33003,4,104.0,2.0,3.0,0.0,1.0,4.0,5.0,2.0,4.0,1.0,3.0,10.0,10.0,12.0,14.0,10.0,9.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,141.22842762928678,41.25508176782635,9.206944903041958,93.0,むつ市大曲三丁目,むつ市大曲三丁目,code_in_car30
02208033002,むつ市,大曲二丁目,むつ市,大曲二丁目,むつ市大曲二丁目,青森県,むつ市,大曲,二丁目,むつ市大曲二丁目,2208,33002,4,186.0,4.0,5.0,11.0,8.0,3.0,9.0,5.0,8.0,8.0,21.0,15.0,13.0,16.0,16.0,12.0,17.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,10.0,0.0,29.0,39.0,0.0,419.0,337.0,0.0,34.0,232.0,0.0,0.0,21.0,0.0,0.0,141.22326745545038,41.26128152245965,9.472672253360356,1111.0,むつ市大曲二丁目,むつ市大曲二丁目,code_in_car30
02208014020,むつ市,大字田名部字袰部,むつ市,大字田名部字袰部,むつ市大字田名部字袰部,青森県,むつ市,大字田名部,字袰部,むつ市大字田名部字袰部,2208,14020,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.2225518132646,41.28954450633139,9.473684793162013,0.0,むつ市大字田名部字袰部,むつ市田名部字袰部,code_in_car30
02208008002,むつ市,横迎町二丁目,むつ市,横迎町二丁目,むつ市横迎町二丁目,青森県,むつ市,横迎町,二丁目,むつ市横迎町二丁目,2208,8002,4,686.0,18.0,34.0,29.0,26.0,19.0,14.0,22.0,42.0,67.0,45.0,50.0,48.0,41.0,44.0,64.0,36.0,31.0,26.0,6.0,7.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,6.0,4.0,4.0,3.0,1.0,1.0,0.0,42.0,0.0,132.0,149.0,0.0,2319.0,816.0,64.0,94.0,712.0,74.0,69.0,233.0,139.0,0.0,141.2208284047516,41.295156002292345,9.726350496641361,4801.0,むつ市横迎町二丁目,むつ市横迎町二丁目,code_in_car30
02208014002,むつ市,大字田名部字上川,むつ市,大字田名部字上川,むつ市大字田名部字上川,青森県,むつ市,大字田名部,字上川,むつ市大字田名部字上川,2208,14002,4,154.0,5.0,7.0,7.0,8.0,4.0,8.0,6.0,11.0,8.0,15.0,7.0,7.0,13.0,13.0,13.0,8.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,73.0,419.0,621.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,0.0,141.2230267455027,41.30198135008174,9.73571076288044,1586.0,むつ市大字田名部字上川,むつ市田名部字上川,code_in_car30
02208008001,むつ市,横迎町一丁目,むつ市,横迎町一丁目,むつ市横迎町一丁目,青森県,むつ市,横迎町,一丁目,むつ市横迎町一丁目,2208,8001,4,699.0,18.0,23.0,22.0,22.0,14.0,25.0,33.0,34.0,38.0,45.0,60.0,58.0,69.0,53.0,54.0,49.0,31.0,19.0,11.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,0.0,0.0,41.0,0.0,29.0,139.0,82.0,1624.0,606.0,283.0,140.0,556.0,61.0,0.0,277.0,249.0,0.0,141.2195116230363,41.29158073797415,9.76007201175903,4046.0,むつ市横迎町一丁目,むつ市横迎町一丁目,code_in_car30
