TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,中江医院,佐藤医院,医療法人慈愛会 石田医院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,医療法人社団健育会西伊豆健育会病院,医療法人社団正仁会 加藤内科,池田医院,西伊豆町安良里診療所,西伊豆町田子診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22306001006,西伊豆町,田子月西,西伊豆町,田子月西,西伊豆町田子月西,静岡県,西伊豆町,田子,月西,西伊豆町田子月西,22306.0,1006.0,1006.0,4.0,266,20.94105,1.0,5.0,6.0,5.0,6.0,2.0,8.0,8.0,10.0,17.0,8.0,8.0,24.0,33.0,37.0,33.0,36.0,11.0,6.0,2.0,0.0,0.0379,0.2598,0.2208,0.12295,0.14202,0.05674,0.25608,0.26824,0.3500999999999999,0.6650400000000001,0.3516,0.46008,1.5168,2.67333,3.47615,3.69501,4.3236,1.26313,0.6012599999999999,0.20042,0.0,5083.0,総数,,,,-,12,96,158,88,19,124,16587,62.85714,0.0,0.0,0.0,800.0,0.0,0.0,639.0,743.0,228.0,138.75507031463573,34.805380205215585,2.7227850525011394,2410.0,西伊豆町田子月西,西伊豆町田子月西,code_in_car30
22306001003,西伊豆町,田子道東,西伊豆町,田子道東,西伊豆町田子道東,静岡県,西伊豆町,田子,道東,西伊豆町田子道東,22306.0,1003.0,1003.0,4.0,212,16.82188,4.0,5.0,5.0,5.0,1.0,3.0,1.0,8.0,7.0,11.0,4.0,6.0,25.0,26.0,35.0,24.0,22.0,13.0,5.0,1.0,1.0,0.1516,0.2598,0.184,0.12295,0.02367,0.0851099999999999,0.03201,0.26824,0.24507,0.43032,0.1758,0.34506,1.58,2.10626,3.28825,2.68728,2.6422,1.49279,0.50105,0.10021,0.10021,5080.0,総数,,,,-,14,71,127,66,20,92,13233,62.91981,0.0,0.0,0.0,0.0,666.0,0.0,0.0,0.0,170.0,138.77314101933203,34.80016310813938,2.9831257451232354,836.0,西伊豆町田子道東,西伊豆町田子道東,code_in_car30
22306001005,西伊豆町,田子月東,西伊豆町,田子月東,西伊豆町田子月東,静岡県,西伊豆町,田子,月東,西伊豆町田子月東,22306.0,1005.0,1005.0,4.0,207,17.094450000000002,0.0,1.0,3.0,4.0,1.0,2.0,3.0,1.0,6.0,10.0,9.0,10.0,16.0,32.0,41.0,23.0,19.0,16.0,7.0,2.0,0.0,0.0,0.05196,0.1104,0.09836,0.02367,0.05674,0.0960299999999999,0.03353,0.21006,0.3912,0.39555,0.5751,1.0112,2.59232,3.85195,2.57531,2.2819,1.83728,0.7014699999999999,0.20042,0.0,5082.0,総数,,,,1,4,62,140,67,25,90,13710,67.0534,0.0,0.0,0.0,253.0,369.0,0.0,0.0,0.0,177.0,138.7662262368132,34.79880621048934,3.129261503657069,799.0,西伊豆町田子月東,西伊豆町田子月東,code_in_car30
22306001004,西伊豆町,田子川向,西伊豆町,田子川向,西伊豆町田子川向,静岡県,西伊豆町,田子,川向,西伊豆町田子川向,22306.0,1004.0,1004.0,4.0,163,12.95943,2.0,1.0,2.0,2.0,0.0,4.0,0.0,7.0,4.0,8.0,9.0,12.0,14.0,22.0,16.0,20.0,18.0,10.0,7.0,4.0,0.0,0.0758,0.05196,0.0736,0.04918,0.0,0.11348,0.0,0.2347099999999999,0.14004,0.31296,0.39555,0.69012,0.8848,1.78222,1.5032,2.2394,2.1618,1.1483,0.7014699999999999,0.40084,0.0,5081.0,総数,,,,1,5,60,97,59,21,80,10576,65.78395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.77002702805405,34.7981256656112,3.1912445459500165,0.0,西伊豆町田子川向,西伊豆町田子川向,code_in_car30
22306002007,西伊豆町,仁科浮島,西伊豆町,仁科浮島,西伊豆町仁科浮島,静岡県,西伊豆町,仁科,浮島,西伊豆町仁科浮島,22306.0,2007.0,2007.0,4.0,63,3.679580000000001,1.0,2.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,7.0,7.0,7.0,3.0,3.0,1.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0379,0.10392,0.1104,0.07377,0.09468,0.0,0.0,0.0,0.14004,0.27384,0.30765,0.40257,0.1896,0.24303,0.09395,1.00773,0.6005,0.0,0.0,0.0,0.0,5085.0,総数,,,,4,6,35,18,14,-,35,3021,51.70339,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,140.0,138.7612947804627,34.79481635185624,3.636343810636767,238.0,西伊豆町仁科浮島,西伊豆町仁科浮島,code_in_car30
22306006003,西伊豆町,宇九須月原,西伊豆町,宇九須月原,西伊豆町宇九須月原,静岡県,西伊豆町,宇九須,月原,西伊豆町宇九須月原,22306.0,6003.0,6003.0,4.0,287,18.13871,2.0,8.0,18.0,14.0,7.0,5.0,7.0,11.0,27.0,25.0,17.0,19.0,19.0,26.0,27.0,22.0,13.0,14.0,4.0,1.0,0.0,0.0758,0.41568,0.6624,0.34426,0.16569,0.14185,0.22407,0.36883,0.94527,0.978,0.7471500000000001,1.09269,1.2008,2.10626,2.5366500000000003,2.46334,1.5613,1.60762,0.40084,0.10021,0.0,5097.0,総数,,,,1,28,151,107,54,19,163,15013,52.99301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.79068464324715,34.85503756649818,3.68652105602319,0.0,西伊豆町宇九須月原,西伊豆町宇九須月原,code_in_car30
22306006001,西伊豆町,宇久須大久須,西伊豆町,宇久須大久須,西伊豆町宇久須大久須,静岡県,西伊豆町,宇久須,大久須,西伊豆町宇久須大久須,22306.0,6001.0,6001.0,4.0,215,18.44422,1.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,9.0,8.0,10.0,10.0,14.0,19.0,27.0,20.0,20.0,23.0,27.0,12.0,2.0,0.0379,0.10392,0.0,0.04918,0.07101,0.05674,0.06402,0.06706,0.31509,0.31296,0.4395,0.5751,0.8848,1.53919,2.5366500000000003,2.2394,2.402,2.64109,2.70567,1.2025199999999998,0.20042,5095.0,総数,,,,-,3,62,150,104,64,79,15235,71.36047,0.0,0.0,0.0,571.0,0.0,0.0,1035.0,0.0,0.0,138.81121066580405,34.835574776801614,3.9317156795345323,1606.0,西伊豆町宇久須大久須,西伊豆町宇久須大久須,code_in_car30
22306002014,西伊豆町,仁科野畑,西伊豆町,仁科野畑,西伊豆町仁科野畑,静岡県,西伊豆町,仁科,野畑,西伊豆町仁科野畑,22306.0,2014.0,2014.0,4.0,94,6.453080000000001,1.0,5.0,8.0,3.0,1.0,0.0,2.0,4.0,2.0,9.0,6.0,1.0,6.0,17.0,11.0,6.0,5.0,4.0,3.0,0.0,0.0,0.0379,0.2598,0.2944,0.07377,0.02367,0.0,0.06402,0.13412,0.07002,0.35208,0.2637,0.05751,0.3792,1.37717,1.03345,0.67182,0.6005,0.45932,0.3006299999999999,0.0,0.0,5089.0,総数,,,,-,14,34,46,18,7,48,5092,54.67021,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,138.78047630782638,34.78589297513565,4.660581339493525,103.0,西伊豆町仁科野畑,西伊豆町仁科野畑,code_in_car30
22222056027,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56027.0,56027.0,4.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4576.0,総数,,,,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76948263842513,34.86929318906801,4.722631804165159,0.0,伊豆市小下田,伊豆市小下田,code_in_car30
22222056031,伊豆市,小下田,伊豆市,小下田,伊豆市小下田,静岡県,伊豆市,小下田,,伊豆市小下田,22222.0,56031.0,56031.0,4.0,71,6.06125,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0,9.0,8.0,4.0,9.0,6.0,9.0,10.0,5.0,1.0,0.0,0.0,0.0,0.0,0.02459,0.0,0.02837,0.06402,0.0,0.0,0.11736,0.13185,0.51759,0.5056,0.32404,0.84555,0.67182,1.0809,1.1483,0.50105,0.10021,0.0,4578.0,総数,,,,-,-,27,44,31,16,30,4950,70.21831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.76573652261627,34.869678029025685,4.77762047978007,0.0,伊豆市小下田,伊豆市小下田,code_in_car30
