town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,医療法人社団健育会 西伊豆健育会病院附属土肥クリニック,西伊豆町安良里診療所,池田医院,西伊豆町田子診療所,医療法人慈愛会 石田医院,医療法人社団正仁会 加藤内科,中江医院,佐藤医院
西伊豆町宇久須大久須,西伊豆町,宇久須大久須,22306006001,3.9317156795345323,138.81121066580405,34.835574776801614,0.0,571.0,0.0,1035.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科野畑,西伊豆町,仁科野畑,22306002014,4.660581339493525,138.78047630782638,34.78589297513565,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056027,4.722631804165159,138.76948263842513,34.86929318906801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056031,4.77762047978007,138.76573652261627,34.869678029025685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町一色,西伊豆町,一色,00223060040,4.79864317613754,138.80481093592797,34.79487378457497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科沢田,西伊豆町,仁科沢田,22306002011,4.997433278515778,138.75814966577911,34.78285126943021,473.0,0.0,367.0,307.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056028,5.040899997084728,138.76064144615452,34.871572052909144,0.0,606.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056026,5.7052315020717925,138.760948374693,34.877650535677994,176.0,576.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0
西伊豆町中,西伊豆町,中,00223060030,5.913635893256218,138.78807023569794,34.7758781473305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科浜,西伊豆町,仁科浜,22306002012,5.999056662867701,138.7725894645908,34.772931507645914,2364.0,576.0,628.0,502.0,538.0,0.0,0.0,0.0,0.0
西伊豆町宇久須神田,西伊豆町,宇久須神田,22306006002,6.153795856337705,138.82115319902846,34.86237378568706,269.0,402.0,36.0,222.0,48.0,0.0,0.0,0.0,0.0
伊豆市小下田,伊豆市,小下田,22222056025,6.379932650452817,138.7611290885027,34.883787416656475,463.0,1303.0,78.0,0.0,0.0,0.0,306.0,0.0,0.0
西伊豆町仁科大浜,西伊豆町,仁科大浜,22306002013,6.439146517343868,138.77513598498433,34.76909992411678,1204.0,262.0,587.0,161.0,37.0,102.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055036,6.549391174913637,138.784986046892,34.88432989269956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
西伊豆町仁科築地,西伊豆町,仁科築地,22306002015,6.631509684665686,138.7827413737224,34.768186497503514,2169.0,97.0,592.0,191.0,187.0,51.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055022,6.802552190633981,138.77597708012692,34.8877652367655,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055024,7.0064084156321105,138.76445508408258,34.88969686548599,55.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055019,7.3397141513031885,138.77785753345833,34.89246979592156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
伊豆市八木沢,伊豆市,八木沢,22222055020,7.381682511810175,138.7717575096927,34.89318015083894,30.0,152.0,70.0,43.0,0.0,0.0,0.0,0.0,0.0
松崎町門野,松崎町,門野,00223050060,7.434157001917665,138.83497438999896,34.78710334739186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町江奈,松崎町,江奈,22305001007,7.493063843747258,138.78002777890566,34.759994504901286,60.0,66.0,72.0,545.0,0.0,325.0,0.0,203.0,0.0
