医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
みどりスキンケアクリニック日本橋,医科,東京都,中央区,中央区日本橋堀留町二丁目６番６号　ライフサイエンスビル４階,35.68928,139.7809,22.31778969600462,0,皮 美容皮膚科 アレ
山田医院,医科,埼玉県,川越市,川越市元町１－１０－８,35.92559,139.48445,22.318732321468453,0,内
冨田クリニック,医科,埼玉県,さいたま市見沼区,さいたま市見沼区中川１０２３,35.90863,139.65114,22.319153066298068,0,内 外 アレ 小 皮 ひ 消内 循内
横浜ながつた内科・呼吸器クリニック,医科,神奈川県,横浜市緑区,横浜市緑区長津田４－１１－１４,35.53259,139.49258,22.319824403106836,0,内 アレ 呼内
あっぷりけキッズクリニック,医科,神奈川県,横浜市緑区,横浜市緑区長津田４－１１－１４,35.53259,139.49258,22.319824403106836,0,小 アレ
医療法人社団鶴永会　長津田いこいの森診療所,医科,神奈川県,横浜市緑区,横浜市緑区長津田４－１１－１４,35.53259,139.49258,22.319824403106836,0,精 心内
医療法人社団　武田内科小児科クリニック,医科,東京都,荒川区,荒川区町屋八丁目７番２号,35.74731,139.78516,22.32084169142963,0,内 小 アレ 呼内 循環器内科 消化器内科 感染症内科
医療法人　横浜未来ヘルスケアシステム　大田池上病院,医科,東京都,大田区,大田区池上二丁目７番１０号,35.57833,139.70097,22.32163494490457,144,内 呼内 循環器内科 消化器内科 消化器外科 腎臓内科 外 肛門外科 整外 婦 眼 リハ 脳外 皮 放射線診断科
医療法人社団　すずきクリニック,医科,東京都,大田区,大田区南馬込二丁目２５番３号,35.5903,139.71651,22.322158532384464,0,内 小
ソフィアレディスクリニック,医科,神奈川県,相模原市中央区,相模原市中央区鹿沼台２－１２－２　２Ｆ３Ｆ４Ｆ,35.56793,139.39262,22.32291729833788,0,産婦
日本橋産業保健診療所,医科,東京都,中央区,中央区日本橋大伝馬町１２番９号　日本橋ライフサイエンスビルディング９　　４階４０１号,35.69052,139.78127,22.322977407601485,0,内 精
医療法人社団　黄龍会　小川こどもクリニック,医科,東京都,台東区,台東区浅草橋一丁目２５番５号　小川ハイム２０１号室,35.69829,139.783,22.32344715624915,0,小 形外 皮 整外 内
おおたけ眼科　古淵医院,医科,神奈川県,相模原市南区,相模原市南区古淵２－１０－１,35.55468,139.41785,22.32722102124436,0,眼
