医療機関名,保険区分,都道府県名,市区町村名,所在地,緯度,経度,distance_km,病床数計,診療科目
医療法人財団　南葛勤医協　すみだ共立診療所,医科,東京都,墨田区,墨田区墨田三丁目４１番１５号,35.73009,139.8232,25.671604976649174,0,内 皮
赤枝病院,医科,神奈川県,横浜市旭区,横浜市旭区上川井町５７８－２,35.50099,139.50056,25.672987920697853,199,内 精 神内 外 リハ 整外 皮 歯 消外 呼外 呼内 老内 循内 腎内
さいたま記念病院,医科,埼玉県,さいたま市見沼区,さいたま市見沼区東宮下字西１９６番地,35.93144,139.67773,25.685340983290356,199,内 呼内 循内 消内 糖内 外 消外 肛外 整外 脳外 リウ 皮 ひ 眼 耳い リハ 血液内 代謝内 内分泌内 脂質代謝内 乳腺外
医療法人社団　京浜会　京浜病院,医科,東京都,大田区,大田区大森南一丁目１４番１３号,35.56419,139.73703,25.687140563792337,71,内 リハ
社会医療法人社団　慈生会　常楽診療所,医科,東京都,足立区,足立区一ツ家四丁目５番１１号,35.78003,139.81683,25.70363433770928,0,内 リハ 外 整外 放 小
京浜診療所,医科,東京都,大田区,大田区東六郷一丁目２７番４号,35.55083,139.7189,25.70564338839508,0,内 小 外 循 消 整外 放 皮 ひ 神内
医療法人社団　仁寿会　中村病院,医科,東京都,墨田区,墨田区八広二丁目１番１号,35.71754,139.82339,25.726722147709857,130,内 呼内 循環器内科 神内 外 整外 脳外 形外 皮 ひ リハ 麻 胃腸内科 ペインクリニック内科 消化器外科 肛門外科
医療法人財団愛慈会　相和病院,医科,神奈川県,相模原市緑区,相模原市緑区大島１７５２,35.57347,139.32784,25.795054034874234,312,内
医療法人社団　正井診療所,医科,東京都,江東区,江東区海辺１２番１１号,35.68088,139.8181,25.79829624086492,0,内 小
加藤診療所,医科,東京都,墨田区,墨田区八広一丁目３９番７号,35.72153,139.82448,25.80477766708805,0,内 小 放 外
江東区医師会館内休日急病診療所,医科,東京都,江東区,江東区東陽五丁目３１番１８号　江東区医師会館内２階,35.673,139.81612,25.824855976449456,0,内 小
医療法人社団　青藍会　鈴木リハビリテーション病院,医科,東京都,江東区,江東区枝川三丁目８番１３号,35.65829,139.81107,25.840482702840195,103,内 リハ
医療法人社団　清湘会　清湘会記念病院,医科,東京都,江東区,江東区亀戸二丁目１７番２４号,35.69732,139.8224,25.857626976294764,45,内 外 腎臓内科 血管外科 糖尿病内科 内分泌内科 循環器内科 消化器内科 人工透析内科 内視鏡外科
さかど療護園診療所,医科,埼玉県,坂戸市,坂戸市大字中小坂字神明８０－２,35.94938,139.44368,25.88111195346096,0,内
新横浜母と子の病院,医科,神奈川県,横浜市港北区,横浜市港北区鳥山町６５０－１,35.50344,139.60565,25.88209333092902,60,産 婦 内 小 放 麻
大山耳鼻咽喉科診療所,医科,神奈川県,川崎市幸区,川崎市幸区南幸町２－２５－２,35.53251,139.69086,25.8839702328597,0,耳い
医療法人社団　苑田会　花はたリハビリテーション病院,医科,東京都,足立区,足立区花畑五丁目１２番２９号,35.80664,139.80965,25.888495973163593,180,内 リハ
社会福祉法人　聖風会診療所,医科,東京都,足立区,足立区花畑四丁目３９番１０号,35.80651,139.80974,25.89141194381804,0,内 精 神 眼
医療法人社団　恵信会　友仁病院,医科,東京都,江東区,江東区亀戸二丁目４１番１号,35.70075,139.82335,25.89171930674082,72,内 外 整外 消化器内科 肛門外科 心内
昇和診療所,医科,神奈川県,横浜市港北区,横浜市港北区新横浜１－１１－１１,35.50478,139.6127,25.894255626206117,0,内 皮 整外 精
医療法人社団　眞仁会　青井診療所,医科,東京都,足立区,足立区青井四丁目２９番２３号,35.77567,139.82013,25.89515358848055,0,内 精 小 整外 皮 心内
足立医療生活協同組合綾瀬駅前診療所,医科,東京都,足立区,足立区綾瀬四丁目９番２４号　大室ビル３階－３０１,35.76265,139.82335,25.93882524342137,0,内 小 リハ 心内
医療法人社団　上杏会　あげお第一診療所,医科,埼玉県,上尾市,上尾市大字小敷谷８４５－１,35.96214,139.56439,25.9411454226625,0,内 耳 小 皮
社会福祉法人恩賜財団済生会支部神奈川県済生会　横浜市東部病院,医科,神奈川県,横浜市鶴見区,横浜市鶴見区下末吉３－６－１,35.52482,139.67601,25.945138397889583,562,内 循 消 神内 小 外 整外 形外 脳外 呼 呼外 心外 皮 ひ 産婦 眼 耳い リハ 精 放 麻 歯外 病理 救急 消外
医療法人財団　良心会　青梅成木台病院,医科,東京都,青梅市,青梅市成木一丁目４４７番地　,35.83279,139.2807,25.94805671127008,270,精 内
医療法人社団　翔辰会　辰巳中央診療所,医科,東京都,江東区,江東区辰巳一丁目９番４９号　１０２号,35.65012,139.80894,25.954500481850083,0,内 消 小
医療法人社団　眞仁会　綾瀬内科診療所,医科,東京都,足立区,足立区綾瀬四丁目１４番１７号,35.76391,139.82341,25.964099286159847,0,内 小 皮
