CITY_NAME,S_NAME,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入)
,山田町,,,2.0,2.0,4,2.0,2.0,2.0,4,5,5,9,5.0,6,6,6,8,6.0,4,5.0,3,1.0,0.0,0.0758,0.0,0.10392,0.0,0.1472,0.0,0.04918,0.0,0.04734,0.0,0.05674,0.0,0.12804,0.0,0.16765,0.0,0.17504999999999998,0.0,0.35208,0.0,0.21975,0.0,0.34506,0.0,0.37920000000000004,0.0,0.48606,0.0,0.7516,1.0,0.67182,1.0,0.4804,0.0,0.57415,1.0,0.30062999999999995,0.0,0.10021,0.0,0.0,0.0,5.61188,3.0
,大字小夫,,,,,1,0.0,,0.0,0,0,0,0,1.0,1,1,2,1,1.0,1,0.0,0,0.0,,,,,,0.0368,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395,0.0,0.05751,0.0,0.0632,0.0,0.16202,0.0,0.09395,0.0,0.11197,0.0,0.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.6894999999999999,0.0
,室生向渕,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,室生向渕,,,1.0,0.0,1,2.0,2.0,1.0,1,2,3,3,3.0,4,7,8,9,7.0,5,2.0,1,0.0,0.0,0.0379,0.0,0.0,0.0,0.0368,0.0,0.04918,0.0,0.04734,0.0,0.02837,0.0,0.03201,0.0,0.06706,0.0,0.10503,0.0,0.11736,0.0,0.13185000000000002,0.0,0.23004,0.0,0.4424,0.0,0.64808,1.0,0.84555,1.0,0.78379,1.0,0.6005,1.0,0.22966,0.0,0.10021,0.0,0.0,0.0,0.0,0.0,4.53313,4.0
,室生無山,,,1.0,4.0,3,7.0,6.0,6.0,4,8,7,14,11.0,15,21,20,20,25.0,13,12.0,4,,,0.0379,0.0,0.20784,0.0,0.1104,0.0,0.17213,0.0,0.14202,0.0,0.17021999999999998,0.0,0.12804,0.0,0.26824,0.0,0.24507,0.0,0.5476800000000001,1.0,0.48345000000000005,0.0,0.86265,1.0,1.3272000000000002,1.0,1.6202,2.0,1.879,2.0,2.79925,3.0,1.5613,2.0,1.37796,1.0,0.40084,0.0,,,,,14.34139,13.0
,室生多田,,,,,0,0.0,0.0,1.0,1,0,1,1,1.0,2,3,4,4,4.0,1,1.0,0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.02837,0.0,0.03201,0.0,0.0,0.0,0.03501,0.0,0.03912,0.0,0.04395,0.0,0.11502,0.0,0.18960000000000002,0.0,0.32404,0.0,0.3758,0.0,0.44788,0.0,0.1201,0.0,0.11483,0.0,0.0,0.0,0.0,0.0,,,1.86573,0.0
,室生染田,,,,0.0,3,2.0,4.0,2.0,0,2,1,3,5.0,4,5,7,5,3.0,7,5.0,1,0.0,,,,0.0,0.0,0.1104,0.0,0.04918,0.0,0.09468,0.0,0.05674,0.0,0.0,0.0,0.06706,0.0,0.03501,0.0,0.11736,0.0,0.21975,0.0,0.23004,0.0,0.31600000000000006,0.0,0.56707,1.0,0.46975,0.0,0.33591,0.0,0.8407,1.0,0.57415,1.0,0.10021,0.0,0.0,0.0,,,4.18401,3.0
,室生小原,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
,室生下笠間,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0
,都祁南之庄町,,,5.0,4.0,1,2.0,3.0,4.0,2,3,3,2,5.0,5,9,6,5,5.0,7,5.0,1,0.0,0.0,0.1895,0.0,0.20784,0.0,0.0368,0.0,0.04918,0.0,0.07101,0.0,0.11348,0.0,0.06402,0.0,0.10058999999999998,0.0,0.10503,0.0,0.07824,0.0,0.21975,0.0,0.28755,0.0,0.5688000000000001,1.0,0.48606,0.0,0.46975,0.0,0.55985,1.0,0.8407,1.0,0.57415,1.0,0.10021,0.0,0.0,0.0,0.0,0.0,5.12251,4.0
