CITY_NAME,S_NAME,POP,__srcfile,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_受容者(小数),0～4歳_受容者(四捨五入),5～9歳_受容者(小数),5～9歳_受容者(四捨五入),10～14歳_受容者(小数),10～14歳_受容者(四捨五入),15～19歳_受容者(小数),15～19歳_受容者(四捨五入),20～24歳_受容者(小数),20～24歳_受容者(四捨五入),25～29歳_受容者(小数),25～29歳_受容者(四捨五入),30～34歳_受容者(小数),30～34歳_受容者(四捨五入),35～39歳_受容者(小数),35～39歳_受容者(四捨五入),40～44歳_受容者(小数),40～44歳_受容者(四捨五入),45～49歳_受容者(小数),45～49歳_受容者(四捨五入),50～54歳_受容者(小数),50～54歳_受容者(四捨五入),55～59歳_受容者(小数),55～59歳_受容者(四捨五入),60～64歳_受容者(小数),60～64歳_受容者(四捨五入),65～69歳_受容者(小数),65～69歳_受容者(四捨五入),70～74歳_受容者(小数),70～74歳_受容者(四捨五入),75～79歳_受容者(小数),75～79歳_受容者(四捨五入),80～84歳_受容者(小数),80～84歳_受容者(四捨五入),85～89歳_受容者(小数),85～89歳_受容者(四捨五入),90～94歳_受容者(小数),90～94歳_受容者(四捨五入),95～99歳_受容者(小数),95～99歳_受容者(四捨五入),100歳以上_受容者(小数),100歳以上_受容者(四捨五入),SUM_受容者(小数),SUM_受容者(四捨五入)
,小倉町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,福住町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,1,1,0.0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08101,0.0,0.09395,0.0,0.0,0.0,0.1201,0.0,0.11483,0.0,0.10021,0.0,0.0,0.0,0.0,0.0,0.5101,0.0
,室生多田,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,都祁南之庄町,,,3.0,3.0,1,1.0,2.0,2.0,1,2,2,3,3.0,3,6,4,3,4.0,5,4.0,1,0.0,0.0,0.11370000000000001,0.0,0.15588,0.0,0.0368,0.0,0.02459,0.0,0.04734,0.0,0.05674,0.0,0.03201,0.0,0.06706,0.0,0.07002,0.0,0.11736,0.0,0.13185000000000002,0.0,0.17253,0.0,0.37920000000000004,0.0,0.32404,0.0,0.28185000000000004,0.0,0.44788,0.0,0.6005,1.0,0.45932,0.0,0.10021,0.0,0.0,0.0,0.0,0.0,3.6188800000000003,1.0
,都祁甲岡町,,,0.0,1.0,3,2.0,2.0,1.0,0,0,3,6,3.0,4,2,2,5,4.0,2,3.0,0,1.0,0.0,0.0,0.0,0.05196,0.0,0.1104,0.0,0.04918,0.0,0.04734,0.0,0.02837,0.0,0.0,0.0,0.0,0.0,0.10503,0.0,0.23472,0.0,0.13185000000000002,0.0,0.23004,0.0,0.1264,0.0,0.16202,0.0,0.46975,0.0,0.44788,0.0,0.2402,0.0,0.34449,0.0,0.0,0.0,0.10021,0.0,0.0,0.0,2.87984,0.0
,来迎寺町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,都祁友田町,,,3.0,6.0,5,3.0,4.0,5.0,5,5,4,4,6.0,7,9,8,13,9.0,10,13.0,8,5.0,0.0,0.11370000000000001,0.0,0.31176,0.0,0.184,0.0,0.07377,0.0,0.09468,0.0,0.14185,0.0,0.16004999999999997,0.0,0.16765,0.0,0.14004,0.0,0.15648,0.0,0.26370000000000005,0.0,0.40257,0.0,0.5688000000000001,1.0,0.64808,1.0,1.2213500000000002,1.0,1.00773,1.0,1.201,1.0,1.49279,1.0,0.80168,1.0,0.50105,1.0,0.0,0.0,9.652729999999998,8.0
,都祁白石町,,,5.0,7.0,7,8.0,8.0,8.0,10,11,10,10,15.0,17,20,21,22,11.0,12,12.0,7,2.0,1.0,0.1895,0.0,0.36372,0.0,0.2576,0.0,0.19672,0.0,0.18936,0.0,0.22696,0.0,0.32009999999999994,0.0,0.36883,0.0,0.35009999999999997,0.0,0.3912,0.0,0.65925,1.0,0.9776699999999999,1.0,1.2640000000000002,1.0,1.7012099999999999,2.0,2.0669,2.0,1.23167,1.0,1.4412,1.0,1.37796,1.0,0.7014699999999999,1.0,0.20042,0.0,0.10021,0.0,14.57605,11.0
,針町,,,3.0,9.0,10,10.0,9.0,8.0,7,8,9,13,10.0,7,7,13,13,9.0,7,4.0,2,1.0,0.0,0.11370000000000001,0.0,0.46764,0.0,0.368,0.0,0.2459,0.0,0.21303,0.0,0.22696,0.0,0.22407,0.0,0.26824,0.0,0.31509,0.0,0.50856,1.0,0.4395,0.0,0.40257,0.0,0.4424,0.0,1.05313,1.0,1.2213500000000002,1.0,1.00773,1.0,0.8407,1.0,0.45932,0.0,0.20042,0.0,0.10021,0.0,0.0,0.0,9.11852,5.0
,都祁南之庄町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,都祁甲岡町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,都祁友田町,,,1.0,2.0,2,1.0,1.0,2.0,2,2,1,2,2.0,3,3,3,5,3.0,4,5.0,3,2.0,0.0,0.0379,0.0,0.10392,0.0,0.0736,0.0,0.02459,0.0,0.02367,0.0,0.05674,0.0,0.06402,0.0,0.06706,0.0,0.03501,0.0,0.07824,0.0,0.0879,0.0,0.17253,0.0,0.18960000000000002,0.0,0.24303,0.0,0.46975,0.0,0.33591,0.0,0.4804,0.0,0.57415,1.0,0.30062999999999995,0.0,0.20042,0.0,0.0,0.0,3.6190699999999993,1.0
,都祁白石町,,,2.0,3.0,3,4.0,3.0,3.0,4,5,4,4,7.0,7,9,9,10,5.0,5,5.0,3,1.0,0.0,0.0758,0.0,0.15588,0.0,0.1104,0.0,0.09836,0.0,0.07101,0.0,0.08510999999999999,0.0,0.12804,0.0,0.16765,0.0,0.14004,0.0,0.15648,0.0,0.30765000000000003,0.0,0.40257,0.0,0.5688000000000001,1.0,0.72909,1.0,0.9395,1.0,0.55985,1.0,0.6005,1.0,0.57415,1.0,0.30062999999999995,0.0,0.10021,0.0,0.0,0.0,6.27172,6.0
,針町,,,0.0,1.0,1,1.0,1.0,1.0,1,1,1,2,1.0,1,1,2,2,1.0,1,0.0,0,0.0,0.0,0.0,0.0,0.05196,0.0,0.0368,0.0,0.02459,0.0,0.02367,0.0,0.02837,0.0,0.03201,0.0,0.03353,0.0,0.03501,0.0,0.07824,0.0,0.04395,0.0,0.05751,0.0,0.0632,0.0,0.16202,0.0,0.1879,0.0,0.11197,0.0,0.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0908300000000002,0.0
,都祁友田町,,,0.0,1.0,0,0.0,0.0,0.0,0,0,0,0,1.0,1,1,1,1,1.0,1,1.0,1,0.0,0.0,0.0,0.0,0.05196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04395,0.0,0.05751,0.0,0.0632,0.0,0.08101,0.0,0.09395,0.0,0.11197,0.0,0.1201,0.0,0.11483,0.0,0.10021,0.0,0.0,0.0,0.0,0.0,0.8386899999999999,0.0
,都祁白石町,,,1.0,2.0,2,2.0,2.0,2.0,2,3,2,2,4.0,4,5,5,5,2.0,3,3.0,2,0.0,0.0,0.0379,0.0,0.10392,0.0,0.0736,0.0,0.04918,0.0,0.04734,0.0,0.05674,0.0,0.06402,0.0,0.10058999999999998,0.0,0.07002,0.0,0.07824,0.0,0.1758,0.0,0.23004,0.0,0.31600000000000006,0.0,0.40505,0.0,0.46975,0.0,0.22394,0.0,0.3603,0.0,0.34449,0.0,0.20042,0.0,0.0,0.0,0.0,0.0,3.40734,0.0
,針町,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
