town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,三友堂病院,公立置賜総合病院,公立高畠病院,公立置賜長井病院,米沢市平日夜間・休日診療所,米沢こころの病院,いなげ内科呼吸器内科医院,医療法人古川医院,きだ内科クリニック,医療法人社団有朋会池田内科医院,白鷹町立病院,医療法人社団仁陽会仁陽堂外田医院,内科島津医院,笹井内科クリニック,佐藤病院,医療法人 安日クリニック,板垣医院,大塚医院,まつはし内科胃腸科クリニック,公立置賜川西診療所,田中クリニック,中山胃腸科内科医院,トータルヘルスクリニック,しおいクリニック,医療法人社団小林医院,大辻外科胃腸科医院,齋藤内科クリニック,医療法人社団梅津医院,斎藤内科循環器科クリニック,医療法人社団きじまキッズクリニック,医療法人杏山会吉川記念病院,さとうクリニック,多田医院,中條医院,後藤医院,黄木脳神経クリニック,柄沢医院,はぎの内科医院,齋藤医院,医療法人 さの医院,石井ファミリークリニック,医療法人中村循環器科医院,横沢医院,医療法人石橋医院,さとう小児科医院,おきたまフラワークリニック,金子医院,医療法人社団鈴木内科医院,さゆりクリニック,南陽矢吹クリニック,三友堂リハビリテーションセンター,飯豊町国民健康保険診療所,長井西置賜休日診療所,大森医院,いまい医院,いからし内科クリニック,外田医院,三上医院,赤湯駅前クリニック,くぼた診療所
高畠町大字高畠幸町二,高畠町,大字高畠幸町二,06381001007,0.5566604098203105,140.1964595800191,38.00495231583973,40.0,19.0,234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠大町二,高畠町,大字高畠大町二,06381001002,0.670536593634268,140.19442750490657,38.001379401427435,0.0,0.0,977.0,184.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠桜木町,高畠町,大字高畠桜木町,06381001005,0.6853173431987511,140.19454660304166,38.00441247247124,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津青葉町,高畠町,大字安久津青葉町,06381002016,0.707966775104799,140.20950674814264,38.00472012926722,48.0,136.0,131.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津旭町,高畠町,大字安久津旭町,06381002014,0.8434932621553873,140.2100666512438,38.00653713012731,200.0,33.0,678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
高畠町大字安久津安久津一,高畠町,大字安久津安久津一,06381002017,0.8568534251784554,140.21162354199672,38.00362580890198,197.0,0.0,188.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字小郡山,高畠町,大字小郡山,06381005000,0.894103541670379,140.21158656433772,37.9997805721905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高安,高畠町,大字高安,06381004000,1.1033526322530123,140.20364318402247,37.99261275179521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠大町三,高畠町,大字高畠大町三,06381001003,1.1115306350719993,140.18955744486183,38.00034454229734,317.0,69.0,1897.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠弥生町,高畠町,大字高畠弥生町,06381001022,1.1217059356568697,140.18922651979204,38.003492648786214,275.0,239.0,383.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,480.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠幸町三,高畠町,大字高畠幸町三,06381001008,1.1852612366602002,140.189922569058,38.007310777555254,311.0,117.0,389.0,0.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,116.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津安久津二,高畠町,大字安久津安久津二,06381002018,1.1935493298287596,140.21532020529526,38.004538911204335,0.0,0.0,306.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津緑町,高畠町,大字安久津緑町,06381002019,1.2325945281724486,140.2140801226008,38.00807345681264,0.0,40.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字泉岡,高畠町,大字泉岡,06381006000,1.4636815665106238,140.18712460372294,37.99639571115033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字根岸根岸,高畠町,大字根岸根岸,06381012007,1.5334520062568007,140.1899305271539,38.01246378020339,42.0,56.0,97.0,0.0,24.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,45.0,21.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字安久津鳥居町,高畠町,大字安久津鳥居町,06381002020,1.599980990637572,140.22015271641263,38.00368138811103,0.0,0.0,447.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
