town_name_show,dist_km,公立高畠病院,まつはし内科胃腸科クリニック,三友堂病院,金子医院,石井ファミリークリニック,公立置賜総合病院,佐藤病院,板垣医院,トータルヘルスクリニック,きだ内科クリニック
高畠町大字竹森中才,3.0631052812217665,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字船橋,3.205758842004284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字深沼中組,3.2786686203153734,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字金原熊の前,3.2909570193759468,0.0,134.0,47.0,0.0,0.0,329.0,0.0,0.0,0.0,0.0
高畠町大字安久津蛭沢,3.367537633365529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字一本柳西本町,3.37996873788929,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
高畠町大字高畠北目,3.390692408448848,1104.0,257.0,493.0,62.0,41.0,181.0,51.0,0.0,26.0,23.0
高畠町大字亀岡亀岡一,3.448861256290608,174.0,171.0,74.0,13.0,0.0,23.0,0.0,0.0,0.0,0.0
高畠町大字竹森日向,3.523520010231886,235.0,82.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
高畠町大字一本柳館の内,3.5890776257451664,444.0,26.0,91.0,0.0,69.0,94.0,0.0,0.0,0.0,0.0
