town_name_show,dist_km,山口市徳地診療所,山口県立総合医療センター,医療法人 米沢記念 桑陽病院,ライフクリニック,医療法人社団松友会 松本外科病院,済生会山口総合病院,光山医院,一般財団法人防府消化器病センター 防府胃腸病院,綜合病院 山口赤十字病院,医療法人清和会 吉南病院
山口市徳地島地中村,4.873329421675269,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地岸見徳行,4.880738684117084,46.0,18.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地引谷夏焼中,4.9269796521870965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地島地下市,4.989121764629762,514.0,13.0,0.0,0.0,0.0,19.0,0.0,0.0,105.0,0.0
山口市徳地八坂上八坂下,5.012552838384198,179.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
山口市徳地三谷野々井,5.023584232350562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地岸見麻生,5.023640705743863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地島地中市,5.08573948105091,38.0,0.0,40.0,0.0,0.0,159.0,0.0,109.0,0.0,0.0
山口市徳地八坂上八坂上,5.245806946788192,257.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,114.0
山口市徳地船路中央下,5.274998391876319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地藤木上藤木,5.316990060354843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
