town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,済生会山口総合病院,山口県立総合医療センター,綜合病院 山口赤十字病院,医療法人和同会 防府リハビリテーション病院,医療法人神徳会 三田尻病院,医療法人 米沢記念 桑陽病院,一般財団法人防府消化器病センター 防府胃腸病院,みほりクリニック,相川医院,周南市立新南陽市民病院,なかもり内科クリニック,おさばファミリークリニック,たにがわ医院,淵上整形外科,医療法人 奥田胃腸科内科,光山医院,山口市徳地診療所,深川内科循環器科,やまがた循環器内科クリニック,おおうちクリニック,医療法人芳和会 アベ産婦人科クリニック,医療法人社団松友会 松本外科病院,おのクリニック,医療法人 仁保病院,林外科医院,うえだ内科・循環器クリニック,深野医院,クボクリニック,医療法人博愛会 山口博愛病院,竹内医院,野瀬内科小児科,医療法人社団 ながみつクリニック,大野整形外科リウマチ科,うちみち脳神経クリニック,医療法人財団清仁会附属 鴻城医院,医療法人清和会 吉南病院,医療法人社団 うのき内科・循環器科,医療法人 中村医院,ライフクリニック,緑町三祐病院,医療法人 原医院,藤原胃腸科内科,三の宮ふくだクリニック,医療法人治徳会 湯野温泉病院,よろず循環器内科,三好クリニック,くにちか内科 循環器・呼吸器クリニック,医療法人社団 ひらた内科呼吸器科医院,医療法人樹一会 山口病院,原田内科胃腸科医院,医療法人社団水生会 柴田病院,渡辺内科・呼吸器科,中央クリニック,医療法人 丘病院,医療法人社団イシス会 かまたクリニック,医療法人社団生和会 周南リハビリテーション病院,大腸クリニックかわむら内科,しおみ循環器内科,山本内科医院,山口若宮病院
山口市徳地堀上佐,山口市,徳地堀上佐,35203101017,1.3493310416910549,131.6484986045224,34.20015143766204,0.0,91.0,0.0,0.0,21.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖片山,山口市,徳地大字小古祖片山,35203100004,1.401372400670764,131.66690298217918,34.20110693867017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀上庄方,山口市,徳地堀上庄方,35203101011,1.5299606741276732,131.64229656966697,34.195477146997845,0.0,74.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,77.0,0.0,0.0,152.0,35.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀下庄方,山口市,徳地堀下庄方,35203101012,1.571491551239515,131.64117106113355,34.18835908063656,0.0,167.0,56.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,140.0,335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,22.0,0.0,0.0
山口市徳地伊賀地伊賀地団地,山口市,徳地伊賀地伊賀地団地,35203102008,1.738472513801876,131.64661699360278,34.17839805120402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地堀伏野上,山口市,徳地堀伏野上,35203101003,1.8886208265123576,131.6782833040475,34.18835636453291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地大字小古祖市,山口市,徳地大字小古祖市,35203100003,1.9365144666535647,131.67470760505617,34.20146814912355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地沖ノ原東,山口市,徳地伊賀地沖ノ原東,35203102002,1.9506615464154233,131.64683050151962,34.175968864468715,11.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,15.0,130.0,0.0,0.0,51.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,34.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地沖ノ原西,山口市,徳地伊賀地沖ノ原西,35203102003,2.0781403204685294,131.64109889955841,34.17847045933339,0.0,27.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
山口市徳地堀中村,山口市,徳地堀中村,35203101005,2.176986509665547,131.66956613037493,34.173819718908476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山口市徳地伊賀地志手原,山口市,徳地伊賀地志手原,35203102001,2.275987118781366,131.6585752599573,34.17042870893433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
