TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,いこまファミリークリニック,いとしろクリニック,おおすが内科クリニック,こくぼクリニック,さぐち内科,てらしまクリニック,なかの内科クリニック,みうら内科・糖尿病クリニック,みのかも西クリニック,みの長村医院,ウェルネス高井クリニック,カブチ山田クリニック,一般財団法人岐阜健康管理センター すこやかクリニック,下條内科クリニック,中部国際医療センター,医療法人春陽会 慈恵中央病院,医療法人清仁会 のぞみの丘ホスピタル,医療法人社団秀洋会 阿知波医院,医療法人香徳会 関中央病院,土屋クリニック,堀部医院,大前医院おぜ診療所,大矢クリニック,安田内科クリニック,小島内科,山手クリニック,岐阜県厚生農業協同組合連合会 中濃厚生病院,明星診療所,杉山クリニック,林クリニック,林医院,滝谷医院,真鍋内科,石木クリニック,竹内医院,美濃市立美濃病院,臼井ハツラツクリニック,藤井クリニック,西田醫院,関市国民健康保険津保川診療所,青山内科,LON,LAT,dist_km,total_patients,town,town_norm,match_type
21219038000,郡上市,洲河,郡上市,洲河,郡上市洲河,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.02118637522847,35.71162018369331,14.27155629106563,0.0,郡上市洲河,郡上市洲河,code_in_car30
21205063000,関市,梅竜寺山,関市,梅竜寺山,関市梅竜寺山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.9210764145852,35.479545018589135,14.275253055468783,173.0,関市梅竜寺山,関市梅竜寺山,code_in_car30
21205082000,関市,南春日町,関市,南春日町,関市南春日町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.91662810625346,35.482085915473576,14.291606776326581,0.0,関市南春日町,関市南春日町,code_in_car30
21211011005,美濃加茂市,本郷町五丁目,美濃加茂市,本郷町五丁目,美濃加茂市本郷町五丁目,岐阜県,美濃加茂市,本郷町,五丁目,美濃加茂市本郷町五丁目,21211.0,11005.0,4.0,628.0,51.0,33.0,45.0,20.0,33.0,47.0,47.0,46.0,44.0,39.0,42.0,34.0,27.0,29.0,23.0,31.0,21.0,7.0,3.0,0.0,0.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,33.0,0.0,56.0,0.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0351948057901,35.4560714025836,14.291763251323808,834.0,美濃加茂市本郷町五丁目,美濃加茂市本郷町五丁目,code_in_car30
21211011006,美濃加茂市,本郷町六丁目,美濃加茂市,本郷町六丁目,美濃加茂市本郷町六丁目,岐阜県,美濃加茂市,本郷町,六丁目,美濃加茂市本郷町六丁目,21211.0,11006.0,4.0,701.0,40.0,43.0,54.0,43.0,23.0,36.0,38.0,52.0,50.0,75.0,36.0,33.0,36.0,36.0,35.0,29.0,8.0,10.0,6.0,3.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,137.03837351475204,35.4564307646606,14.294117210858412,475.0,美濃加茂市本郷町六丁目,美濃加茂市本郷町六丁目,code_in_car30
21205203001,関市,寿町一丁目,関市,寿町一丁目,関市寿町一丁目,岐阜県,関市,寿町,一丁目,関市寿町一丁目,21205.0,203001.0,4.0,144.0,0.0,5.0,7.0,9.0,8.0,5.0,3.0,6.0,5.0,13.0,15.0,10.0,9.0,9.0,9.0,6.0,14.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.92327594492724,35.47803853146619,14.296208072035943,195.0,関市寿町一丁目,関市寿町一丁目,code_in_car30
21205087000,関市,森西町,関市,森西町,関市森西町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.91046364068168,35.4861374592733,14.297427464935623,0.0,関市森西町,関市森西町,code_in_car30
21205080002,関市,緑町二丁目,関市,緑町二丁目,関市緑町二丁目,岐阜県,関市,緑町,二丁目,関市緑町二丁目,21205.0,80002.0,4.0,164.0,4.0,5.0,3.0,7.0,9.0,5.0,8.0,6.0,4.0,6.0,15.0,14.0,7.0,20.0,8.0,9.0,15.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.90723053186846,35.48838883785099,14.304435467556766,252.0,関市緑町二丁目,関市緑町二丁目,code_in_car30
21205502301,関市,平成通一丁目,関市,平成通一丁目,関市平成通一丁目,岐阜県,関市,平成通,一丁目,関市平成通一丁目,21205.0,502301.0,4.0,314.0,14.0,17.0,21.0,27.0,25.0,28.0,14.0,21.0,32.0,30.0,21.0,26.0,9.0,8.0,8.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,136.9355615274267,35.471583926590164,14.308886205464745,313.0,関市平成通一丁目,関市平成通一丁目,code_in_car30
21205072002,関市,日ノ出町二丁目,関市,日ノ出町二丁目,関市日ノ出町二丁目,岐阜県,関市,日ノ出町,二丁目,関市日ノ出町二丁目,21205.0,72002.0,4.0,81.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,2.0,1.0,4.0,9.0,6.0,7.0,8.0,8.0,3.0,8.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.912981185986,35.48419192195963,14.31563489342062,0.0,関市日ノ出町二丁目,関市日ノ出町二丁目,code_in_car30
