TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,おかむね医院,おかむらクリニック,でぐち内科クリニック,三重県立志摩病院,中村クリニック,二見浦内科 アレルギー科・皮フ科・小児科,伊勢志摩腎クリニック志摩分院,医療法人山﨑整形外科,医療法人日比クリニック,医療法人社団中瀬外科整形外科,医療法人(社団)医心会齋木内科,小林内科クリニック,尾崎内科,志摩市休日夜間応急診療所,服部内科,林クリニック,池田ファミリークリニック,西岡記念セントラルクリニック,谷岡医院,豊和病院,赤坂クリニック,近藤内科,近藤医院,鳥羽市休日・夜間応急診療所,鳥羽市立鏡浦診療所,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所石鏡分室,鳥羽市立長岡診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
24215006000,志摩市,阿児町国府,志摩市,阿児町国府,志摩市阿児町国府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,918.0,0.0,1106.0,99.0,0.0,89.0,52.0,84.0,212.0,462.0,629.0,0.0,415.0,210.0,45.0,140.0,0.0,0.0,45.0,0.0,0.0,381.0,0.0,0.0,52.0,0.0,0.0,136.86770510002097,34.34016873503811,6.347662578447596,4939.0,志摩市阿児町国府,志摩市阿児町国府,code_in_car30
24215028000,志摩市,磯部町飯浜,志摩市,磯部町飯浜,志摩市磯部町飯浜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.83301307545347,34.368637933186584,6.772235867179924,313.0,志摩市磯部町飯浜,志摩市磯部町飯浜,code_in_car30
24211027000,鳥羽市,浦村町,鳥羽市,浦村町,鳥羽市浦村町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,214.0,0.0,0.0,514.0,0.0,0.0,0.0,4140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,0.0,0.0,878.0,135.0,150.0,0.0,0.0,136.88939140317805,34.45225227183189,7.066660615778768,6747.0,鳥羽市浦村町,鳥羽市浦村町,code_in_car30
24215037000,志摩市,磯部町坂崎,志摩市,磯部町坂崎,志摩市磯部町坂崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,246.0,0.0,135.0,0.0,0.0,0.0,0.0,44.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,136.83682668232223,34.35355694710745,7.222916675393073,596.0,志摩市磯部町坂崎,志摩市磯部町坂崎,code_in_car30
24211017000,鳥羽市,岩倉町,鳥羽市,岩倉町,鳥羽市岩倉町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,76.0,0.0,0.0,467.0,0.0,0.0,0.0,3561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.0,0.0,0.0,1316.0,0.0,0.0,0.0,0.0,136.85360305699146,34.44476346818971,7.588141878844432,6337.0,鳥羽市岩倉町,鳥羽市岩倉町,code_in_car30
24215024000,志摩市,磯部町沓掛,志摩市,磯部町沓掛,志摩市磯部町沓掛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,136.8172917400758,34.39863038750499,7.864284030744305,381.0,志摩市磯部町沓掛,志摩市磯部町沓掛,code_in_car30
24215027000,志摩市,磯部町下之郷,志摩市,磯部町下之郷,志摩市磯部町下之郷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,51.0,0.0,144.0,40.0,0.0,0.0,0.0,182.0,0.0,368.0,754.0,0.0,86.0,0.0,69.0,0.0,466.0,0.0,135.0,36.0,0.0,315.0,0.0,0.0,0.0,0.0,48.0,136.817011600208,34.37274603095538,8.048019555009118,2933.0,志摩市磯部町下之郷,志摩市磯部町下之郷,code_in_car30
24215005000,志摩市,阿児町甲賀,志摩市,阿児町甲賀,志摩市阿児町甲賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1451.0,0.0,692.0,114.0,456.0,99.0,96.0,0.0,49.0,851.0,1077.0,0.0,98.0,454.0,140.0,159.0,0.0,0.0,744.0,0.0,0.0,252.0,0.0,0.0,0.0,0.0,0.0,136.8923846154226,34.315807038737034,8.255603339542393,6732.0,志摩市阿児町甲賀,志摩市阿児町甲賀,code_in_car30
24211020000,鳥羽市,白木町,鳥羽市,白木町,鳥羽市白木町,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,1529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,136.82141725891432,34.42232141387001,8.264405869632947,1761.0,鳥羽市白木町,鳥羽市白木町,code_in_car30
24215026000,志摩市,磯部町上之郷,志摩市,磯部町上之郷,志摩市磯部町上之郷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.8114627645708,34.382679899000756,8.370957444770196,0.0,志摩市磯部町上之郷,志摩市磯部町上之郷,code_in_car30
