town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,小林内科クリニック,鳥羽市休日・夜間応急診療所,赤坂クリニック,中村クリニック,医療法人(社団)医心会齋木内科,おかむらクリニック,三重県立志摩病院,医療法人山﨑整形外科,近藤医院,でぐち内科クリニック,志摩市休日夜間応急診療所,服部内科,豊和病院,林クリニック,二見浦内科 アレルギー科・皮フ科・小児科,池田ファミリークリニック,医療法人日比クリニック,鳥羽市立長岡診療所,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,近藤内科,鳥羽市立鏡浦診療所今浦分室,鳥羽市立鏡浦診療所,尾崎内科,鳥羽市立鏡浦診療所石鏡分室,谷岡医院
志摩市磯部町下之郷,志摩市,磯部町下之郷,24215027000,8.048019555009118,136.817011600208,34.37274603095538,754.0,0.0,36.0,40.0,368.0,51.0,144.0,0.0,315.0,0.0,86.0,0.0,135.0,69.0,0.0,0.0,182.0,48.0,0.0,239.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町甲賀,志摩市,阿児町甲賀,24215005000,8.255603339542393,136.8923846154226,34.315807038737034,1077.0,0.0,0.0,114.0,851.0,1451.0,692.0,96.0,252.0,0.0,98.0,454.0,744.0,140.0,456.0,159.0,0.0,0.0,99.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市白木町,鳥羽市,白木町,24211020000,8.264405869632947,136.82141725891432,34.42232141387001,1529.0,110.0,75.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町上之郷,志摩市,磯部町上之郷,24215026000,8.370957444770196,136.8114627645708,34.382679899000756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市若杉町,鳥羽市,若杉町,24211016000,8.923469703291495,136.84191571595179,34.45251947610338,576.0,73.0,54.0,610.0,0.0,0.0,0.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市高丘町,鳥羽市,高丘町,24211011000,9.091729791207074,136.85818821185288,34.46282039869978,4557.0,1725.0,652.0,944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市安楽島町,鳥羽市,安楽島町,24211010000,9.160060121266588,136.86179252873183,34.46489693196499,20508.0,8102.0,3064.0,2092.0,185.0,0.0,187.0,827.0,45.0,186.0,212.0,0.0,0.0,0.0,73.0,0.0,0.0,185.0,52.0,0.0,0.0,0.0,340.0,0.0,0.0,0.0,51.0,0.0
志摩市磯部町迫間,志摩市,磯部町迫間,24215030000,9.219403710697057,136.80327231459913,34.375623691521696,339.0,0.0,0.0,0.0,166.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,381.0,0.0,51.0,53.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
鳥羽市幸丘,鳥羽市,幸丘,24211014000,9.247983233161598,136.84480977499345,34.45792312586479,1303.0,203.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町五知,志摩市,磯部町五知,24215023000,9.691880964201214,136.7999582465896,34.41119640989241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
