town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,町立南伊勢病院,おかむらクリニック,医療法人(社団)医心会齋木内科,三重県立志摩病院,近藤医院,関岡クリニック,別當クリニック,宿田曽診療所,志摩市休日夜間応急診療所,豊和病院,林クリニック,服部内科,志摩市立国民健康保険浜島診療所,在宅・総合診療スマイルクリニック,池田ファミリークリニック,医療法人日比クリニック,伊勢志摩腎クリニック志摩分院,おかむね医院,西岡記念セントラルクリニック,医療法人社団中瀬外科整形外科,尾崎内科
志摩市磯部町迫間,志摩市,磯部町迫間,24215031000,8.060332714719394,136.78868747216853,34.36288423098963,390.0,185.0,259.0,109.0,212.0,70.0,0.0,0.0,57.0,94.0,0.0,0.0,0.0,0.0,0.0,154.0,0.0,0.0,642.0,0.0,0.0
南伊勢町五ヶ所浦,南伊勢町,五ヶ所浦,24472001000,8.29137070484928,136.69539538562128,34.358334608853,6119.0,138.0,0.0,217.0,149.0,2759.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町船越,南伊勢町,船越,24472003000,8.404685600334632,136.68135630251345,34.34927466509437,2068.0,0.0,284.0,1011.0,222.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町切原,南伊勢町,切原,24472002000,9.031305212220788,136.71620245025528,34.37487136149911,3402.0,0.0,0.0,0.0,0.0,1523.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町築地,志摩市,磯部町築地,24215032000,9.471243291520002,136.7652113814449,34.38237525969307,115.0,0.0,856.0,84.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町内瀬,南伊勢町,内瀬,24472006000,9.90075602772183,136.6612016929546,34.350062163875876,273.0,0.0,0.0,0.0,51.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町迫間,志摩市,磯部町迫間,24215030000,9.945182047383408,136.80327231459913,34.375623691521696,44.0,0.0,166.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,0.0,0.0,0.0,381.0,51.0,53.0,201.0,0.0,0.0
志摩市磯部町坂崎,志摩市,磯部町坂崎,24215037000,10.148273424333897,136.83682668232223,34.35355694710745,0.0,246.0,56.0,135.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,76.0,0.0,0.0,0.0
志摩市磯部町下之郷,志摩市,磯部町下之郷,24215027000,10.377522916091827,136.817011600208,34.37274603095538,0.0,51.0,368.0,144.0,315.0,477.0,0.0,0.0,86.0,135.0,69.0,0.0,0.0,0.0,0.0,182.0,0.0,239.0,466.0,0.0,0.0
志摩市磯部町上之郷,志摩市,磯部町上之郷,24215026000,11.004148798179036,136.8114627645708,34.382679899000756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市磯部町恵利原,志摩市,磯部町恵利原,24215029000,11.533990812856096,136.78427801320618,34.39780007285105,0.0,0.0,73.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,395.0,0.0,647.0,0.0,0.0,0.0
南伊勢町伊勢路,南伊勢町,伊勢路,24472007000,11.803311327307036,136.6589772833253,34.37412665477614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町国府,志摩市,阿児町国府,24215006000,11.86377687600857,136.86770510002097,34.34016873503811,494.0,918.0,462.0,1106.0,381.0,38.0,43.0,0.0,415.0,45.0,45.0,210.0,49.0,0.0,140.0,84.0,89.0,0.0,0.0,212.0,0.0
志摩市磯部町三ケ所,志摩市,磯部町三ケ所,24215039000,11.986993837765256,136.85888790441206,34.35632893360098,0.0,191.0,115.0,75.0,75.0,0.0,0.0,0.0,104.0,0.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊勢町斉田,南伊勢町,斉田,24472008000,12.886339852734757,136.62630833767076,34.354667403687706,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
志摩市阿児町甲賀,志摩市,阿児町甲賀,24215005000,13.322599545238138,136.8923846154226,34.315807038737034,296.0,1451.0,851.0,692.0,252.0,0.0,0.0,0.0,98.0,744.0,140.0,454.0,0.0,0.0,159.0,0.0,99.0,0.0,0.0,49.0,0.0
