TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,おかむね医院,おかむらクリニック,三重県立志摩病院,伊勢志摩腎クリニック志摩分院,別當クリニック,医療法人日比クリニック,医療法人社団中瀬外科整形外科,医療法人(社団)医心会齋木内科,在宅・総合診療スマイルクリニック,宿田曽診療所,尾崎内科,志摩市休日夜間応急診療所,志摩市立国民健康保険浜島診療所,服部内科,林クリニック,池田ファミリークリニック,町立南伊勢病院,西岡記念セントラルクリニック,豊和病院,近藤医院,関岡クリニック,LON,LAT,dist_km,total_patients,town,town_norm,match_type
24472019000,南伊勢町,木谷,南伊勢町,木谷,南伊勢町木谷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,136.70389877884185,34.33057862026482,5.4761571616057525,415.0,南伊勢町木谷,南伊勢町木谷,code_in_car30
24472005000,南伊勢町,飯満,南伊勢町,飯満,南伊勢町飯満,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,136.71412138326846,34.33855812389043,5.50187111273637,49.0,南伊勢町飯満,南伊勢町飯満,code_in_car30
24215035000,志摩市,磯部町檜山,志摩市,磯部町檜山,志摩市磯部町檜山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.76401750250736,34.346775269579915,5.569354318082078,0.0,志摩市磯部町檜山,志摩市磯部町檜山,code_in_car30
24472017000,南伊勢町,神津佐,南伊勢町,神津佐,南伊勢町神津佐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,136.74090153149143,34.34954118762375,5.748225508713245,228.0,南伊勢町神津佐,南伊勢町神津佐,code_in_car30
24472015000,南伊勢町,宿浦,南伊勢町,宿浦,南伊勢町宿浦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,72.0,63.0,0.0,255.0,0.0,0.0,0.0,0.0,2212.0,0.0,0.0,0.0,0.0,57.0,0.0,1478.0,0.0,0.0,162.0,171.0,136.68663454511346,34.306928497466835,5.799876560645361,4470.0,南伊勢町宿浦,南伊勢町宿浦,code_in_car30
24215034000,志摩市,磯部町栗木広,志摩市,磯部町栗木広,志摩市磯部町栗木広,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.0,0.0,55.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.75658158930446,34.35542606718073,6.394499081029096,317.0,志摩市磯部町栗木広,志摩市磯部町栗木広,code_in_car30
24215002000,志摩市,阿児町神明,志摩市,阿児町神明,志摩市阿児町神明,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,2298.0,1656.0,148.0,60.0,143.0,136.0,1680.0,0.0,144.0,55.0,343.0,0.0,747.0,164.0,297.0,463.0,0.0,273.0,1080.0,51.0,136.81983586002343,34.30092500132454,6.522746417745601,9815.0,志摩市阿児町神明,志摩市阿児町神明,code_in_car30
24472004000,南伊勢町,中津浜浦,南伊勢町,中津浜浦,南伊勢町中津浜浦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,136.68691503347353,34.330590100319554,6.732316925498769,183.0,南伊勢町中津浜浦,南伊勢町中津浜浦,code_in_car30
24215003000,志摩市,阿児町立神,志摩市,阿児町立神,志摩市阿児町立神,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,443.0,276.0,0.0,0.0,0.0,73.0,308.0,50.0,0.0,0.0,235.0,0.0,607.0,207.0,0.0,217.0,0.0,53.0,196.0,0.0,136.8303677833043,34.290047786325275,7.53963150804362,2714.0,志摩市阿児町立神,志摩市阿児町立神,code_in_car30
24215033000,志摩市,磯部町山原,志摩市,磯部町山原,志摩市磯部町山原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,450.0,136.7713246241821,34.36483223900384,7.682483490048198,952.0,志摩市磯部町山原,志摩市磯部町山原,code_in_car30
24215036000,志摩市,磯部町穴川,志摩市,磯部町穴川,志摩市磯部町穴川,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.0,95.0,248.0,197.0,0.0,64.0,0.0,429.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,71.0,0.0,0.0,74.0,304.0,0.0,136.80354660334874,34.35406798758194,7.9798081349632675,1666.0,志摩市磯部町穴川,志摩市磯部町穴川,code_in_car30
24215031000,志摩市,磯部町迫間,志摩市,磯部町迫間,志摩市磯部町迫間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,185.0,109.0,0.0,0.0,154.0,0.0,259.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,390.0,642.0,94.0,212.0,70.0,136.78868747216853,34.36288423098963,8.060332714719394,2172.0,志摩市磯部町迫間,志摩市磯部町迫間,code_in_car30
24472001000,南伊勢町,五ヶ所浦,南伊勢町,五ヶ所浦,南伊勢町五ヶ所浦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,138.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,6119.0,0.0,0.0,149.0,2759.0,136.69539538562128,34.358334608853,8.29137070484928,9461.0,南伊勢町五ヶ所浦,南伊勢町五ヶ所浦,code_in_car30
24472003000,南伊勢町,船越,南伊勢町,船越,南伊勢町船越,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,0.0,0.0,222.0,293.0,136.68135630251345,34.34927466509437,8.404685600334632,3878.0,南伊勢町船越,南伊勢町船越,code_in_car30
24472002000,南伊勢町,切原,南伊勢町,切原,南伊勢町切原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,3402.0,0.0,0.0,0.0,1523.0,136.71620245025528,34.37487136149911,9.031305212220788,5137.0,南伊勢町切原,南伊勢町切原,code_in_car30
24215032000,志摩市,磯部町築地,志摩市,磯部町築地,志摩市磯部町築地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,84.0,0.0,0.0,0.0,0.0,856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,115.0,0.0,0.0,99.0,0.0,136.7652113814449,34.38237525969307,9.471243291520002,1239.0,志摩市磯部町築地,志摩市磯部町築地,code_in_car30
24472006000,南伊勢町,内瀬,南伊勢町,内瀬,南伊勢町内瀬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,51.0,72.0,136.6612016929546,34.350062163875876,9.90075602772183,396.0,南伊勢町内瀬,南伊勢町内瀬,code_in_car30
24215030000,志摩市,磯部町迫間,志摩市,磯部町迫間,志摩市磯部町迫間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,0.0,0.0,51.0,0.0,381.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,172.0,0.0,44.0,201.0,0.0,41.0,0.0,136.80327231459913,34.375623691521696,9.945182047383408,1109.0,志摩市磯部町迫間,志摩市磯部町迫間,code_in_car30
24215037000,志摩市,磯部町坂崎,志摩市,磯部町坂崎,志摩市磯部町坂崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,246.0,135.0,0.0,0.0,44.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,136.83682668232223,34.35355694710745,10.148273424333897,596.0,志摩市磯部町坂崎,志摩市磯部町坂崎,code_in_car30
24215027000,志摩市,磯部町下之郷,志摩市,磯部町下之郷,志摩市磯部町下之郷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.0,51.0,144.0,0.0,0.0,182.0,0.0,368.0,0.0,0.0,0.0,86.0,0.0,0.0,69.0,0.0,0.0,466.0,135.0,315.0,477.0,136.817011600208,34.37274603095538,10.377522916091827,2532.0,志摩市磯部町下之郷,志摩市磯部町下之郷,code_in_car30
24215026000,志摩市,磯部町上之郷,志摩市,磯部町上之郷,志摩市磯部町上之郷,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.8114627645708,34.382679899000756,11.004148798179036,0.0,志摩市磯部町上之郷,志摩市磯部町上之郷,code_in_car30
24215029000,志摩市,磯部町恵利原,志摩市,磯部町恵利原,志摩市磯部町恵利原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.0,0.0,75.0,0.0,0.0,395.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.78427801320618,34.39780007285105,11.533990812856096,1190.0,志摩市磯部町恵利原,志摩市磯部町恵利原,code_in_car30
24472007000,南伊勢町,伊勢路,南伊勢町,伊勢路,南伊勢町伊勢路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.6589772833253,34.37412665477614,11.803311327307036,0.0,南伊勢町伊勢路,南伊勢町伊勢路,code_in_car30
24215006000,志摩市,阿児町国府,志摩市,阿児町国府,志摩市阿児町国府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,918.0,1106.0,89.0,43.0,84.0,212.0,462.0,0.0,0.0,0.0,415.0,49.0,210.0,45.0,140.0,494.0,0.0,45.0,381.0,38.0,136.86770510002097,34.34016873503811,11.86377687600857,4731.0,志摩市阿児町国府,志摩市阿児町国府,code_in_car30
24215039000,志摩市,磯部町三ケ所,志摩市,磯部町三ケ所,志摩市磯部町三ケ所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,191.0,75.0,0.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,104.0,0.0,646.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,136.85888790441206,34.35632893360098,11.986993837765256,1206.0,志摩市磯部町三ケ所,志摩市磯部町三ケ所,code_in_car30
24472008000,南伊勢町,斉田,南伊勢町,斉田,南伊勢町斉田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474.0,0.0,0.0,0.0,0.0,136.62630833767076,34.354667403687706,12.886339852734757,474.0,南伊勢町斉田,南伊勢町斉田,code_in_car30
24215005000,志摩市,阿児町甲賀,志摩市,阿児町甲賀,志摩市阿児町甲賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1451.0,692.0,99.0,0.0,0.0,49.0,851.0,0.0,0.0,0.0,98.0,0.0,454.0,140.0,159.0,296.0,0.0,744.0,252.0,0.0,136.8923846154226,34.315807038737034,13.322599545238138,5285.0,志摩市阿児町甲賀,志摩市阿児町甲賀,code_in_car30
