TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,町丁字コード6桁,地域階層レベル,総数,医療需要者数合計,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,5,男女,秘匿処理,秘匿先情報,合算地域,年齢「不詳」,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）20～69歳,-,-.1,かとうクリニック,かわづクリニック,のぞみ記念 下田循環器・腎臓クリニック,はらクリニック,ひがしなかクリニック,上の山鎮目クリニック,下田メディカルセンター,下田メディカルセンター附属みなとクリニック,中江医院,佐倉医院,佐藤医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 上河津診療所,公益社団法人地域医療振興協会 伊豆下田診療所,公益社団法人地域医療振興協会 伊豆今井浜病院,医療法人慈愛会 石田医院,医療法人社団健育会西伊豆健育会病院,医療法人社団康心会 康心会伊豆東部病院,医療法人社団桑寿会 下田温泉病院,医療法人社団辰五会 ふれあい南伊豆ホスピタル,小川クリニック,河井医院,白津医院,臼井医院,菊池医院,鈴木クリニック,飯島医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
22219047002,下田市,荒増,下田市,荒増,下田市荒増,静岡県,下田市,荒増,,下田市荒増,22219.0,47002.0,47002.0,4.0,78,5.174459999999999,2.0,0.0,2.0,6.0,0.0,0.0,4.0,3.0,9.0,5.0,3.0,3.0,6.0,9.0,10.0,3.0,3.0,6.0,3.0,1.0,0.0,0.0758,0.0,0.0736,0.14754,0.0,0.0,0.12804,0.1005899999999999,0.31509,0.1956,0.13185,0.17253,0.3792,0.72909,0.9395,0.33591,0.3603,0.68898,0.3006299999999999,0.10021,0.0,4360.0,総数,,,,-,4,39,35,16,10,42,4381,56.66667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.9376431678621,34.71778135262826,0.8568936243283058,0.0,下田市荒増,下田市荒増,code_in_car30
22219043000,下田市,椎原,下田市,椎原,下田市椎原,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,73.0,138.92020791504152,34.72450333314504,0.9674875477557535,291.0,下田市椎原,下田市椎原,code_in_car30
22219048000,下田市,箕作,下田市,箕作,下田市箕作,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,95.0,0.0,0.0,265.0,0.0,891.0,0.0,0.0,0.0,0.0,1198.0,0.0,0.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,0.0,0.0,138.93798158856356,34.729598062318836,1.0065989926254721,3286.0,下田市箕作,下田市箕作,code_in_car30
22219042000,下田市,宇土金,下田市,宇土金,下田市宇土金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1255.0,0.0,0.0,141.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.92359070503846,34.732257329813315,1.2246286924237155,1541.0,下田市宇土金,下田市宇土金,code_in_car30
22219047001,下田市,相玉,下田市,相玉,下田市相玉,静岡県,下田市,相玉,,下田市相玉,22219.0,47001.0,47001.0,4.0,137,9.50359,2.0,5.0,5.0,4.0,3.0,4.0,8.0,4.0,4.0,4.0,14.0,4.0,14.0,16.0,13.0,11.0,10.0,9.0,2.0,1.0,0.0,0.0758,0.2598,0.184,0.09836,0.07101,0.11348,0.25608,0.13412,0.14004,0.15648,0.6153000000000001,0.23004,0.8848,1.29616,1.2213500000000002,1.23167,1.201,1.03347,0.20042,0.10021,0.0,4359.0,総数,,,,-,12,63,62,33,12,75,7651,56.34672,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0.0,201.0,0.0,138.918253867565,34.7143927778382,1.471099396555353,1100.0,下田市相玉,下田市相玉,code_in_car30
22219032000,下田市,蓮台寺,下田市,蓮台寺,下田市蓮台寺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0,0.0,0.0,0.0,136.0,0.0,384.0,0.0,0.0,234.0,0.0,77.0,237.0,606.0,65.0,0.0,65.0,0.0,0.0,0.0,0.0,154.0,0.0,85.0,274.0,168.0,0.0,138.92733370256897,34.70249799786451,2.2854001563030493,2649.0,下田市蓮台寺,下田市蓮台寺,code_in_car30
22219031000,下田市,河内,下田市,河内,下田市河内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1098.0,388.0,712.0,0.0,0.0,125.0,83.0,187.0,54.0,417.0,792.0,0.0,52.0,63.0,0.0,0.0,0.0,1059.0,0.0,523.0,127.0,976.0,104.0,138.9447027596351,34.705248862120285,2.3454247804810686,6760.0,下田市河内,下田市河内,code_in_car30
22219049000,下田市,落合,下田市,落合,下田市落合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,93.0,0.0,47.0,0.0,212.0,0.0,0.0,19.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,138.9566891295311,34.725498505950185,2.401501992309576,511.0,下田市落合,下田市落合,code_in_car30
22219034000,下田市,大沢,下田市,大沢,下田市大沢,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.91487648429867,34.702977590512816,2.6385694472541137,0.0,下田市大沢,下田市大沢,code_in_car30
22219040001,下田市,須原一区,下田市,須原一区,下田市須原一区,静岡県,下田市,須原,一区,下田市須原一区,22219.0,40001.0,40001.0,4.0,165,11.941509999999996,2.0,7.0,6.0,8.0,4.0,1.0,3.0,3.0,6.0,15.0,11.0,4.0,7.0,22.0,21.0,18.0,11.0,8.0,6.0,2.0,0.0,0.0758,0.36372,0.2208,0.19672,0.09468,0.02837,0.0960299999999999,0.1005899999999999,0.21006,0.5868,0.48345,0.23004,0.4424,1.78222,1.97295,2.01546,1.3211,0.91864,0.6012599999999999,0.20042,0.0,4351.0,総数,,,,-,15,62,88,45,16,76,9479,57.94848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.93969631057493,34.74818527548922,2.934468738987052,0.0,下田市須原一区,下田市須原一区,code_in_car30
