town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,医療法人社団健育会西伊豆健育会病院,下田メディカルセンター,河井医院,ひがしなかクリニック,公益社団法人地域医療振興協会 伊豆今井浜病院,佐倉医院,医療法人慈愛会 石田医院,上の山鎮目クリニック,臼井医院,中江医院,菊池医院,公益社団法人地域医療振興協会 いなずさ診療所,公益社団法人地域医療振興協会 伊豆下田診療所,鈴木クリニック,はらクリニック,医療法人社団辰五会 ふれあい南伊豆ホスピタル,公益社団法人地域医療振興協会 上河津診療所,のぞみ記念 下田循環器・腎臓クリニック,医療法人社団康心会 康心会伊豆東部病院,かわづクリニック,佐藤医院,白津医院,飯島医院,小川クリニック,医療法人社団桑寿会 下田温泉病院,下田メディカルセンター附属みなとクリニック,かとうクリニック
下田市東中,下田市,東中,00222190380,4.1131457034353005,138.94574869432597,34.68804125746886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町縄地,河津町,縄地,00223020090,4.216027084385343,138.97648406469798,34.72685172171289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市須原二区,下田市,須原二区,22219040002,4.237093799476738,138.91358652072233,34.758319642537245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,00222190730,4.239591287002171,138.97526407569057,34.71256332776926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町逆川,河津町,逆川,00223020050,4.271543447340888,138.95517393492557,34.755556614840756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷三丁目,下田市,西本郷三丁目,22219024003,4.301683195878201,138.93939051007678,34.68486821301736,50.0,129.0,205.0,246.0,0.0,0.0,0.0,0.0,1314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷二丁目,下田市,西本郷二丁目,22219024002,4.3370625061837975,138.94319161173854,34.68526730369039,0.0,465.0,205.0,306.0,112.0,0.0,0.0,0.0,179.0,0.0,174.0,61.0,74.0,0.0,169.0,0.0,0.0,0.0,58.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
河津町笹原,河津町,笹原,00223020020,4.407658684446837,138.9751722506162,34.73803349001124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷二丁目,下田市,東本郷二丁目,22219022002,4.492000596655666,138.9456556827099,34.68441780190783,99.0,209.0,253.0,516.0,40.0,0.0,0.0,122.0,60.0,0.0,88.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市敷根,下田市,敷根,00222190210,4.597825595491554,138.93575574067614,34.68174226463278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016001,4.615066374159362,138.92813102629066,34.681419906639086,255.0,891.0,516.0,169.0,832.0,1143.0,0.0,0.0,123.0,0.0,178.0,0.0,143.0,144.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市西本郷一丁目,下田市,西本郷一丁目,22219024001,4.733406046229575,138.94288754201767,34.681520346515626,0.0,667.0,0.0,0.0,105.0,0.0,0.0,205.0,102.0,0.0,125.0,0.0,257.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市中,下田市,中,22219036000,4.80676514742373,138.95095283542167,34.68301326943528,51.0,539.0,189.0,271.0,594.0,220.0,0.0,216.0,31.0,31.0,49.0,181.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市白浜,下田市,白浜,00222190710,4.9164637184244,138.96542917502885,34.68917784571961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市東本郷一丁目,下田市,東本郷一丁目,22219022001,4.94774604775538,138.9457357406586,34.68015184674674,0.0,396.0,0.0,28.0,29.0,0.0,0.0,92.0,110.0,0.0,68.0,0.0,80.0,0.0,38.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
河津町谷津,河津町,谷津,00223020080,5.056995809853912,138.9804581933101,34.74261907229504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目（旧岡方村）,下田市,六丁目（旧岡方村）,22219016002,5.133828669069447,138.9279490189307,34.676756369444,0.0,295.0,57.0,0.0,0.0,168.0,0.0,452.0,59.0,0.0,127.0,38.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市一丁目,下田市,一丁目,00222190110,5.263994481359585,138.94397371192036,34.67682724590667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市大賀茂,下田市,大賀茂,00222190520,5.280568659096435,138.90574728338188,34.680007832962325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市六丁目,下田市,六丁目,22219016000,5.375020915474067,138.93333565453526,34.67458763535051,85.0,3810.0,1814.0,1264.0,972.0,427.0,0.0,985.0,98.0,0.0,90.0,0.0,95.0,97.0,95.0,197.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,00223020070,5.4254364546503435,138.97689190958886,34.7534350833644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市四丁目,下田市,四丁目,00222190140,5.437516032301342,138.9409060891876,34.674712215443115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町小鍋,河津町,小鍋,00223020170,5.48849480529613,138.93794537448784,34.771863648152596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市二丁目,下田市,二丁目,00222190120,5.568698849754709,138.94389102871364,34.67399919602186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市武ガ浜,下田市,武ガ浜,00222190610,5.660463841581531,138.94802235029104,34.67402365937963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020210,5.665973891014982,138.9610509486252,34.76726616236452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市加増野,下田市,加増野,00222190460,5.684623077380793,138.8684346769966,34.721367694098724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町峰,河津町,峰,00223020060,5.870725540556493,138.97377061199163,34.76198248701687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市柿崎,下田市,柿崎,00222190620,5.921953572321738,138.95518394151935,34.67359899430392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市五丁目,下田市,五丁目,00222190150,6.061925378711036,138.936728600152,34.66859091851725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市三丁目,下田市,三丁目,00222190130,6.172077499279336,138.9449211680365,34.66862949391804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020220,6.2923290065503945,138.9675168235809,34.77064892710479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南伊豆町一條,南伊豆町,一條,00223040110,6.389987902546633,138.87406754355248,34.689080723709175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下田市柿崎,下田市,柿崎,00222190640,6.405484518089349,138.97084254268466,34.675713258562006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町川津筏場,河津町,川津筏場,00223020230,6.488350684104089,138.97539833095075,34.76815390048334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町大鍋,河津町,大鍋,00223020160,6.57481462042568,138.92301123709606,34.78167258900191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町湯ケ野,河津町,湯ケ野,00223020180,6.6011732414745445,138.95555686207206,34.778588089334235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町下佐ケ野,河津町,下佐ケ野,00223020190,6.686923386990935,138.96164357089077,34.77733638416524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町浜,河津町,浜,00223020010,6.692483013075746,138.99771152411986,34.746984938544394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町梨本,河津町,梨本,00223020150,7.015873255196307,138.9482323658616,34.784285041683624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
河津町田中,河津町,田中,00223020030,7.049681652330381,138.99252083969478,34.76070328408381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
松崎町池代,松崎町,池代,00223050140,7.269168561669685,138.8681714468844,34.76339006639227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
