town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,十勝いけだ地域医療センター,浦幌町立診療所,医療法人 蒼生 くりばやし医院,医療法人社団 藤田クリニック,医療法人社団 景山医院,豊頃町立大津診療所,豊頃町立豊頃医院,池田桜通診療所,駒畠診療所,糠内診療所,緑町クリニック
浦幌町住吉町二区,浦幌町,住吉町二区,01649014002,11.034223497643179,143.64763357301987,42.80644115915865,0.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町長節長節二,豊頃町,長節長節二,01645015001,11.10402007022147,143.5464436474595,42.69759139624102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町栄町,浦幌町,栄町,01649010002,11.456064953161356,143.65224363415467,42.80974208240091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町栄町,浦幌町,栄町,01649010001,11.60287785613636,143.65411181853247,42.80949704812355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町住吉町一区,浦幌町,住吉町一区,01649014001,11.663801339523502,143.6556416881296,42.80479971433352,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町,浦幌町,宝町,01649018003,11.708781795575076,143.65404753451105,42.81535186148662,0.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町南町二区,浦幌町,南町二区,01649013002,11.786975057386355,143.65726370291003,42.803973686538384,18.0,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町一区,浦幌町,宝町一区,01649018001,11.852396602737842,143.6561800412599,42.81406957075673,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町宝町,浦幌町,宝町,01649018002,11.93769019264896,143.65674704408542,42.81594539177906,40.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北町二区,浦幌町,北町二区,01649017002,12.069251931738087,143.65842826604828,42.815815065601576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町東山町,浦幌町,東山町,01649008002,12.076813400498084,143.66023733893803,42.80806802839448,0.0,335.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
浦幌町北栄一区,浦幌町,北栄一区,01649016001,12.177373778991347,143.65774758632068,42.82230273128868,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町南町一区,浦幌町,南町一区,01649013001,12.272865656528033,143.66323623371406,42.80402553245151,0.0,466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北栄二区,浦幌町,北栄二区,01649016002,12.492854880648503,143.66173664121234,42.82232064747027,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町北町一区,浦幌町,北町一区,01649017001,12.50604802721887,143.66321462358135,42.81822820458583,0.0,281.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
浦幌町北町三区,浦幌町,北町三区,01649017003,12.530733893777692,143.66448991995455,42.814650620747734,31.0,418.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
浦幌町東山町,浦幌町,東山町,01649008001,12.852302908726111,143.66966026098865,42.808991602596585,53.0,514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
豊頃町二宮小川,豊頃町,二宮小川,01645009003,14.039726870523465,143.40726761673142,42.695108635649525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
池田町字大通一丁目,池田町,字大通一丁目,01644033001,14.941226841402434,143.4516599015705,42.92097878793096,290.0,0.0,0.0,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
