TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村名,大字・町名,字・丁目名,町丁目名,市区町村コード,町丁字コード,地域階層レベル,総数,0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,医療法人 蒼生 くりばやし医院,医療法人社団 景山医院,医療法人社団 藤田クリニック,十勝いけだ地域医療センター,池田桜通診療所,浦幌町立診療所,糠内診療所,緑町クリニック,豊頃町立大津診療所,豊頃町立豊頃医院,駒畠診療所,LON,LAT,dist_km,total_patients,town,town_norm,match_type
01645016201,豊頃町,育素多育素多,豊頃町,育素多育素多,豊頃町育素多育素多,北海道,豊頃町,育素多,育素多,豊頃町育素多育素多,1645,16201,4,40.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,2.0,5.0,6.0,4.0,1.0,1.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.50095843663604,42.84196343187806,5.378964563408721,94.0,豊頃町育素多育素多,豊頃町育素多育素多,code_in_car30
01645019003,豊頃町,礼文内礼文内三,豊頃町,礼文内礼文内三,豊頃町礼文内礼文内三,北海道,豊頃町,礼文内,礼文内三,豊頃町礼文内礼文内三,1645,19003,4,30.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,5.0,4.0,1.0,3.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,143.53811705850023,42.84484025864693,5.954866725980641,96.0,豊頃町礼文内礼文内三,豊頃町礼文内礼文内三,code_in_car30
01645016102,豊頃町,北栄新星,豊頃町,北栄新星,豊頃町北栄新星,北海道,豊頃町,北栄,新星,豊頃町北栄新星,1645,16102,4,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.48373723780287,42.84370159509178,5.985913869685522,0.0,豊頃町北栄新星,豊頃町北栄新星,code_in_car30
01645019001,豊頃町,礼文内礼文内一,豊頃町,礼文内礼文内一,豊頃町礼文内礼文内一,北海道,豊頃町,礼文内,礼文内一,豊頃町礼文内礼文内一,1645,19001,4,28.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,5.0,5.0,5.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,14.0,0.0,0.0,0.0,62.0,0.0,0.0,143.51259953329694,42.85151967273364,6.345641988386508,162.0,豊頃町礼文内礼文内一,豊頃町礼文内礼文内一,code_in_car30
01645009006,豊頃町,二宮石神二,豊頃町,二宮石神二,豊頃町二宮石神二,北海道,豊頃町,二宮,石神二,豊頃町二宮石神二,1645,9006,4,45.0,2.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,143.43808551466302,42.77699950696538,6.4436101566116335,22.0,豊頃町二宮石神二,豊頃町二宮石神二,code_in_car30
01645007001,豊頃町,礼作別仁徳,豊頃町,礼作別仁徳,豊頃町礼作別仁徳,北海道,豊頃町,礼作別,仁徳,豊頃町礼作別仁徳,1645,7001,4,23.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.44176639069624,42.828860147806594,6.982771705253961,0.0,豊頃町礼作別仁徳,豊頃町礼作別仁徳,code_in_car30
01645008002,豊頃町,農野牛保栄,豊頃町,農野牛保栄,豊頃町農野牛保栄,北海道,豊頃町,農野牛,保栄,豊頃町農野牛保栄,1645,8002,4,20.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.4262951355512,42.802562419073865,7.161996060327104,0.0,豊頃町農野牛保栄,豊頃町農野牛保栄,code_in_car30
01649029001,浦幌町,吉野一区,浦幌町,吉野一区,浦幌町吉野一区,北海道,浦幌町,吉野,一区,浦幌町吉野一区,1649,29001,4,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,7.0,1.0,3.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.59780162918923,42.76729711203171,7.52271798132534,0.0,浦幌町吉野一区,浦幌町吉野一区,code_in_car30
01645009007,豊頃町,二宮上石神,豊頃町,二宮上石神,豊頃町二宮上石神,北海道,豊頃町,二宮,上石神,豊頃町二宮上石神,1645,9007,4,24.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.42598852497798,42.76428100183167,7.882022792262342,15.0,豊頃町二宮上石神,豊頃町二宮上石神,code_in_car30
01649029002,浦幌町,吉野二区,浦幌町,吉野二区,浦幌町吉野二区,北海道,浦幌町,吉野,二区,浦幌町吉野二区,1649,29002,4,30.0,1.0,0.0,0.0,3.0,1.0,6.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,8.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.60690613091984,42.77245385752087,8.015189929777081,0.0,浦幌町吉野二区,浦幌町吉野二区,code_in_car30
