town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,善ファミリークリニック,小松循環器科・内科,秦野駅南口診療所,医療法人杏林会 八木病院,医療法人社団 仁輪会 くず葉台病院,横田整形外科,宮野内科・小児科医院,くまざわ脳神経・内科クリニック,秦野寿町クリニック,こいけクリニック,医療法人 _友会 白_医院,なかいファミリークリニック,安部内科胃腸科クリニック,南足柄クリニック,医療法人邦友会 小田原循環器病院,南が丘クリニック,秦野メディカルクリニック,渋沢内科クリニック,小泉クリニック,医療法人社団 村田医院,螢田診療所,医療法人社団 安寧会 川上医院,川口医院,医療法人社団慈邦会 石川医院,とうめい厚木クリニック,医療法人社団 翠明会 あおば診療所,二宮胃腸内科クリニック,まえかわクリニック,マナクリニック,城島医院,渡辺消化器科クリニック,笹尾内科,みやうち内科糖尿病クリニック,医療生協かながわ生活協同組合 おだわら診療所,大秦野内科クリニック,まごころ内科整形外科クリニック,斉藤医院,大内病院,医療法人社団 奥津医院,吉邑クリニック,一般社団法人秦野伊勢原医師会 秦野市休日夜間急患診療所,足柄上地区休日急患診療所,秦野北クリニック,医療法人社団 富田医院,開成駅光クリニック,りゅう医院,足柄療護園診療所,東名厚木メディカルサテライトクリニック,いしぐろ整形外科,鈴張町クリニック,みかんクリニック,もてぎクリニック,医療法人社団 武尾医院,鈴木内科医院,医療法人社団 五常会 鶴巻メンタルクリニック,こうの内科クリニック,はたの渋沢クリニック,大井町クリニック,山北中央診療所,山北町立山北診療所
南足柄市班目,南足柄市,班目,14217015000,6.449564136707608,139.10470168602632,35.34757268963406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
山北町向原,山北町,向原,14364002000,6.457203075843069,139.10751608253963,35.37044522615788,204.0,48.0,0.0,0.0,0.0,67.0,112.0,97.0,0.0,0.0,561.0,93.0,0.0,83.0,121.0,0.0,0.0,0.0,197.0,213.0,43.0,101.0,0.0,298.0,0.0,0.0,0.0,152.0,91.0,0.0,122.0,0.0,0.0,0.0,0.0,243.0,100.0,47.0,534.0,108.0,47.0,38.0,0.0,46.0,0.0,0.0,87.0,0.0,0.0,188.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,683.0,83.0
南足柄市雨坪,南足柄市,雨坪,14217006000,6.632545803825487,139.09163595265693,35.325148508116435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市福泉,南足柄市,福泉,14217005000,6.719810349610693,139.09445786865112,35.326669603750226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市矢倉沢,南足柄市,矢倉沢,14217001001,6.864990697109166,139.02651042026696,35.30331806981334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市怒田,南足柄市,怒田,14217014016,6.865099276762555,139.0992624790512,35.329771255188476,42.0,74.0,0.0,0.0,0.0,0.0,46.0,0.0,112.0,0.0,180.0,43.0,0.0,1118.0,45.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,407.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,438.0,160.0,0.0,0.0,125.0,0.0,0.0,0.0,53.0,168.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,98.0
開成町岡野,開成町,岡野,14366001000,7.073506106088401,139.10981521344448,35.34239515692351,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,356.0,0.0,0.0,114.0,28.0,0.0,0.0,0.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,104.0,0.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市広町,南足柄市,広町,14217009000,7.183595935110019,139.07207884431233,35.30670730757469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
南足柄市千津島,南足柄市,千津島,14217017000,7.209487781164942,139.1088748619127,35.33736266648777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
開成町金井島,開成町,金井島,14366002000,7.5158180369634096,139.11664535739305,35.34674861030723,141.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,1662.0,0.0,0.0,69.0,153.0,0.0,0.0,0.0,462.0,624.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
