town_name_show,CITY_NAME_from_master,S_NAME_from_master,TOWN_CODE_11,dist_km,LON,LAT,ふじい内科クリニック,網代診療所,のだ医院,野口整形外科内科医院,まくわクリニック,岐北クリニック,赤坂あきたクリニック,なかしま医院,みながわ内科・循環器科クリニック,梅田クリニック,えさきクリニック,小林医院,堀部クリニック,さぎ山クリニック,石黒クリニック,しま医院,北方ひまわりクリニック,東堀クリニック,サンシャインM&Dクリニック,またまるこどもアレルギークリニック,かわごえクリニック,国枝医院 本巣市,むらせファミリークリニック,こじま内科クリニック,鳥澤医院,野原クリニック,医療法人和光会 山田病院,青木内科・眼科,鳥沢クリニック,大久保医院,いのうえクリニック,おのぎクリニック,揖斐川町春日診療所,福富医院,高木クリニック,小森内科クリニック,黒川胃腸科外科クリニック,医療法人社団誠広会 平野総合病院,医療法人幸仁会 白木医院,宇土医院,たしろクリニック,長瀬診療所,なわ医院・乳腺クリニック,三輪クリニック,かさい内科クリニック,北方在宅クリニック,河田医院,クリニック ラポール,鹿野クリニック,医療法人若園医院,糸貫内科クリニック,立山クリニック,野々村医院,谷汲中央診療所,医療法人社団橘会 新生病院,いかわクリニック,北方医院,岐阜大学医学部附属病院,岐阜清流病院,国枝医院 揖斐郡大野町
揖斐川町谷汲徳積,揖斐川町,谷汲徳積,21401032000,0.40544774922462035,136.61344779412008,35.52926519123889,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲名礼,揖斐川町,谷汲名礼,21401031000,1.90278913349575,136.58930779856232,35.52532997132846,51.0,0.0,51.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲長瀬,揖斐川町,谷汲長瀬,21401035000,2.2760924447195645,136.63471154745605,35.52188217294978,0.0,58.0,0.0,223.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,553.0,0.0,0.0,0.0,71.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,53.0,0.0
揖斐川町谷汲大洞,揖斐川町,谷汲大洞,21401030000,2.4324433430336216,136.61495342484156,35.505157232116126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲深坂,揖斐川町,谷汲深坂,21401029000,2.780445402943293,136.60166668267897,35.502692212192805,0.0,0.0,67.0,0.0,37.0,0.0,0.0,89.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,0.0,0.0,0.0,0.0,0.0
本巣市神海,本巣市,神海,21218006001,3.450919021062992,136.64493482839563,35.53962930020011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲岐礼,揖斐川町,谷汲岐礼,21401034000,3.7583363614064136,136.6019618992213,35.55981460062248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町小谷,揖斐川町,小谷,21401008000,4.159552945673219,136.58494580271775,35.49548033640397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲木曽屋,揖斐川町,谷汲木曽屋,21401037000,4.200369613290867,136.56712382637724,35.54063749008913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
揖斐川町谷汲有鳥,揖斐川町,谷汲有鳥,21401036000,4.26386620147491,136.563223677314,35.524560631985906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
