TOWN_CODE_11,CITY_NAME,S_NAME,CITY_NAME_from_master,S_NAME_from_master,town_name_show,都道府県名,市区町村コード,市区町村名,町丁字コード,大字・町名,字・丁目名,町丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,0～4歳_医療需要者数,5～9歳_医療需要者数,10～14歳_医療需要者数,15～19歳_医療需要者数,20～24歳_医療需要者数,25～29歳_医療需要者数,30～34歳_医療需要者数,35～39歳_医療需要者数,40～44歳_医療需要者数,45～49歳_医療需要者数,50～54歳_医療需要者数,55～59歳_医療需要者数,60～64歳_医療需要者数,65～69歳_医療需要者数,70～74歳_医療需要者数,75～79歳_医療需要者数,80～84歳_医療需要者数,85～89歳_医療需要者数,90～94歳_医療需要者数,95～99歳_医療需要者数,100歳以上_医療需要者数,医療需要者数合計,こみ内科クリニック,やすらぎ在宅診療所,中島内科・循環器科クリニック,二俣尾診療所,医療法人社団 三清会 青梅かすみ台クリニック,医療法人社団 三秀会 青梅三慶病院,医療法人社団 上長渕医会 井上医院,医療法人社団 不二会 野村医院,医療法人社団 久遠会 友田クリニック,医療法人社団 亀生会 丹生クリニック,医療法人社団 厚心会 笹本医院,医療法人社団 向日葵清心会 ひまわり在宅診療所,医療法人社団 平岡会 青梅医院,医療法人社団 幸悠会 鈴木慈光病院,医療法人社団 救人会 東青梅診療所,医療法人社団 東仁会 ひがし青梅腎クリニック,医療法人社団 東仁会 青梅腎クリニック,医療法人社団 沢医会 沢井診療所,医療法人社団 瀧川メンタルクリニック,医療法人社団 真胤会 馬場内科クリニック,医療法人社団 睦和会 下奥多摩医院,医療法人社団 長生会 小曾木診療所,医療法人社団 長生会 成木長生病院,医療法人財団 利定会 大久野病院,医療法人財団 利定会 進藤医院,古里診療所,土田医院,大河原森本医院,奥多摩町 国民健康保険奥多摩病院日原診療所,奥多摩町国民健康保険 奥多摩病院,小林医院,川辺医院,明星会医院,林レディースクリニック,梅郷診療所,河辺皮膚科メンタルクリニック,河辺駅前クリニック,田中医院,社会福祉法人 双葉会診療所,荒巻医院,青梅市休日夜間診療所,青梅市立総合病院,青梅整形外科内科,馬場医院,LON,LAT,dist_km,total_patients,town,town_norm,match_type
13205037002,青梅市,御岳二丁目,青梅市,御岳二丁目,青梅市御岳二丁目,東京都,13205.0,青梅市,37002.0,御岳,２丁目,東京都青梅市御岳２丁目,125,-,2,2,3,2,3,5,5,7,7,2,6,14,14,12,15,16,6,3,-,1,,0.1,0.07,0.07,0.05,0.09,0.16,0.17,0.25,0.27,0.09,0.35,0.88,1.13,1.13,1.68,1.92,0.69,0.3,,0.1,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.16508146742729,35.79045626616482,3.9965867271883995,157.0,青梅市御岳二丁目,青梅市御岳二丁目,code_in_car30
13308002003,奥多摩町,氷川,奥多摩町,氷川,奥多摩町氷川,東京都,13308.0,西多摩郡奥多摩町,2003.0,氷川,,東京都西多摩郡奥多摩町氷川,183,1,2,4,2,7,7,1,7,8,12,10,16,9,9,31,29,17,6,4,1,-,0.04,0.1,0.15,0.05,0.17,0.2,0.03,0.23,0.28,0.47,0.44,0.92,0.57,0.73,2.91,3.25,2.04,0.69,0.4,0.1,,13.77,0.0,0.0,0.0,0.0,0.0,115.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.10039662819057,35.802797617478056,4.08841035105424,898.0,奥多摩町氷川,奥多摩町氷川,code_in_car30
13205038000,青梅市,御岳山,青梅市,御岳山,青梅市御岳山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.14779727148388,35.78193537828779,4.3141696332515265,0.0,青梅市御岳山,青梅市御岳山,code_in_car30
13308002001,奥多摩町,氷川,奥多摩町,氷川,奥多摩町氷川,東京都,13308.0,西多摩郡奥多摩町,2001.0,氷川,,東京都西多摩郡奥多摩町氷川,406,12,13,13,10,10,10,16,23,28,23,16,24,43,56,37,26,18,18,10,-,-,0.45,0.68,0.48,0.25,0.24,0.28,0.51,0.77,0.98,0.9,0.7,1.38,2.72,4.54,3.48,2.91,2.16,2.07,1.0,,,26.5,130.0,77.0,0.0,0.0,0.0,0.0,41.0,37.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,274.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,218.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,45.0,0.0,139.09509103970734,35.840004053551645,4.629705741319645,1903.0,奥多摩町氷川,奥多摩町氷川,code_in_car30
13205037001,青梅市,御岳一丁目,青梅市,御岳一丁目,青梅市御岳一丁目,東京都,13205.0,青梅市,37001.0,御岳,１丁目,東京都青梅市御岳１丁目,95,-,-,-,2,1,3,3,-,1,2,5,11,13,6,20,11,6,6,4,1,-,,,,0.05,0.02,0.09,0.1,,0.04,0.08,0.22,0.63,0.82,0.49,1.88,1.23,0.72,0.69,0.4,0.1,,7.56,177.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,18.0,53.0,0.0,0.0,0.0,0.0,0.0,117.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.18370818545108,35.79548239907475,4.786428694066049,513.0,青梅市御岳一丁目,青梅市御岳一丁目,code_in_car30
13205042007,青梅市,成木七丁目,青梅市,成木七丁目,青梅市成木七丁目,東京都,13205.0,青梅市,42007.0,成木,７丁目,東京都青梅市成木７丁目,160,2,3,1,6,10,3,5,3,4,9,9,12,16,15,23,13,11,13,1,-,1,0.08,0.16,0.04,0.15,0.24,0.09,0.16,0.1,0.14,0.35,0.4,0.69,1.01,1.22,2.16,1.46,1.32,1.49,0.1,,0.1,11.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.1927982612383,35.83816733534532,5.134927298987738,920.0,青梅市成木七丁目,青梅市成木七丁目,code_in_car30
13308002005,奥多摩町,氷川,奥多摩町,氷川,奥多摩町氷川,東京都,13308.0,西多摩郡奥多摩町,2005.0,氷川,,東京都西多摩郡奥多摩町氷川,329,7,11,20,10,9,9,7,12,17,20,28,25,26,30,27,24,27,17,3,-,-,0.27,0.57,0.74,0.25,0.21,0.26,0.22,0.4,0.6,0.78,1.23,1.44,1.64,2.43,2.54,2.69,3.24,1.95,0.3,,,21.76,0.0,185.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,253.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,78.0,0.0,139.08333368585787,35.81832950496664,5.140810938961072,1325.0,奥多摩町氷川,奥多摩町氷川,code_in_car30
13308002002,奥多摩町,氷川,奥多摩町,氷川,奥多摩町氷川,東京都,13308.0,西多摩郡奥多摩町,2002.0,氷川,,東京都西多摩郡奥多摩町氷川,329,7,1,2,10,7,4,8,8,12,19,8,11,31,39,46,36,35,22,17,5,-,0.27,0.05,0.07,0.25,0.17,0.11,0.26,0.27,0.42,0.74,0.35,0.63,1.96,3.16,4.32,4.03,4.2,2.53,1.7,0.5,,25.99,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.09426413012446,35.791856088662264,5.215961681054196,246.0,奥多摩町氷川,奥多摩町氷川,code_in_car30
13205034005,青梅市,二俣尾五丁目,青梅市,二俣尾五丁目,青梅市二俣尾五丁目,東京都,13205.0,青梅市,34005.0,二俣尾,５丁目,東京都青梅市二俣尾５丁目,229,2,6,8,11,6,12,6,11,12,12,15,11,24,26,23,14,14,11,4,1,-,0.08,0.31,0.29,0.27,0.14,0.34,0.19,0.37,0.42,0.47,0.66,0.63,1.52,2.11,2.16,1.57,1.68,1.26,0.4,0.1,,14.97,0.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.1981606478007,35.820394340067566,5.216905096462027,564.0,青梅市二俣尾五丁目,青梅市二俣尾五丁目,code_in_car30
13205035002,青梅市,沢井二丁目,青梅市,沢井二丁目,青梅市沢井二丁目,東京都,13205.0,青梅市,35002.0,沢井,２丁目,東京都青梅市沢井２丁目,279,3,5,10,13,13,6,10,7,13,15,21,23,23,30,25,19,20,17,3,3,-,0.11,0.26,0.37,0.32,0.31,0.17,0.32,0.23,0.46,0.59,0.92,1.32,1.45,2.43,2.35,2.13,2.4,1.95,0.3,0.3,,18.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,93.0,65.0,139.1960392881732,35.80673808629276,5.245941359125619,1573.0,青梅市沢井二丁目,青梅市沢井二丁目,code_in_car30
13205035001,青梅市,沢井一丁目,青梅市,沢井一丁目,青梅市沢井一丁目,東京都,13205.0,青梅市,35001.0,沢井,１丁目,東京都青梅市沢井１丁目,153,3,6,11,7,6,6,6,10,7,5,9,10,22,14,6,7,9,8,1,-,-,0.11,0.31,0.4,0.17,0.14,0.17,0.19,0.34,0.25,0.2,0.4,0.58,1.39,1.13,0.56,0.78,1.08,0.92,0.1,,,9.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.19825718468044,35.812127652829886,5.303407626633332,694.0,青梅市沢井一丁目,青梅市沢井一丁目,code_in_car30
13205033003,青梅市,柚木町三丁目,青梅市,柚木町三丁目,青梅市柚木町三丁目,東京都,13205.0,青梅市,33003.0,柚木町,３丁目,東京都青梅市柚木町３丁目,515,5,18,13,29,24,17,15,26,31,44,34,42,47,47,46,28,26,14,7,2,-,0.19,0.94,0.48,0.71,0.57,0.48,0.48,0.87,1.09,1.72,1.49,2.42,2.97,3.81,4.32,3.14,3.12,1.61,0.7,0.2,,31.31,31.0,0.0,63.0,332.0,0.0,111.0,247.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,39.0,237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,114.0,0.0,0.0,0.0,165.0,261.0,0.0,227.0,0.0,245.0,0.0,0.0,0.0,32.0,117.0,50.0,0.0,139.19774935591732,35.801239241177164,5.595294617863622,2384.0,青梅市柚木町三丁目,青梅市柚木町三丁目,code_in_car30
13308002004,奥多摩町,氷川,奥多摩町,氷川,奥多摩町氷川,東京都,13308.0,西多摩郡奥多摩町,2004.0,氷川,,東京都西多摩郡奥多摩町氷川,203,2,2,7,12,8,3,6,3,10,12,16,15,20,23,15,19,17,8,5,-,-,0.08,0.1,0.26,0.3,0.19,0.09,0.19,0.1,0.35,0.47,0.7,0.86,1.26,1.86,1.41,2.13,2.04,0.92,0.5,,,13.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.07881165384597,35.80793954425908,5.711033210953323,376.0,奥多摩町氷川,奥多摩町氷川,code_in_car30
13205033002,青梅市,柚木町二丁目,青梅市,柚木町二丁目,青梅市柚木町二丁目,東京都,13205.0,青梅市,33002.0,柚木町,２丁目,東京都青梅市柚木町２丁目,954,21,32,38,35,35,37,28,33,61,59,48,44,60,75,74,75,56,69,48,23,3,0.8,1.66,1.4,0.86,0.83,1.05,0.9,1.11,2.14,2.31,2.11,2.53,3.79,6.08,6.95,8.4,6.73,7.92,4.81,2.3,0.3,64.98,0.0,125.0,0.0,676.0,0.0,0.0,377.0,0.0,0.0,0.0,253.0,0.0,0.0,0.0,216.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,814.0,635.0,0.0,139.20036134915068,35.79656718707423,6.022591734539744,3777.0,青梅市柚木町二丁目,青梅市柚木町二丁目,code_in_car30
13205033001,青梅市,柚木町一丁目,青梅市,柚木町一丁目,青梅市柚木町一丁目,東京都,13205.0,青梅市,33001.0,柚木町,１丁目,東京都青梅市柚木町１丁目,839,18,23,35,44,48,27,28,32,55,81,63,59,68,72,67,54,44,15,6,-,-,0.68,1.2,1.29,1.08,1.14,0.77,0.9,1.07,1.93,3.17,2.77,3.39,4.3,5.83,6.29,6.05,5.28,1.72,0.6,,,49.46,0.0,54.0,118.0,499.0,0.0,0.0,343.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,143.0,0.0,172.0,0.0,0.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,0.0,246.0,0.0,0.0,0.0,0.0,0.0,119.0,257.0,75.0,0.0,139.20499319614228,35.793528958582506,6.547182777079867,2611.0,青梅市柚木町一丁目,青梅市柚木町一丁目,code_in_car30
